AAII_QTR_DATA,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020
Current_Assets,0.3,0.2,0.0,0.0,0.0,0.0,0.0,0.0
Current_Liabilities,0.7,0.6,0.0,0.0,0.0,0.0,0.0,0.0
Diluted_EPS,-0.018,-0.052,-0.003,0.0,0.0,-0.001,-0.003,-0.001
Goodwill_Intangibles,31.5,31.5,,,,,,
Inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LT_Debt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Revenue,1.6,3.3,,,,,,
Shares_Diluted,35.7062,26.6379,5.731,5.731,5.731,5.731,4.0766,5.5149
Total_Assets,31.8,31.7,0.0,0.0,0.0,0.0,0.0,0.0
Total_Liabilities,0.7,0.6,0.0,0.0,0.0,0.0,0.0,0.0
