AAII_QTR_DATA,03/31/2022,09/30/2021,03/31/2020,09/30/2019,03/31/2019,09/30/2018,03/31/2018,09/30/2017,03/31/2017,09/30/2016
Current_Assets,11.5,12.7,11.9,10.7,10.4,10.8,11.4,9.2,7.7,7.4
Current_Liabilities,4.6,6.3,6.1,5.4,4.2,4.5,4.4,5.9,5.2,6.4
Diluted_EPS,-0.133,-0.435,0.198,-0.127,-0.08,-0.019,-0.141,0.13,0.313,0.211
Goodwill_Intangibles,1.6,1.7,1.9,2.1,2.3,2.4,2.8,2.8,2.8,3.0
Inventory,2.1,2.0,1.2,0.5,0.8,0.7,1.0,0.2,1.0,0.7
LT_Debt,2.9,2.8,2.4,2.4,0.0,0.0,0.0,0.0,0.1,0.2
Revenue,8.8,6.0,8.7,4.4,4.4,5.6,5.3,7.2,8.8,10.2
Shares_Diluted,4.8572,4.8572,4.9886,4.6449,4.6911,4.7154,4.853,5.3004,5.4278,5.205
Total_Assets,23.8,24.9,24.2,21.7,22.5,22.8,24.8,22.4,21.0,21.6
Total_Liabilities,8.4,9.9,9.4,8.4,7.3,7.5,7.7,5.9,5.4,6.6
