AAII_QTR_DATA,04/02/2022,01/01/2022,10/02/2021,07/03/2021,04/03/2021,01/02/2021,09/26/2020,06/27/2020,03/28/2020,12/28/2019,09/28/2019,06/29/2019,03/30/2019,12/29/2018,09/29/2018
Current_Assets,53.4,61.2,60.6,43.7,47.1,53.5,58.9,51.6,59.4,64.2,61.8,70.4,70.9,69.0,66.8
Current_Liabilities,36.6,38.9,38.5,31.0,33.0,38.5,40.9,35.8,35.7,36.1,34.1,35.6,34.1,37.9,33.7
Diluted_EPS,,-2.201,0.116,0.625,0.12,-1.59,1.025,0.61,-0.574,-0.419,-0.789,-0.107,-0.6679999999999999,-0.938,0.056
Goodwill_Intangibles,11.3,11.4,11.4,11.5,11.6,11.7,12.6,12.7,12.8,12.9,13.0,13.0,13.2,13.3,13.5
Inventory,22.0,28.6,24.7,18.2,16.6,25.1,24.5,18.8,25.2,28.1,30.2,32.6,34.0,36.1,27.2
LT_Debt,33.5,37.4,33.4,24.5,26.4,27.5,32.1,32.4,41.8,45.4,45.5,51.2,53.3,44.6,44.1
Revenue,34.4,35.3,41.6,30.6,36.2,36.0,40.7,38.2,40.3,42.7,41.5,46.4,42.5,40.0,43.8
Shares_Diluted,2.1647,2.1647,2.1762,2.1687,2.1618,2.1309,2.1558,2.1114,2.1093,2.1063,2.1042,2.0999,2.0926,2.0897,2.0975
Total_Assets,82.1,91.2,92.0,76.2,80.9,74.7,82.7,76.2,85.6,91.5,91.0,100.7,101.9,94.2,92.1
Total_Liabilities,83.4,88.7,84.7,69.1,75.5,69.6,74.6,70.5,81.3,86.0,84.7,92.7,93.9,84.9,80.6
