AAII_QTR_DATA,06/30/2022,12/31/2021,06/30/2021
Current_Assets,37.0,,
Current_Liabilities,26.8,,
Diluted_EPS,-0.21,-0.129,-0.045
Goodwill_Intangibles,45.5,,
Inventory,1.4,,
LT_Debt,8.4,0.0,0.0
Revenue,37.4,32.5,0.0
Shares_Diluted,102.2645,,
Total_Assets,94.3,,
Total_Liabilities,40.7,,
