AAII_QTR_DATA,12/31/2022,06/30/2022,12/31/2021,06/30/2021,12/31/2020,06/30/2020,12/31/2019,06/30/2019,03/31/2019,12/31/2018,06/30/2018,03/31/2018,12/31/2017,06/30/2017
Current_Assets,27.9,30.8,29.7,19.5,53.6,0.5,1.1,0.8,1.1,1.2,4.4,,4.5,3.8
Current_Liabilities,9.2,10.9,10.4,4.5,21.1,4.1,5.1,4.5,4.3,4.0,6.7,,6.9,8.2
Diluted_EPS,-0.46,0.034,-0.345,-0.49,0.406,0.078,-1.093,-0.037,-0.01,-0.036,-0.009,-0.0139999999999999,-0.184,-0.019
Goodwill_Intangibles,2.7,2.8,2.9,,0.1,,,,,,0.0,0.0,0.0,
Inventory,0.1,0.2,0.1,,0.1,,,,,,0.0,0.0,0.0,0.7
LT_Debt,10.3,10.4,10.7,0.0,11.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Revenue,0.6,2.3,2.7,1.2,5.0,1.0,20.9,0.2,0.0,,,,,
Shares_Diluted,8.1896,8.1896,8.7904,8.0977,7.5413,4.9822,5.5822,4.9822,,24.9109,23.4667,,24.9109,24.8385
Total_Assets,45.4,48.0,47.3,19.6,75.1,0.6,1.2,1.0,1.1,1.2,4.4,,4.5,10.8
Total_Liabilities,35.7,37.0,36.7,5.2,50.6,4.1,5.1,4.5,4.3,4.0,6.7,,6.9,8.3
