AAII_QTR_DATA,03/31/2023,12/31/2022,09/30/2022,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017
Current_Assets,243.4,235.8,248.1,258.2,312.4,321.6,356.1,346.1,305.4,302.9,266.4,196.4,156.4,145.8,137.4,147.4,193.3,148.0,106.5,111.7,116.5,107.9
Current_Liabilities,136.3,128.3,136.5,139.1,187.5,194.1,232.3,220.8,207.7,203.1,147.2,103.6,59.4,45.4,36.0,35.6,80.2,58.4,76.3,79.5,80.5,72.6
Diluted_EPS,,-0.109,-0.007,-0.007,-0.027,0.082,-0.02,0.448,-0.021,-0.349,0.325,-0.038,-0.022,-0.026,-0.027,0.028,0.04,-0.203,0.471,0.106,0.308,0.209
Goodwill_Intangibles,1.3,1.2,1.1,1.5,1.9,1.9,1.7,1.8,1.6,1.7,1.4,1.1,,,,,,,,0.0,0.0,0.0
Inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LT_Debt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Revenue,5.7,10.9,22.3,46.8,11.2,39.8,5.6,8.7,2.5,5.1,0.1,0.7,0.3,0.6,0.7,31.7,32.0,3.1,1.7,1.9,1.6,5.6
Shares_Diluted,68.6919,68.6919,68.6919,68.6919,68.6919,68.6919,68.6919,68.6919,68.6919,68.6919,68.6919,68.6919,68.6919,68.6919,68.6919,68.6919,68.6919,68.6919,68.6919,68.6919,68.6919,68.6919
Total_Assets,281.9,274.1,286.0,299.1,357.2,367.0,401.4,391.6,350.3,348.5,309.9,238.0,197.0,187.3,178.3,183.7,230.5,183.8,221.8,198.0,197.7,164.9
Total_Liabilities,150.3,142.6,149.9,153.2,203.1,211.8,244.3,232.4,219.0,213.0,156.1,112.7,70.3,56.8,46.9,47.0,88.2,68.4,87.1,90.4,91.7,83.6
