AAII_QTR_DATA,12/31/2020,06/30/2020,12/31/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018
Current_Assets,17.6,18.6,22.8,30.8,30.0,35.5,37.8,27.3,26.3
Current_Liabilities,5.3,5.2,5.6,6.2,2.4,6.0,2.3,6.3,2.1
Diluted_EPS,0.001,-0.105,-0.298,-0.216,-0.183,-0.389,-0.218,0.018,0.278
Goodwill_Intangibles,0.8,0.7,0.7,0.6,,0.5,0.5,0.3,
Inventory,2.0,2.0,1.9,1.6,1.7,2.3,1.7,1.8,
LT_Debt,4.0,4.8,5.5,4.5,5.7,5.0,6.1,5.4,6.2
Revenue,10.2,6.7,2.8,7.5,1.7,2.1,0.8,14.6,12.5
Shares_Diluted,27.1654,26.328,26.3044,26.2727,26.2861,24.5797,26.2841,21.2788,21.3441
Total_Assets,24.9,26.9,32.1,40.0,40.1,45.5,48.4,38.1,40.1
Total_Liabilities,23.5,25.8,28.3,28.8,28.1,28.9,28.2,29.6,26.7
