AAII_QTR_DATA,03/31/2023,12/31/2022,09/30/2022,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019
Current_Assets,6.0,8.0,12.0,12.7,14.3,16.5,19.2,25.3,25.0,28.7,27.6,19.8,23.7,22.0,22.8
Current_Liabilities,33.5,62.7,58.0,42.5,43.1,46.1,43.2,16.5,13.6,15.8,13.8,22.3,21.7,12.2,11.4
Diluted_EPS,0.516,-0.318,-0.144,-0.189,-0.068,-0.875,-1.271,-0.106,-0.119,-0.245,-0.01,-0.423,-0.298,-0.068,-0.176
Goodwill_Intangibles,27.7,27.7,27.7,27.0,27.2,27.4,28.0,27.6,26.9,27.0,26.8,25.9,1.4,3.4,3.4
Inventory,,0.0,1.6,1.6,2.6,2.8,4.5,4.1,3.9,3.1,3.1,3.8,3.1,2.6,3.1
LT_Debt,0.0,0.1,0.1,14.2,14.2,12.8,12.4,11.8,11.0,10.1,9.4,0.7,0.8,1.0,0.9
Revenue,,3.5,9.5,10.5,11.5,12.6,12.4,13.1,12.9,11.8,13.0,9.7,8.5,8.6,7.4
Shares_Diluted,41.6156,36.662,35.3991,33.7951,33.7943,33.0895,32.785,32.4002,32.3711,32.254,31.7437,29.7507,27.4094,22.2756,20.6903
Total_Assets,33.9,36.0,44.5,46.1,51.5,56.1,82.4,96.1,90.9,96.4,95.8,85.3,63.1,71.2,68.1
Total_Liabilities,35.5,65.6,61.7,60.2,60.6,62.2,60.1,32.5,28.7,30.0,26.7,26.8,26.1,17.1,16.8
