AAII_QTR_DATA,09/30/2022,06/30/2022,03/31/2022
Current_Assets,71.9,81.7,101.0
Current_Liabilities,53.8,51.1,70.2
Diluted_EPS,-0.374,-0.473,-0.542
Goodwill_Intangibles,7.4,7.4,7.4
Inventory,11.1,15.0,13.1
LT_Debt,124.9,124.2,120.8
Revenue,41.7,43.7,46.6
Shares_Diluted,70.5634,67.2214,66.861
Total_Assets,118.8,186.0,206.9
Total_Liabilities,189.5,234.5,236.5
