AAII_QTR_DATA,03/31/2023,12/31/2022,09/30/2022,06/30/2022,03/31/2022
Current_Assets,508.4,480.6,438.0,450.2,436.5
Current_Liabilities,233.3,244.3,221.3,213.1,213.4
Diluted_EPS,-0.223,-0.846,-0.26,-0.324,-0.098
Goodwill_Intangibles,2044.7,2068.4,2219.5,2279.3,2416.0
Inventory,157.5,143.3,143.1,130.4,123.2
LT_Debt,679.5,801.5,802.9,804.1,805.7
Revenue,182.1,217.9,160.9,175.8,163.2
Shares_Diluted,187.701,181.422,181.333,180.992,180.774
Total_Assets,2734.8,2738.7,2835.3,2916.9,3048.9
Total_Liabilities,1213.5,1340.5,1333.9,1336.7,1379.7
