AAII_QTR_DATA,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019
Current_Assets,883.6,877.9,892.3,888.7,888.4,351.2,,,,,,,
Current_Liabilities,224.3,203.8,201.1,181.4,177.1,157.8,,,,,,,
Diluted_EPS,-0.341,-0.268,-0.338,-0.234,-0.352,-0.137,-0.205,-0.091,-0.107,-0.11,-0.107,-0.127,-0.06
Goodwill_Intangibles,9.2,9.7,10.1,10.3,10.3,10.3,,,,,,,
Inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LT_Debt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Revenue,124.8,120.4,115.0,109.9,102.1,88.4,83.3,82.7,73.7,53.8,49.9,48.6,45.8
Shares_Diluted,144.7822,143.0269,141.4016,138.8464,131.8041,135.7705,,,,,,,
Total_Assets,952.4,946.9,958.9,954.8,953.6,414.8,,,,,,,
Total_Liabilities,236.6,218.2,217.4,198.9,198.2,178.6,,,,,,,
