AAII_QTR_DATA,12/31/2022,09/30/2022,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019
Current_Assets,33.4,37.5,41.2,45.5,49.0,54.5,60.4,62.4,39.7,18.0,18.0,23.8,37.9,34.8
Current_Liabilities,3.4,3.8,3.7,3.3,2.9,4.5,2.3,1.6,3.0,4.9,7.7,9.5,18.3,19.3
Diluted_EPS,-0.087,-0.111,-0.102,-0.106,-0.085,0.03,-0.12,-0.24,-0.307,-0.68,-0.53,-3.11,-1.432,-2.5540000000000003
Goodwill_Intangibles,82.8,82.8,82.8,82.8,65.2,65.2,,0.0,0.0,0.0,5.1,10.9,7.7,8.3
Inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
LT_Debt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Revenue,,,,0.0,0.0,,,0.1,0.1,,,,0.0,
Shares_Diluted,44.6128,44.5522,44.328,36.8418,44.2882,32.7883,26.0469,23.5466,13.8084,11.8899,11.3365,10.5727,10.8459,10.3865
Total_Assets,116.8,120.9,124.9,128.6,114.2,119.8,60.5,62.5,39.9,18.2,26.0,29.5,49.8,47.4
Total_Liabilities,20.1,20.7,20.5,20.4,3.2,5.6,7.0,6.8,6.0,6.5,11.7,12.7,57.7,49.5
