AAII_QTR_DATA,03/31/2023,12/31/2022,09/30/2022,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018
Current_Assets,21.5,20.3,18.6,18.1,21.5,20.5,18.8,19.3,21.6,19.7,18.2,16.6,19.6,19.1,18.3,16.4,16.2,18.7,17.1,15.7,16.3
Current_Liabilities,9.8,5.2,4.9,5.7,10.2,5.6,5.5,7.5,11.4,5.6,5.7,5.6,10.3,6.1,6.8,6.1,6.9,3.4,3.7,3.8,5.5
Diluted_EPS,0.066,0.062,0.063,0.06,0.074,0.076,0.071,0.075,0.073,0.069,0.07,0.071,0.058,0.067,0.06,0.052,0.076,0.074,0.071,0.059,0.059
Goodwill_Intangibles,8.2,8.2,8.0,8.1,8.4,8.5,8.6,8.7,8.7,8.8,8.7,8.6,8.6,8.7,8.6,8.5,8.3,5.4,5.4,5.4,5.4
Inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LT_Debt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Revenue,5.5,5.4,5.3,5.2,5.7,6.0,7.0,7.2,6.1,5.8,5.9,5.6,6.0,6.0,6.1,6.0,4.5,4.5,4.6,4.6,4.5
Shares_Diluted,20.42,20.424,20.359,20.36,20.318,20.0573,20.24,20.221,20.213,20.225,20.111,20.028,20.081,19.923,20.024,19.999,19.549,19.393,19.348,19.557,19.554
Total_Assets,33.0,31.7,29.9,29.8,33.7,33.1,31.3,32.0,34.1,32.4,30.1,28.3,31.3,31.1,29.6,27.7,27.1,26.0,24.8,23.6,24.2
Total_Liabilities,12.5,7.9,7.7,8.8,13.8,9.4,9.1,11.2,14.9,9.3,8.6,8.4,13.0,9.2,9.1,8.4,8.8,5.0,5.3,5.5,7.3
