AAII_QTR_DATA,03/31/2023,12/31/2022,09/30/2022,06/30/2022,03/31/2022,12/31/2021,09/30/2021
Current_Assets,223.6,217.4,219.5,216.9,225.1,291.8,124.8
Current_Liabilities,147.2,151.9,150.5,135.3,131.6,110.4,108.9
Diluted_EPS,0.077,0.043,0.061,0.04,0.044,0.067,-0.003
Goodwill_Intangibles,345.8,352.2,226.0,216.9,211.2,148.6,150.0
Inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LT_Debt,143.8,149.4,91.3,98.5,116.6,125.6,129.4
Revenue,122.7,123.1,112.4,105.6,98.9,91.9,75.6
Shares_Diluted,137.2798,140.0778,133.3328,132.1979,132.1979,132.1979,132.1979
Total_Assets,607.2,608.8,488.8,475.7,475.1,475.2,308.1
Total_Liabilities,328.1,339.7,266.4,261.9,272.2,256.1,258.2
