AAII_QTR_DATA,12/31/2022,06/30/2022,12/31/2021,06/30/2021
Current_Assets,48.4,44.2,,
Current_Liabilities,52.6,43.4,,
Diluted_EPS,-0.082,0.008,0.051,-0.039
Goodwill_Intangibles,0.6,0.7,,
Inventory,0.8,0.3,,
LT_Debt,3.3,2.8,0.0,0.0
Revenue,48.2,12.9,32.5,8.9
Shares_Diluted,,,,
Total_Assets,60.6,57.6,,
Total_Liabilities,66.5,57.2,,
