AAII_QTR_DATA,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018
Current_Assets,0.7,0.5,0.7,0.8,0.8,0.9,0.9,1.3,1.3,1.2,1.1,1.0,0.8,0.8,0.4
Current_Liabilities,0.5,1.3,1.2,1.2,1.0,1.0,1.1,1.2,1.1,1.2,1.2,1.2,1.2,1.4,0.3
Diluted_EPS,-0.119,-0.048,0.003,-0.009,0.014,0.016,0.005,0.0,0.019,0.022,0.031,0.13699999999999998,0.084,0.057999999999999996,-0.023
Goodwill_Intangibles,1.6,0.2,0.2,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
Inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LT_Debt,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Revenue,,0.0,0.3,0.5,0.7,0.8,0.8,0.6,0.8,0.8,0.5,3.5,2.4,1.8,0.6
Shares_Diluted,7.0864,5.2953,13.7676,13.2409,13.3896,13.6803,14.7081,13.4446,13.5726,13.542,12.1279,12.0155,12.0167,12.0108,11.7869
Total_Assets,2.3,1.0,1.1,1.2,1.3,1.4,1.6,2.1,2.2,2.2,2.2,2.7,2.6,2.9,0.7
Total_Liabilities,1.0,2.4,2.5,2.7,2.7,3.0,3.4,3.9,4.0,4.3,4.6,5.0,5.5,6.1,0.3
