AAII_QTR_DATA,12/31/2022,06/30/2022,06/30/2020
Current_Assets,274.8,256.4,0.0
Current_Liabilities,192.5,159.6,
Diluted_EPS,-0.354,-0.058,
Goodwill_Intangibles,81.7,54.7,
Inventory,114.8,58.7,
LT_Debt,74.3,52.0,0.0
Revenue,82.3,73.0,
Shares_Diluted,164.7567,161.9773,
Total_Assets,454.4,384.6,0.0
Total_Liabilities,272.3,212.9,
