AAII_QTR_DATA,03/31/2023,12/31/2022,09/30/2022,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021
Current_Assets,31.1,34.7,62.4,0.0,0.1,0.1,0.2,0.5
Current_Liabilities,11.5,11.8,13.2,0.6,0.4,0.2,0.1,0.1
Diluted_EPS,-0.069,-0.527,0.025,0.102,-0.042,-0.02,-0.053,-0.019
Goodwill_Intangibles,5.1,5.3,5.4,,,,,
Inventory,0.3,0.3,0.1,,,,,
LT_Debt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Revenue,6.6,12.8,24.2,35.4,,,,
Shares_Diluted,50.812,50.812,50.812,50.812,7.458,7.458,7.458,7.458
Total_Assets,37.1,40.9,69.1,58.4,58.2,58.2,58.3,58.6
Total_Liabilities,12.0,12.4,14.2,2.8,2.5,2.3,2.2,2.1
