AAII_QTR_DATA,03/31/2023,12/31/2022,09/30/2022,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,12/31/2020,09/30/2020
Current_Assets,6.6,7.7,12.0,16.6,4.3,6.6,13.6,,,
Current_Liabilities,5.0,4.8,3.8,4.9,4.6,4.5,3.7,,,
Diluted_EPS,-0.133,-0.193,-0.2,-0.107,-0.115,-0.408,-0.031,-0.033,-0.02,-0.047
Goodwill_Intangibles,5.8,6.0,6.1,6.3,6.4,6.6,6.7,,,
Inventory,3.5,4.6,5.7,3.8,2.6,2.2,2.1,,,
LT_Debt,0.1,0.1,0.1,0.2,0.2,0.8,0.8,0.0,0.0,0.0
Revenue,1.8,1.8,0.4,1.5,0.7,1.3,0.6,0.7,0.7,3.8
Shares_Diluted,20.8236,23.4844,19.6643,17.9846,20.1855,20.1855,70.0,,,
Total_Assets,19.0,20.4,20.5,24.6,12.7,15.4,23.0,,,
Total_Liabilities,8.2,8.2,3.9,5.0,4.8,5.2,4.5,,,
