AAII_QTR_DATA,09/30/2022,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018
Current_Assets,1.3,1.7,1.7,2.0,2.8,3.1,2.9,1.9,1.7,1.5,0.8,0.8,1.6,1.8,1.8,3.2,0.7
Current_Liabilities,10.0,10.4,9.2,9.7,9.5,10.1,11.2,10.4,7.7,7.8,7.8,6.9,6.8,6.1,5.4,6.8,4.7
Diluted_EPS,-0.399,-1.627,-0.702,-1.463,-1.022,-1.799,-7.255,-16.0,-0.029,-0.02,-0.045,-0.048,-0.079,-0.161,-0.094,-0.132,-0.113
Goodwill_Intangibles,0.8,0.9,1.1,1.2,1.4,1.6,1.7,1.9,2.1,2.2,2.4,2.6,2.4,2.7,3.0,3.3,
Inventory,1.1,1.2,1.2,1.3,1.3,1.0,0.9,0.6,0.7,0.7,0.5,0.6,0.7,0.9,0.8,0.8,0.5
LT_Debt,0.0,0.0,0.0,0.0,0.3,0.3,0.3,0.5,0.4,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Revenue,0.2,0.3,0.9,1.1,1.2,2.2,1.7,2.1,1.4,1.8,1.7,1.5,2.3,4.4,2.2,1.7,1.0
Shares_Diluted,2.0705,1.0351,0.8679,0.7363,0.5967,0.5053,0.3965,0.2134,36.6702,30.4899,28.8501,26.5878,25.4081,25.0361,24.5194,21.7884,19.978
Total_Assets,2.7,3.3,3.6,4.1,4.5,5.1,5.1,4.4,4.3,4.4,3.9,4.1,4.6,5.9,5.5,7.2,1.2
Total_Liabilities,10.0,10.5,9.4,10.0,10.2,10.9,12.0,11.5,9.8,9.8,9.6,8.7,9.1,8.8,7.4,8.7,4.7
