AAII_QTR_DATA,03/31/2023,12/31/2022,09/30/2022,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021
Current_Assets,130.3,154.5,169.6,192.4,215.2,,1.3,,
Current_Liabilities,23.0,21.8,16.3,11.3,11.6,,1.0,,
Diluted_EPS,-0.187,-0.187,-0.158,-0.279,-0.155,-0.336,0.108,-0.089,-0.068
Goodwill_Intangibles,,0.0,5.4,5.4,5.4,,0.0,,
Inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LT_Debt,17.8,20.6,23.0,25.2,27.7,0.0,0.0,0.0,0.0
Revenue,2.2,6.1,2.8,4.2,2.1,8.2,0.0,1.5,2.4
Shares_Diluted,124.778,122.1309,118.5713,107.1311,113.8103,,43.125,,
Total_Assets,181.9,203.4,212.7,228.6,245.9,,346.3,,
Total_Liabilities,52.4,53.2,46.8,54.8,80.5,,23.5,,
