AAII_QTR_DATA,06/30/2022,03/31/2022,12/31/2021,09/30/2021,12/31/2020,09/30/2020
Current_Assets,573.9,549.1,536.8,491.7,,
Current_Liabilities,246.8,219.5,184.6,201.7,,
Diluted_EPS,-0.334,-0.985,-2.326,-1.326,1.398,-8.261
Goodwill_Intangibles,944.6,999.0,1034.0,1066.7,,
Inventory,226.5,239.3,246.8,274.7,,
LT_Debt,538.7,541.9,0.0,4.9,0.0,0.0
Revenue,234.6,235.6,261.6,753.0,274.9,637.5
Shares_Diluted,26.073,26.057,26.1,26.1,,
Total_Assets,1732.6,1774.3,1826.7,1808.9,,
Total_Liabilities,968.0,961.8,375.3,406.6,,
