AAII_QTR_DATA,03/31/2023,12/31/2022,09/30/2022,06/30/2022,03/31/2022,12/31/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018
Current_Assets,13.7,11.0,14.1,14.2,13.7,16.1,22.1,21.6,29.9,30.1,24.5,31.4,39.2,30.1,29.8,,,,,
Current_Liabilities,75.4,77.1,67.8,74.6,75.4,76.8,64.1,51.3,43.7,64.3,46.3,46.4,39.3,34.7,37.3,,,,,
Diluted_EPS,-0.002,-0.086,-0.255,-0.009,-0.021,-3.781,-2.137,-0.521,-0.479,-0.104,-0.377,-0.496,-0.366,0.768,0.377,0.151,-1.831,0.076,0.085,0.022
Goodwill_Intangibles,5.4,5.3,5.5,5.5,5.4,5.3,8.6,30.9,30.2,57.9,28.4,27.1,26.0,26.7,95.0,,,,,
Inventory,4.0,3.9,4.7,4.1,4.0,4.3,5.0,4.8,4.8,5.3,3.9,4.0,3.9,4.7,37.4,,,,,
LT_Debt,31.5,18.2,31.0,31.7,31.5,31.4,33.6,37.1,41.9,58.0,22.7,24.5,26.4,114.0,135.8,0.0,0.0,0.0,0.0,0.0
Revenue,21.1,23.3,23.7,25.2,22.8,91.5,24.2,19.2,52.5,40.7,24.1,13.5,35.3,37.3,58.5,28.3,59.3,28.9,52.5,24.4
Shares_Diluted,,33.235,28.6489,22.0228,21.9867,21.9867,20.3412,23.5979,23.5529,23.6129,23.6129,23.6129,23.6129,23.6129,23.6129,,,,,
Total_Assets,81.1,77.4,81.1,80.7,81.1,81.8,95.4,139.8,150.3,206.8,141.4,151.1,155.0,147.7,154.0,,,,,
Total_Liabilities,102.8,93.5,94.4,102.1,102.8,104.0,92.9,95.1,93.7,141.3,76.2,78.5,74.0,157.6,181.8,,,,,
