AAII_QTR_DATA,12/31/2020,09/30/2020,06/30/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018
Current_Assets,1071.8,1318.8,1299.6,1063.8,911.2,1070.2,1023.0,,,,
Current_Liabilities,88.4,96.9,94.0,139.5,114.3,513.2,562.3,,,,
Diluted_EPS,0.198,0.049,0.308,0.041,0.169,0.123,0.18,0.327,-0.2,0.212,-0.077
Goodwill_Intangibles,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,
Inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LT_Debt,13.3,13.1,12.8,12.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Revenue,20.0,10.8,69.5,20.4,18.7,25.3,23.4,15.6,6.2,35.5,2.9
Shares_Diluted,246.5375,245.5165,245.8794,281.1144,233.7772,230.6632,230.6632,,,,
Total_Assets,1356.4,1320.7,1301.6,1065.8,913.2,1072.1,1025.0,,,,
Total_Liabilities,103.4,112.6,109.5,185.8,145.6,538.4,585.7,,,,
