AAII_QTR_DATA,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019
Current_Assets,482.3,476.6,442.6,592.2,6287.7,5920.4,6227.3,5948.5,5823.8,5537.6,5771.2
Current_Liabilities,461.7,441.5,439.5,533.4,5734.3,5470.3,5933.2,5357.5,5334.5,5378.8,5550.1
Diluted_EPS,-0.175,-0.176,-0.067,-2.759,-0.308,0.159,-0.116,-0.373,0.271,-1.819,-0.703
Goodwill_Intangibles,325.5,331.7,335.8,335.9,343.1,278.0,285.6,314.9,330.8,332.1,321.0
Inventory,20.1,19.5,17.0,17.4,,,9.9,,,,
LT_Debt,594.1,601.0,556.8,602.8,606.3,463.3,127.9,646.4,633.8,686.0,723.9
Revenue,392.2,412.8,394.8,394.8,243.8,171.8,178.0,171.3,181.8,186.6,1077.0
Shares_Diluted,77.5,77.3,77.4,77.2,77.0,76.9,61.1,47.4,46.8,45.9,44.8
Total_Assets,1106.4,1112.2,1080.6,1221.5,6935.9,6406.0,6723.8,6688.4,6633.3,6339.1,6958.3
Total_Liabilities,1198.9,1189.6,1146.1,1284.6,6447.6,6006.0,6153.6,6300.7,6303.7,6314.7,6598.2
