AAII_QTR_DATA,03/31/2022,09/30/2021,03/31/2021,09/30/2020,03/31/2020,09/30/2019,03/31/2019,09/30/2018,03/31/2018,09/30/2017
Current_Assets,56.6,86.8,95.1,75.4,70.0,59.5,54.8,45.6,,
Current_Liabilities,17.9,12.9,15.1,5.9,5.5,5.1,4.8,4.5,,
Diluted_EPS,-0.724,-0.373,-0.088,0.127,0.173,0.366,0.814,0.352,0.7,0.342
Goodwill_Intangibles,20.2,2.6,2.0,0.7,0.7,0.7,0.8,0.8,,
Inventory,1.4,2.4,1.8,2.1,2.0,1.9,2.0,1.9,,
LT_Debt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Revenue,42.6,46.9,49.6,21.9,33.7,31.4,63.9,31.4,61.5,28.9
Shares_Diluted,54.0388,26.933,27.281,25.0396,24.6877,23.0,23.0,25.0,,
Total_Assets,97.4,104.1,112.7,93.6,85.1,71.3,65.7,54.3,,
Total_Liabilities,19.3,12.8,18.0,5.9,5.5,5.1,4.8,4.5,,
