Q_Report_Date,Date,Q_EPS_Diluted,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
,12/31/2020,0.89,0.97,0.97,1.08,1.102211221,,,,,,,,
,9/30/2020,0.81,0.85,0.85,0.88,1.02,1.041650165,,,,,,,
,6/30/2020,0.72,0.7,0.7,0.67,0.7,0.9,0.859966997,,,,,,
,3/31/2020,0.59,0.61,0.61,0.69,0.73,0.641947195,,,,,,,
,12/31/2019,0.78,0.78,0.78,0.81,0.9,0.91,0.9,0.93,1.06,1.1,1.15,1.13,1.27
,9/30/2019,0.73,0.72,0.72,0.71,0.74,0.83,0.86,0.88,0.95,0.96,1.07,1.11,1.16
,6/28/2019,0.45517662,0.59,0.61,0.69,0.71,0.72,0.76,0.83,0.93,0.99,1.03,,
,3/29/2019,0.645967693,0.53,0.57,0.63,0.71,0.73,0.77,,,,,,
,12/31/2018,0.71598053,0.75,0.77,0.78,0.8,0.86,0.88,0.91,0.87,,,,
,9/28/2018,0.710551878,0.71,0.74,0.76,0.79,0.77,,,,,,,
,6/29/2018,0.605383902,0.66,0.65,,,,,,,,,,
,3/29/2018,0.43848546899999996,0.48,,,,,,,,,,,
,12/29/2017,0.568337925,0.58,,,,,,,,,,,
,9/29/2017,0.448101984,0.45,,,,,,,,,,,
,6/30/2017,0.326945389,0.36,,,,,,,,,,,
,3/31/2017,0.20892392899999998,0.21,,,,,,,,,,,
,12/30/2016,0.19152340699999998,0.28,,,,,,,,,,,
,9/30/2016,0.143401486,0.2,,,,,,,,,,,
,6/30/2016,0.110893197,0.11,,,,,,,,,,,
,3/31/2016,0.032318578,0.04,,,,,,,,,,,
,12/31/2015,0.087130463,0.13,,,,,,,,,,,
,9/30/2015,0.066505575,0.06,,,,,,,,,,,
,6/30/2015,0.019236676,0.03,,,,,,,,,,,
,3/31/2015,-0.014879136999999999,0.01,,,,,,,,,,,
,12/31/2014,0.020420116000000002,0.04,,,,,,,,,,,
,9/30/2014,-0.033437323,-0.01,,,,,,,,,,,
,6/30/2014,-0.080727405,-0.03,,,,,,,,,,,
,3/31/2014,-0.314596669,-0.05,,,,,,,,,,,
,12/30/2013,0.12975289199999998,,,,,,,,,,,,
