CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_3,Q_EPS_Projections_Date_3,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,,,,,,,,,,,,,,,,,,
Adjusted ,,12/31/2021,0.53,1/19/2021,0.54,1/5/2021,0.55,12/4/2020,0.52,11/6/2020,0.45,10/7/2020,0.45,9/13/2020,0.53,8/5/2020,0.54,7/12/2020,0.5,6/6/2020,0.54,4/29/2020,0.54,3/27/2020,,,,,,,,,,,,,
,,9/30/2021,0.68,,0.68,,0.71,,0.66,,0.54,,0.54,,0.54,,0.54,,0.52,,0.73,,0.73,,,,,,,,,,,,,,
,,6/30/2021,0.54,,0.53,,0.54,,0.53,,0.48,,0.48,,0.41,,0.41,,0.4,,0.63,,0.63,,,,,,,,,,,,,,
,,3/31/2021,0.3,,0.31,,0.3,,0.33,,0.28,,0.27,,0.24,,0.24,,0.26,,0.12,,0.12,,,,,,,,,,,,,,
,,12/31/2020,0.39,,0.39,,0.39,,0.38,3/27/2020,0.28,3/27/2020,0.28,3/27/2020,0.32,3/27/2020,0.31,3/27/2020,0.31,3/27/2020,0.36,3/27/2020,0.54,3/27/2020,0.54,2/27/2020,0.54,2/21/2020,0.54,1/18/2020,0.54,,0.56,,0.55,,0.47
,11/4/2020,9/30/2020,0.99,,0.28,,0.28,,0.26,,0.25,,0.24,,0.33,,0.82,,0.82,,0.81,,0.83,,0.83,,0.84,,0.79,,0.78,,,,,,
,8/5/2020,6/30/2020,0.52,,-0.01,,-0.02,,0.11,,0.72,,0.75,,0.71,,0.71,,0.71,,0.72,,0.7,,0.72,,,,,,,,,,,,
,4/29/2020,3/31/2020,0.21,,0.11,,0.13,,0.17,,0.17,,0.17,,0.13,,,,,,,,,,,,,,,,,,,,,,
,2/26/2020,12/31/2019,0.43,,0.46,,0.45,,0.45,,0.42,,0.28,,,,,,,,,,,,,,,,,,,,,,,,
,10/30/2019,9/30/2019,0.647538503,,0.71,,0.67,,0.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7/31/2019,6/28/2019,0.646452395,,0.62,,0.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5/1/2019,3/29/2019,0.017403088,,0.02,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2/27/2019,12/31/2018,0.292330137,,0.17,,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,10/31/2018,9/28/2018,0.552290775,,0.43,,0.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8/1/2018,6/29/2018,0.544146536,,0.35,,0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5/2/2018,3/29/2018,-0.223727793,,-0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2/28/2018,12/29/2017,1.478254763,,0.07,,0.15,,0.22,,0.27,0.33,,,,,,,,,,,,,,,,,,,,,,,,,
,11/1/2017,9/29/2017,0.210822624,,0.39,,0.45,,0.5,,0.58,0.26,,,,,,,,,,,,,,,,,,,,,,,,,
,8/2/2017,6/30/2017,0.451374355,,0.26,,0.24,,0.3,,0.34,0.44,,,,,,,,,,,,,,,,,,,,,,,,,
,5/3/2017,3/31/2017,-0.373598547,,-0.18,,-0.19,,-0.09,,-0.03,-0.04,,,,,,,,,,,,,,,,,,,,,,,,,
,2/22/2017,12/30/2016,-0.221673932,,0.06,,0.07,,0.25,,0.29,0.39,0.69,,,,,,,,,,,,,,,,,,,,,,,,
,11/2/2016,9/30/2016,-0.178388157,,0.33,,0.32,,0.42,,0.51,0.57,0.75,,,,,,,,,,,,,,,,,,,,,,,,
,8/3/2016,6/30/2016,0.068761053,,0.23,,0.24,,0.39,,0.51,0.55,,,,,,,,,,,,,,,,,,,,,,,,,
,5/4/2016,3/31/2016,-0.36223684,,-0.22,,0.07,,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/31/2015,0.00984061,,0.12,,0.16,,0.55,,0.46,0.62,0.65,,,,,,,,,,,,,,,,,,,,,,,,
,,9/30/2015,0.690396101,,0.73,,0.77,,0.61,,0.72,0.76,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/30/2015,0.177056719,,0.51,,0.55,,0.53,,0.57,0.58,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/31/2015,-0.120407643,,-0.01,,0,,0.22,,0.31,0.32,0.56,,,,,,,,,,,,,,,,,,,,,,,,
,,12/31/2014,0.459245467,,0.32,,0.33,,0.54,,0.55,0.56,0.54,0.71,0.74,0.78,0.93,0.94,0.64,,,,,,,,,,,,,,,,,,
,,9/30/2014,-1.546108102,,0.63,,0.65,,0.64,,0.79,0.8,0.72,0.82,0.83,0.86,1.05,0.43,,,,,,,,,,,,,,,,,,,
,,6/30/2014,0.471749646,,0.44,,0.45,,0.49,,0.6,0.61,0.8,0.65,0.66,0.68,0.78,0.12,,,,,,,,,,,,,,,,,,,
,,3/31/2014,0.147220716,,0.14,,0.23,,0.5,,0.52,0.65,0.52,0.55,0.58,0.62,0.61,0.56,,,,,,,,,,,,,,,,,,,
,,12/31/2013,0.440552314,,0.55,,0.56,,0.63,,0.64,0.65,0.85,0.86,0.66,,,,,,,,,,,,,,,,,,,,,,
,,9/30/2013,0.581978275,,0.65,,0.64,,0.65,,0.69,0.9,0.92,0.6,,,,,,,,,,,,,,,,,,,,,,,
,,6/28/2013,0.37737901,,0.59,,0.6,,0.61,,0.66,0.31,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/28/2013,0.17321458,,0.33,,0.34,,0.36,,0.37,0.69,0.7,0.69,0.79,0.61,0.4,,,,,,,,,,,,,,,,,,,,
,,12/28/2012,1.10992717,,0.4,,0.41,,0.43,,0.55,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/28/2012,0.230729021,,0.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/29/2012,0.43782824,,0.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/30/2012,0.598545468,,0.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/30/2011,0.715960375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/30/2011,0.695765411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/30/2011,0.54638132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/31/2011,0.427593213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/31/2010,0.440718631,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/30/2010,0.732999811,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/30/2010,1.096102176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/31/2010,0.19775511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/31/2009,0.279188224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/30/2009,0.179731528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/30/2009,0.180501486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/31/2009,0.103826167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/31/2008,0.392482288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/30/2008,0.307027118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/30/2008,0.348513254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/31/2008,0.213342898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/31/2007,0.405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
