CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Adjusted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_3,Q_EPS_Projections_Date_3,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Non-GAAP,,12/31/2023,,0.45,4/8/2023,0.46,2/25/2023,0.44,1/22/2023,0.44,12/15/2022,0.47,11/5/2022,0.56,9/17/2022,0.56,8/14/2022,0.57,7/21/2022,0.57,6/20/2022,0.57,5/13/2022,,4/1/2022,0.51,2/27/2022,0.49,2/6/2022,0.5,1/6/2022,0.51,12/5/2021,0.56,11/1/2021,0.56,10/15/2021,0.52,9/11/2021,0.55,8/7/2021,0.55,7/11/2021,0.54,6/10/2021,0.45,5/10/2021,0.45,4/15/2021,0.31,3/13/2021,0.32,2/21/2021,0.32,12/27/2020,0.32,12/26/2020
,,9/30/2023,,0.14,,0.14,,0.14,,0.14,,0.18,,0.21,,0.21,,0.23,,0.23,,0.23,,,,0.22,,0.23,,0.23,,0.22,,0.17,,0.17,,0.23,,0.22,,0.22,,0.23,,0.19,,0.19,,0.09,,0.07,,0.1,,0.1,
,,6/30/2023,,0.33,,0.34,,0.33,,0.33,,0.37,,0.41,,0.41,,0.34,,0.34,,0.34,,,,0.28,,0.3,,0.3,,0.29,,0.33,,0.33,,0.35,,0.34,,0.34,,0.33,,0.29,,0.29,,0.08,,0.07,,0.13,,0.13,
,,3/30/2023,,0.37,,0.36,,0.34,,0.34,,0.38,,0.44,,0.44,,0.41,,0.41,,0.41,,,,0.32,,0.34,,0.36,,0.36,,0.41,,0.41,,0.39,,0.43,,0.43,,0.44,,0.36,,0.36,,0.1,,0.02,,0.09,,0.09,
,2/23/2023,12/31/2022,0.38,0.38,,0.34,,0.34,,0.41,,0.5,,0.5,,0.51,,0.51,,0.51,,0.51,,0.51,2/27/2022,0.49,2/6/2022,0.5,1/6/2022,0.51,12/5/2021,0.56,11/1/2021,0.56,10/15/2021,0.52,9/11/2021,0.55,8/7/2021,0.55,7/11/2021,0.54,6/10/2021,0.45,5/10/2021,0.45,4/15/2021,0.31,3/13/2021,0.32,2/21/2021,0.32,12/27/2020,0.32,12/26/2020,,
,11/4/2022,9/30/2022,0.16,0.16,,0.24,,0.24,,0.23,,0.23,,0.23,,0.24,,0.22,,0.23,,0.23,,0.22,,0.17,,0.17,,0.23,,0.22,,0.22,,0.23,,0.19,,0.19,,0.09,,0.07,,0.1,,0.1,,,,,,,,,
,8/5/2022,6/30/2022,0.31,0.44,,0.31,,0.31,,0.31,,0.27,,0.28,,0.3,,0.3,,0.29,,0.33,,0.33,,0.35,,0.34,,0.34,,0.33,,0.29,,0.29,,0.08,,0.07,,0.13,,0.13,,,,,,,,,,,,,
,5/6/2022,3/31/2022,0.31,0.31,,0.31,,0.32,,0.34,,0.36,,0.36,,0.41,,0.41,,0.39,,0.43,,0.43,,0.44,,0.36,,0.36,,0.1,,0.02,,0.09,,0.09,,,,,,,,,,,,,,,,,,,
,2/24/2022,12/31/2021,0.4,0.34,,0.25,,0.25,,0.25,,0.34,,0.34,,0.35,,0.41,,0.41,,0.4,,0.32,,0.31,4/15/2021,0.31,3/13/2021,0.32,2/21/2021,0.32,12/27/2020,0.32,12/26/2020,,,,,,,,,,,,,,,,,,,,,,
,10/29/2021,9/30/2021,0.2,0.2,,0.13,,0.16,,0.16,,0.16,,0.15,,0.11,,0.09,,0.09,,0.07,,0.1,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8/6/2021,6/30/2021,0.36,0.36,,0.23,,0.21,,0.13,,0.08,,0.08,,0.07,,0.13,,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5/7/2021,3/31/2021,0.26,0.26,,0.1,,0.1,,0.02,,0.09,,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3/5/2021,12/31/2020,0.04,0.03,,0.07,,0.07,,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,10/30/2020,9/30/2020,-0.15,-0.04,,-0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7/31/2020,6/30/2020,-0.59,-0.48,,-0.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5/8/2020,3/31/2020,-0.13,0.09,,-0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2/21/2020,12/31/2019,0.5,0.52,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11/1/2019,9/30/2019,0.16,0.15,,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8/2/2019,6/28/2019,0.31,0.31,,0.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5/3/2019,3/29/2019,0.47,0.45,,0.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2/22/2019,12/31/2018,0.49,0.5,,0.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11/2/2018,9/28/2018,0.12,0.13,,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8/10/2018,6/29/2018,0.32,0.32,,0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5/4/2018,3/29/2018,0.45,0.45,,0.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2/21/2018,12/29/2017,0.31,,,0.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11/3/2017,9/29/2017,0.05,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7/28/2017,6/30/2017,0.25,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5/5/2017,3/31/2017,0.35,,,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/30/2016,0.3,,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/30/2016,0.11,,,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/30/2016,0.21,,,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/31/2016,0.33,,,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/31/2015,0.28,,,0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/30/2015,0.08,,,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/30/2015,0.22,,,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/31/2015,0.3,,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/30/2014,0.23,,,0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/30/2014,-0.21,,,-0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/30/2014,0.19,,,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/31/2014,0.25,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/31/2013,0.12,,,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/30/2013,0.08,,,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/28/2013,0.22,,,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/28/2013,0.22,,,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/28/2012,0.1,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/28/2012,0.02,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/29/2012,0.17,,,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/30/2012,-0.89,,,-0.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/30/2011,0.04,,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/30/2011,0.01,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
