CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Adjusted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/25/2015,0.466955312,,,0.51,,0.59,,0.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/26/2015,0.106884692,,,0.3,,0.52,,0.61,,0.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/27/2015,0.227036985,,,0.51,,0.59,,0.61,,0.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/31/2014,-1.16203997,,,0.63,,0.64,,0.67,,0.7,,0.67,,0.68,,0.75,,0.84,,0.52,,,,,,,,,,,,,,,,,,,
,,9/30/2014,0.552413793,,,0.61,,0.63,,0.66,,0.64,,0.68,,0.69,,0.77,,0.46,,,,,,,,,,,,,,,,,,,,,
,,6/30/2014,0.399505542,,,0.55,,0.57,,0.56,,0.57,,0.63,,0.62,,0.7,,0.45,,,,,,,,,,,,,,,,,,,,,
,,3/31/2014,0.386302104,,,0.54,,0.53,,0.54,,0.55,,0.61,,0.68,,0.47,,,,,,,,,,,,,,,,,,,,,,,
,,12/31/2013,0.297646324,,,0.55,,0.54,,0.61,,0.69,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/30/2013,0.368819838,,,0.58,,0.63,,0.67,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/28/2013,0.357910631,,,0.56,,0.59,,0.6,,0.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/28/2013,0.39290653,,,0.56,,0.59,,0.62,,0.63,,0.64,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/28/2012,0.413087041,,,0.54,,0.61,,0.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/28/2012,0.613138498,,,0.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/29/2012,0.557637,,,0.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/30/2012,0.651881999,,,0.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/30/2011,0.596837428,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/30/2011,0.702389706,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,7/1/2011,0.542483144,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,4/1/2011,0.567461168,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/31/2010,0.377090023,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,10/1/2010,0.363659085,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/25/2010,0.291155441,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/26/2010,0.384337552,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/31/2009,0.225350092,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,10/2/2009,0.244076914,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/26/2009,-0.095351609,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
