CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,,,,,,,,,,,
N,,3/31/2022,0.79,1/10/2021,0.79,12/9/2020,0.79,11/8/2020,0.79,10/7/2020,0.79,9/30/2020,0.906585366,,,,,,,,
,,12/31/2021,0.69,,0.69,,0.69,,0.69,,0.69,,0.762682927,,,,,,,,
,,9/30/2021,0.58,,0.58,,0.58,,0.58,,0.58,,0.489268293,,,,,,,,
,,6/30/2021,0.49,,0.49,,0.49,,0.49,,0.49,,0.201463415,,,,,,,,
,,3/31/2021,0.7,,0.7,,0.7,,0.7,,0.7,,0.63,,0.83,,0.94,,0.92,,1.003432836
,,12/31/2020,0.62,,0.62,,0.62,,0.62,,0.62,,0.53,,0.73,,0.85,,0.83,,0.930895522
,11/3/2020,9/30/2020,0.25,,0.53,,0.53,,0.34,,0.54,,0.7,,0.81,,,,,,
,7/30/2020,6/30/2020,-0.00639747,,0.14,,0.44,,0.6,,0.54,,0.48358209,,,,,,,,
,5/13/2020,3/31/2020,0.632509163,,0.56,,0.78,,0.87,,0.84,,0.83,,0.79,,,,,,
,2/6/2020,12/31/2019,0.34768724,,0.76,,0.77,,0.76,,0.77,,0.73,,,,,,,,
,11/7/2019,9/30/2019,0.195387793,,0.53,,0.67,,0.68,,,,,,,,,,,,
,8/8/2019,6/28/2019,0.153453706,,0.4,,0.61,,,,,,,,,,,,,,
,5/15/2019,3/29/2019,0.23667277,,0.62,,0.64,,0.65,,,,,,,,,,,,
,2/7/2019,12/31/2018,0.341307493,,0.59,,0.62,,,,,,,,,,,,,,
,11/8/2018,9/28/2018,0.013615418,,0.54,,0.52,,,,,,,,,,,,,,
,8/8/2018,6/29/2018,-0.249147691,,0.47,,0.42,,,,,,,,,,,,,,
,5/15/2018,3/29/2018,0.058993157,,0.55,,0.47,,0.55,,,,,,,,,,,,
,2/8/2018,12/29/2017,-0.380328464,,0.45,,0.42,,0.49,,0.48,,0.49,,0.57,,,,,,
,11/8/2017,9/29/2017,0.123438239,,0.36,,0.37,,0.43,,0.42,,0.43,,0.53,,,,,,
,8/8/2017,6/30/2017,0.09774835,,0.27,,0.37,,0.36,,0.38,,0.47,,0.45,,,,,,
,,3/31/2017,0.343423869,,0.45,,0.46,,0.49,,0.67,,0.77,,0.65,,,,,,
,,12/30/2016,0.147090087,,0.36,,0.38,,0.5,,0.69,,0.61,,0.25,,0.34,,0.57,,0.59
,,9/30/2016,0.106670352,,0.28,,0.53,,0.16,,0.26,,0.47,,0.57,,0.54,,,,
,,6/30/2016,-0.212166422,,0.16,,0.17,,0.52,,0.14,,0.26,,0.43,,0.46,,,,
,,3/31/2016,0.409504421,,0.44,,0.45,,0.16,,0,,0.48,,0.43,,,,,,
,,12/31/2015,0.37628543,,0.42,,0.43,,0.44,,0.47,,0.48,,0.49,,,,,,
,,9/30/2015,0.369429031,,0.34,,0.38,,0.41,,0.42,,0.43,,,,,,,,
,,6/30/2015,0.338062034,,0.34,,0.36,,0.38,,0.4,,0.39,,,,,,,,
,,3/31/2015,0.387430388,,0.4,,0.45,,0.46,,0.45,,0.41,,0.42,,,,,,
,,12/31/2014,0.397601954,,0.4,,0.42,,0.41,,0.42,,0.43,,0.34,,,,,,
,,9/30/2014,0.34372872,,0.34,,0.35,,0.37,,0.39,,0.38,,0.31,,,,,,
,,6/30/2014,0.306628311,,0.31,,0.36,,0.37,,0.38,,0.36,,,,,,,,
,,3/31/2014,0.34775721,,0.36,,0.37,,0.38,,0.37,,0.35,,,,,,,,
,,12/31/2013,0.351460449,,0.35,,0.34,,0.3,,,,,,,,,,,,
,,9/30/2013,0.284233033,,0.3,,0.32,,0.28,,,,,,,,,,,,
,,6/28/2013,0.287636293,,0.28,,0.31,,0.31,,,,,,,,,,,,
,,3/28/2013,0.350505048,,0.31,,0.32,,0.28,,,,,,,,,,,,
,,12/28/2012,0.289096224,,0.28,,,,,,,,,,,,,,,,
,,9/28/2012,0.225838459,,0.23,,,,,,,,,,,,,,,,
,,6/29/2012,0.240877836,,0.22,,,,,,,,,,,,,,,,
,,3/30/2012,0.227523375,,0.23,,,,,,,,,,,,,,,,
,,12/30/2011,0.220598741,,nan,,,,,,,,,,,,,,,,
,,9/30/2011,0.184823419,,nan,,,,,,,,,,,,,,,,
,,6/30/2011,0.16,,nan,,,,,,,,,,,,,,,,
,,3/31/2011,0.21,,nan,,,,,,,,,,,,,,,,
,,12/31/2010,0.17,,nan,,,,,,,,,,,,,,,,
,,9/30/2010,0.15,,nan,,,,,,,,,,,,,,,,
,,6/30/2010,0.13,,nan,,,,,,,,,,,,,,,,
,,3/31/2010,0.15,,nan,,,,,,,,,,,,,,,,
,,12/31/2009,0.12,,nan,,,,,,,,,,,,,,,,
,,9/30/2009,0.12,,nan,,,,,,,,,,,,,,,,
,,6/30/2009,0.11,,nan,,,,,,,,,,,,,,,,
,,3/31/2009,0.15,,nan,,,,,,,,,,,,,,,,
,,12/31/2008,0.27,,nan,,,,,,,,,,,,,,,,
,,9/30/2008,0.05,,nan,,,,,,,,,,,,,,,,
,,6/30/2008,0.03,,nan,,,,,,,,,,,,,,,,
,,3/31/2008,0.21,,nan,,,,,,,,,,,,,,,,
,,12/31/2007,0.21,,nan,,,,,,,,,,,,,,,,
