CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,,,,,,,,,,,,,,,,,
,,9/30/2016,4.881450488,,3.82,,3.65,,3.99,,4.19,,4.39,,4.47,,4.65,,4.71,,4.7,,,,,,
,,6/30/2016,3.720400729,,3,,3.3,,3.61,,3.95,,4,,4.26,,4.31,,4.25,,,,,,,,
,,3/31/2016,2.682163612,,2.45,,3.49,,4.97,,5.04,,5.11,,5.16,,5.13,,3.54,,,,,,,,
,,12/31/2015,1.27019252,,3.54,,3.53,,4.71,,5.01,,5.4,,5.43,,5.17,,5.2,,5.43,,5.89,,5.77,,5.51
,,9/30/2015,2.900130833,,2.91,,4.33,,4.41,,4.28,,4.2,,3.85,,3.63,,3.44,,,,,,,,
,,6/30/2015,1.98440208,,3.89,,3.86,,3.57,,3.68,,3.74,,3.75,,3.63,,,,,,,,,,
,,3/31/2015,5.949339684,,4.26,,4.01,,4.3,,4.14,,5.49,,,,,,,,,,,,,,
,,12/31/2014,4.384980578,,4.32,,4.99,,5.39,,5.17,,5.19,,5.1,,5.01,,5.11,,4.82,,4.65,,3.21,,
,,9/30/2014,4.567348679,,3.21,,3.11,,3.02,,3.09,,3.08,,3.04,,3.03,,3.16,,3.12,,3.07,,,,
,,6/30/2014,4.10380332,,3.05,,3.17,,3.42,,3.41,,3.4,,3.29,,3.43,,,,,,,,,,
,,3/31/2014,4.02187371,,3.45,,3.94,,3.9,,3.91,,4.02,,3.95,,4.14,,,,,,,,,,
,,12/31/2013,4.599959075,,4.22,,4.21,,4.16,,4.62,,4.45,,2.48,,,,,,,,,,,,
,,9/30/2013,2.878726833,,2.43,,2.88,,2.79,,2.81,,2.82,,2.8,,2.81,,,,,,,,,,
,,6/28/2013,3.69612711,,2.82,,2.83,,2.95,,2.92,,2.9,,2.91,,2.92,,2.96,,3,,3.01,,2.99,,3.85
,,3/28/2013,4.291879168,,3.88,,3.79,,3.68,,3.58,,3.52,,3.53,,3.51,,3.47,,,,,,,,
,,12/31/2012,5.603243671,,3.78,,3.15,,2.18,,,,,,,,,,,,,,,,,,
,,9/28/2012,2.853787434,,2.12,,,,,,,,,,,,,,,,,,,,,,
,,6/29/2012,1.781664424,,1.14,,,,,,,,,,,,,,,,,,,,,,
,,3/30/2012,3.919123205,,3.55,,,,,,,,,,,,,,,,,,,,,,
,,12/30/2011,1.839037232,,nan,,,,,,,,,,,,,,,,,,,,,,
,,9/30/2011,-0.825935932,,nan,,,,,,,,,,,,,,,,,,,,,,
,,6/30/2011,1.847234416,,nan,,,,,,,,,,,,,,,,,,,,,,
,,3/31/2011,1.557461407,,nan,,,,,,,,,,,,,,,,,,,,,,
,,12/31/2010,3.790638298,,nan,,,,,,,,,,,,,,,,,,,,,,
,,9/30/2010,2.980950747,,nan,,,,,,,,,,,,,,,,,,,,,,
