Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_2.1,Q_EPS_Projections_Date_2.1,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19
,12/31/2021,1,4/23/2020,1,4/14/2020,,,,,,,,,,,,,,,
,9/30/2021,0.96,,0.96,,,,,,,,,,,,,,,,
,6/30/2021,0.99,,0.99,,,,,,,,,,,,,,,,
,3/31/2021,1.01,,1.01,,,,,,,,,,,,,,,,
,12/31/2020,0.89,4/14/2020,0.89,4/14/2020,0.85,3/8/2020,0.85,,0.84,,0.82,,,,,,,,
,9/30/2020,0.81,,0.81,,0.86,,0.86,,0.83,,0.81,,,,,,,,
,6/30/2020,0.89,,0.89,,0.93,,0.93,,0.83,,,,,,,,,,
4/23/2020,3/31/2020,0.99,,0.83,,0.84,,0.84,,0.82,,,,,,,,,,
2/13/2020,12/31/2019,0.72,,0.72,,0.81,,,,,,,,,,,,,,
10/24/2019,9/30/2019,0.71,,0.71,,0.7,,0.79,,,,,,,,,,,,
7/25/2019,6/28/2019,0.880159787,,0.72,,0.8,,,,,,,,,,,,,,
4/25/2019,3/29/2019,0.735723772,,0.66,,0.71,,,,,,,,,,,,,,
2/14/2019,12/31/2018,0.688741722,,0.72,,0.74,,0.76,,,,,,,,,,,,
10/25/2018,9/28/2018,0.729194188,,0.7,,0.74,,,,,,,,,,,,,,
7/26/2018,6/29/2018,0.748,,0.67,,0.7,,,,,,,,,,,,,,
4/26/2018,3/29/2018,0.577483444,,0.64,,0.65,,,,,,,,,,,,,,
2/15/2018,12/29/2017,0,,0.63,,0.67,,,,,,,,,,,,,,
10/26/2017,9/29/2017,0.671936759,,0.53,,0.63,,0.62,,0.65,,,,,,,,,,
7/27/2017,6/30/2017,0.511873351,,0.65,,0.68,,,,,,,,,,,,,,
