Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_3,Q_EPS_Projections_Date_3,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
,12/31/2020,1.16,11/20/2019,1.17,10/8/2019,1.25,,1.25,,1.28,,1.29,,1.31,1.220512821,,
,9/30/2020,1.1,,1.11,,1.18,,1.18,,1.2,,1.22,,1.24,1.1761305359999998,,
,6/30/2020,1.08,,1.08,,1.14,,1.14,,1.17,,1.18,,1.2094172490000001,,,
,3/31/2020,1.0,,0.99,,1.04,,1.04,,1.06,,1.07,,1.131748252,,,
,12/31/2019,1.02,,1.04,,1.06,,1.06,,1.09,,1.1,,1.11,1.12,1.13,1.12
,9/30/2019,0.95,,1.03,,1.03,,1.03,,1.05,,1.06,,1.07,1.09,1.1,1.09
,6/28/2019,1.099276984,,1.07,,1.08,,1.09,,1.1,,1.11,1.09,,,,
,3/29/2019,0.967611498,,1.03,,1.02,,1.03,,1.04,,1.02,,,,,
,12/31/2018,0.972398833,,1.04,,1.02,,0.96,,0.91,,0.9,,,,,
,9/28/2018,1.009123035,,1.0,,0.93,,0.89,,0.88,,,,,,,
,6/29/2018,0.986318804,,1.0,,0.94,,0.88,,0.86,,,,,,,
,3/29/2018,0.9418398109999999,,0.92,,0.87,,0.83,,0.82,,,,,,,
,12/29/2017,0.771485688,,0.79,,0.81,,0.83,,0.8,,0.81,0.85,,,,
,9/29/2017,0.7405808540000001,,0.78,,0.79,,0.78,,0.79,,0.77,0.78,0.81,,,
,6/30/2017,0.770086003,,0.77,,0.78,,0.77,,0.76,,0.79,0.73,,,,
,3/31/2017,0.459452134,,0.73,,0.74,,0.72,,0.73,,0.75,,,,,
,12/30/2016,0.7202200559999999,,0.73,,0.75,,0.78,,0.85,,0.87,0.88,,,,
,9/30/2016,0.7277313009999999,,0.7,,0.71,,0.74,,0.8,,0.82,0.83,,,,
,6/30/2016,0.656806874,,0.65,,0.66,,0.67,,0.72,,0.76,0.78,0.81,,,
,3/31/2016,0.666940023,,0.64,,0.66,,0.73,,0.74,,0.75,,,,,
,12/31/2015,0.635246835,,0.69,,0.7,,0.72,,0.74,,0.76,0.78,0.81,0.83,,
,9/30/2015,0.635640026,,0.67,,0.68,,0.69,,0.74,,0.78,0.79,,,,
,6/30/2015,0.618084836,,0.69,,0.74,,0.77,,0.79,,,,,,,
,3/31/2015,0.66711232,,0.7,,0.71,,0.73,,0.74,,0.77,,,,,
,12/31/2014,0.762332821,,0.73,,0.74,,0.77,,0.79,,0.8,0.79,0.81,0.8,0.82,0.71
,9/30/2014,0.712339501,,0.71,,0.72,,0.75,,0.76,,0.77,0.78,0.75,,,
,6/30/2014,0.58342897,,0.74,,0.76,,0.77,,0.79,,0.78,0.71,,,,
,3/31/2014,0.6917185690000001,,0.7,,0.72,,0.71,,0.72,,0.72,,,,,
,12/31/2013,0.748253726,,0.72,,0.71,,0.72,,0.74,,0.75,0.71,,,,
,9/30/2013,0.374248884,,0.7,,0.71,,0.72,,0.73,,0.74,,,,,
,6/28/2013,0.767330517,,0.74,,0.75,,0.74,,0.67,,,,,,,
,3/28/2013,0.295695518,,0.63,,0.65,,0.67,,0.69,,0.7,0.69,0.68,0.7,,
,12/28/2012,0.71,,0.69,,0.7,,,,,,,,,,,
,9/28/2012,0.66,,0.71,,,,,,,,,,,,,
,6/29/2012,0.72,,0.69,,,,,,,,,,,,,
,3/30/2012,0.61,,0.57,,,,,,,,,,,,,
,12/30/2011,0.5545,,,,,,,,,,,,,,,
,9/30/2011,0.5187,,,,,,,,,,,,,,,
,6/30/2011,0.4355,,,,,,,,,,,,,,,
,3/31/2011,0.3196,,,,,,,,,,,,,,,
,12/31/2010,0.2967,,,,,,,,,,,,,,,
,9/30/2010,0.3,,,,,,,,,,,,,,,
,6/30/2010,0.3,,,,,,,,,,,,,,,
,3/31/2010,0.27,,,,,,,,,,,,,,,
,12/31/2009,0.27,,,,,,,,,,,,,,,
,9/30/2009,0.23,,,,,,,,,,,,,,,
,6/30/2009,0.2,,,,,,,,,,,,,,,
,3/31/2009,0.48,,,,,,,,,,,,,,,
,12/31/2008,0.51,,,,,,,,,,,,,,,
,9/30/2008,0.65,,,,,,,,,,,,,,,
,6/30/2008,0.78,,,,,,,,,,,,,,,
,3/31/2008,0.78,,,,,,,,,,,,,,,
,12/31/2007,0.75,,,,,,,,,,,,,,,
,9/28/2007,0.8,,,,,,,,,,,,,,,
,6/29/2007,0.83,,,,,,,,,,,,,,,
,3/30/2007,0.77,,,,,,,,,,,,,,,
,12/29/2006,0.46,,,,,,,,,,,,,,,
,9/29/2006,0.77,,,,,,,,,,,,,,,
,6/30/2006,0.79,,,,,,,,,,,,,,,
,3/31/2006,0.79,,,,,,,,,,,,,,,
,12/30/2005,0.78,,,,,,,,,,,,,,,
,9/30/2005,0.8,,,,,,,,,,,,,,,
,6/30/2005,0.7,,,,,,,,,,,,,,,
,3/31/2005,0.71,,,,,,,,,,,,,,,
,12/31/2004,0.72,,,,,,,,,,,,,,,
,9/30/2004,0.74,,,,,,,,,,,,,,,
,6/30/2004,0.72,,,,,,,,,,,,,,,
,3/31/2004,0.6,,,,,,,,,,,,,,,
,12/31/2003,0.67,,,,,,,,,,,,,,,
,9/30/2003,0.21,,,,,,,,,,,,,,,
