CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_3,Q_EPS_Projections_Date_3,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,,,,,
N,,12/31/2021,1.02,7/15/2020,1.15,7/3/2020,1.28,5/25/2020,1.4,4/22/2020,1.4,3/25/2020,,,,,,,,,,,,,,,
,,9/30/2021,0.91,,1.19,,1.52,,1.91,,1.91,,,,,,,,,,,,,,,,
,,6/30/2021,0.9,,0.94,,1.1,,1.78,,1.78,,,,,,,,,,,,,,,,
,,3/31/2021,-0.66,,-0.31,,-0.1,,0.42,,0.42,,,,,,,,,,,,,,,,
,,12/31/2020,-1.53,3/25/2020,-0.73,3/25/2020,-0.3,3/25/2020,0.57,3/25/2020,1.56,2/25/2020,1.55,1/23/2020,1.45,1/22/2020,1.45,,1.58,,1.68,,1.65,,1.66,1.63,1.643333333
,,9/30/2020,-2.78,,-1.99,,-1.76,,-1.58,,2.3,,2.28,,2.27,,2.27,,2.26,,2.29,,2.24,,2.22,2.15,2.16962963
,7/14/2020,6/30/2020,-9.01,,-4.34,,-4.39,,-1.13,,2.45,,2.44,,2.45,,2.45,,2.42,,2.44,,2.31,,2.27,2.17,2.277037037
,4/22/2020,3/31/2020,-0.84,,1.05,,1.05,,1,,1,,1.01,,1,,1.01,,1.02,1,0.94,0.880740741,,,,,
,1/14/2020,12/31/2019,1.706521739,,1.4,,1.49,,1.54,,1.53,,1.54,1.53,1.56,1.79,,,,,,,,,,,
,10/10/2019,9/30/2019,2.307098765,,2.26,,2.27,,2.06,,2.04,,2.03,2.02,2.04,2.07,2.22,,,,,,,,,,
,7/11/2019,6/28/2019,2.213190184,,2.29,,2.18,,2.18,,2.17,,2.13,2.15,2.12,2.15,2.18,2.1,,,,,,,,,
,4/10/2019,3/29/2019,1.094452774,,0.9,,0.89,,0.82,,0.94,,0.95,0.89,,,,,,,,,,,,,
,1/15/2019,12/31/2018,1.491947291,,1.27,,1.28,,1.57,,1.37,,1.4,1.16,1.15,,,,,,,,,,,,
,10/11/2018,9/28/2018,1.906976744,,1.74,,2,,1.97,,1.95,,1.74,,,,,,,,,,,,,,
,7/12/2018,6/29/2018,1.470588235,,1.72,,1.92,,1.94,,1.93,,1.71,,,,,,,,,,,,,,
,4/12/2018,3/29/2018,0.774787535,,0.73,,0.95,,0.96,,0.9,,0.89,,,,,,,,,,,,,,
,1/11/2018,12/29/2017,0.804500703,,0.88,,1.25,,1.28,,1.14,,1.13,1.09,1.11,1.12,1.08,1.31,1.41,1.34,,,,,,,
,10/11/2017,9/29/2017,1.611961057,,1.53,,1.79,,1.8,,1.65,,1.66,1.63,1.55,1.8,2.17,2.14,,,,,,,,,
,7/13/2017,6/30/2017,1.622435021,,1.67,,1.59,,1.61,,1.59,,1.61,1.62,1.63,1.46,1.97,2.07,,,,,,,,,
,4/12/2017,3/31/2017,0.76744186,,0.75,,0.92,,0.93,,0.9,,0.92,1.03,1.22,1.2,,,,,,,,,,,
,,12/30/2016,0.843962008,,0.82,,1.08,,1.09,,1.32,,1.41,1.47,1.51,1.47,1.44,1.11,,,,,,,,,
,,9/30/2016,1.692204301,,1.65,,1.83,,1.94,,1.98,,2.04,2.09,2.07,2,1.66,,,,,,,,,,
,,6/30/2016,2.02621232,,1.42,,1.85,,1.88,,1.95,,1.9,1.84,1.58,,,,,,,,,,,,
,,3/31/2016,1.212820513,,1.3,,1.33,,1.21,,1.2,,1.03,,,,,,,,,,,,,,
,,12/31/2015,1.248407643,,1.19,,1.17,,1.1,,,,,,,,,,,,,,,,,,
,,9/30/2015,1.65408805,,1.71,,1.66,,,,,,,,,,,,,,,,,,,,
,,6/30/2015,1.83107275,,1.21,,,,,,,,,,,,,,,,,,,,,,
,,3/31/2015,0.9031477,,0.44,,,,,,,,,,,,,,,,,,,,,,
,,12/31/2014,-0.863030303,,0.77,,,,,,,,,,,,,,,,,,,,,,
,,9/30/2014,0.423487544,,1.18,,,,,,,,,,,,,,,,,,,,,,
,,6/30/2014,0.942352941,,1.03,,,,,,,,,,,,,,,,,,,,,,
,,3/31/2014,0.249706917,,0.29,,,,,,,,,,,,,,,,,,,,,,
,,12/31/2013,9.882284382,,0.64,,,,,,,,,,,,,,,,,,,,,,
,,9/30/2013,1.590011614,,1.36,,,,,,,,,,,,,,,,,,,,,,
,,6/28/2013,0.797438882,,0.95,,,,,,,,,,,,,,,,,,,,,,
,,3/28/2013,0.008187135,,0.06,,,,,,,,,,,,,,,,,,,,,,
,,12/31/2012,0.008215962,,0.28,,,,,,,,,,,,,,,,,,,,,,
,,9/28/2012,1.231764706,,0.91,,,,,,,,,,,,,,,,,,,,,,
,,6/29/2012,-0.198816568,,0.68,,,,,,,,,,,,,,,,,,,,,,
,,3/30/2012,0.146399055,,-0.05,,,,,,,,,,,,,,,,,,,,,,
,,12/30/2011,0.51,,,,,,,,,,,,,,,,,,,,,,,,
,,9/30/2011,0.65,,,,,,,,,,,,,,,,,,,,,,,,
,,6/30/2011,0.23,,,,,,,,,,,,,,,,,,,,,,,,
,,3/31/2011,-0.38,,,,,,,,,,,,,,,,,,,,,,,,
,,12/31/2010,0.02,,,,,,,,,,,,,,,,,,,,,,,,
,,9/30/2010,0.43,,,,,,,,,,,,,,,,,,,,,,,,
,,6/30/2010,0.55,,,,,,,,,,,,,,,,,,,,,,,,
,,3/31/2010,-0.31,,,,,,,,,,,,,,,,,,,,,,,,
,,12/31/2009,-0.03,,,,,,,,,,,,,,,,,,,,,,,,
,,9/30/2009,-0.19,,,,,,,,,,,,,,,,,,,,,,,,
,,6/30/2009,-0.31,,,,,,,,,,,,,,,,,,,,,,,,
,,3/31/2009,-0.96,,,,,,,,,,,,,,,,,,,,,,,,
,,12/31/2008,-2.108504399,,,,,,,,,,,,,,,,,,,,,,,,
,,9/30/2008,-0.13,,,,,,,,,,,,,,,,,,,,,,,,
,,6/30/2008,-2.64,,,,,,,,,,,,,,,,,,,,,,,,
,,3/31/2008,-16.15,,,,,,,,,,,,,,,,,,,,,,,,
,,12/31/2007,-0.17721519,,,,,,,,,,,,,,,,,,,,,,,,
,,9/28/2007,0.56,,,,,,,,,,,,,,,,,,,,,,,,
