Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_2.1,Q_EPS_Projections_Date_2.1,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
,6/30/2021,1.2,4/27/2020,1.23,3/17/2020,1.34,3/8/2020,1.34,,1.348969466,,,,
,3/31/2021,1.12,,1.18,,1.23,,1.23,,1.284732824,,,,
,12/31/2020,1.72,,1.68,,1.63,,1.63,,1.498854962,,,,
,9/30/2020,1.62,,1.6,,1.64,,1.64,,1.370381679,,,,
,6/30/2020,1.07,,1.14,,1.24,,1.24,,1.26,,1.43,,
,3/31/2020,1.1,,1.11,,1.14,,1.14,,1.2,,1.22,,1.31
2/4/2020,12/31/2019,1.58,,1.53,,1.4,,1.58,,1.6,,,,
11/4/2019,9/30/2019,1.48,,1.24,,1.28,,1.47,,1.49,,,,
8/27/2019,6/28/2019,1.2,,1.29,,1.34,,1.35,,,,,,
4/25/2019,3/29/2019,1.109005772,,1.21,,1.22,,1.27,,,,,,
1/31/2019,12/31/2018,1.734419212,,1.48,,1.51,,1.46,,,,,,
10/25/2018,9/28/2018,1.418477866,,1.27,,1.34,,1.21,,,,,,
8/23/2018,6/29/2018,1.176757564,,1.09,,1.26,,1.16,,1.2,,,,
4/26/2018,3/29/2018,1.003824022,,1.05,,1.1,,1.11,,1.08,,,,
1/25/2018,12/29/2017,1.672250546,,1.3,,1.44,,1.45,,1.19,,,,
10/26/2017,9/29/2017,1.070489235,,1.11,,1.26,,1.15,,1.12,,,,
8/17/2017,6/30/2017,1.037929024,,1.12,,1.15,,1.4,,1.07,,,,
4/27/2017,3/31/2017,0.52733037,,1.07,,1.23,,,,,,,,
1/26/2017,12/30/2016,1.419627565,,1.36,,1.35,,1.38,,1.41,,1.42,,
10/27/2016,9/30/2016,1.217644914,,1.12,,1.03,,1.04,,1.02,,,,
,6/30/2016,1.117340049,,1.03,,0.99,,1.01,,0.99,,,,
,3/31/2016,1.059723846,,0.82,,0.83,,0.87,,0.88,,1.35,,
,12/31/2015,1.260721853,,1.35,,1.33,,1.28,,1.35,,1.42,,1.5
,9/30/2015,1.010386191,,0.91,,0.92,,0.9,,0.91,,,,
,6/30/2015,0.93518654,,0.85,,0.84,,0.9,,0.91,,,,
,3/31/2015,0.746542261,,0.74,,0.72,,0.78,,,,,,
,12/31/2014,1.206090107,,1.28,,1.31,,1.38,,1.37,,1.3,,
,9/30/2014,0.833247913,,0.83,,1,,1.03,,1.04,,0.96,,
,6/30/2014,0.780579753,,0.99,,1.05,,1.01,,0.86,,,,
,3/31/2014,-0.380115031,,0.84,,0.88,,1.16,,,,,,
,12/31/2013,1.437195502,,1.22,,1.06,,,,,,,,
,9/30/2013,0.90806239,,1.03,,1.05,,0.96,,,,,,
,6/28/2013,0.932676819,,0.94,,0.95,,0.76,,,,,,
,3/28/2013,0.800124601,,0.8,,0.81,,0.87,,0.85,,1.26,,
,12/31/2012,1.293477065,,1.25,,1.24,,,,,,,,
,9/28/2012,0.977919601,,0.94,,,,,,,,,,
,6/29/2012,0.952337272,,0.86,,,,,,,,,,
,3/30/2012,0.668672709,,,,,,,,,,,,
,12/30/2011,1.115014684,,,,,,,,,,,,
,9/30/2011,0.7782822,,,,,,,,,,,,
,6/30/2011,1.0685806,,,,,,,,,,,,
,3/31/2011,0.706431686,,,,,,,,,,,,
,12/31/2010,1.254741767,,,,,,,,,,,,
,9/30/2010,0.812034098,,,,,,,,,,,,
,6/30/2010,0.808899131,,,,,,,,,,,,
,3/31/2010,0.858997092,,,,,,,,,,,,
,12/31/2009,1.402860591,,,,,,,,,,,,
,9/30/2009,1.010314779,,,,,,,,,,,,
,6/30/2009,1.013705964,,,,,,,,,,,,
,3/31/2009,0.759288424,,,,,,,,,,,,
,12/26/2008,1.02,,,,,,,,,,,,
,9/26/2008,0.39,,,,,,,,,,,,
,6/30/2008,-0.09,,,,,,,,,,,,
,3/31/2008,0.3,,,,,,,,,,,,
,12/31/2007,0.54,,,,,,,,,,,,
,9/28/2007,0.51,,,,,,,,,,,,
,6/29/2007,0.02,,,,,,,,,,,,
,3/30/2007,0.43,,,,,,,,,,,,
,12/29/2006,0.56,,,,,,,,,,,,
,9/29/2006,0.43,,,,,,,,,,,,
,6/30/2006,0.7,,,,,,,,,,,,
,3/31/2006,0.35,,,,,,,,,,,,
,12/30/2005,0.89,,,,,,,,,,,,
,9/30/2005,0.53,,,,,,,,,,,,
,6/30/2005,0.52,,,,,,,,,,,,
,3/31/2005,1.08,,,,,,,,,,,,
,12/31/2004,0.46,,,,,,,,,,,,
