Q_Report_Date,Date,Q_EPS_Diluted,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
,12/31/2020,0.65,0.66,0.66,0.67,0.58,0.766511628,,,,
,9/30/2020,0.61,0.62,0.62,0.63,0.62,0.54,0.5589147289999999,,,
,6/30/2020,0.55,0.55,0.55,0.56,0.55,0.49,0.399224806,,,
,3/31/2020,0.48,0.48,0.48,0.49,0.45,0.35131782899999997,,,,
,12/31/2019,0.6,0.61,0.61,0.62,0.61,0.45,0.48,0.69,0.68,0.66
,9/30/2019,0.39,0.43,0.43,0.44,0.33,0.35,0.63,0.62,0.64,
,6/28/2019,0.158193455,0.21,0.22,0.23,0.25,0.49,0.58,0.65,,
,3/29/2019,0.119961264,0.21,0.22,0.41,0.42,0.48,0.55,,,
,12/31/2018,0.491156407,0.4,0.48,,,,,,,
,9/28/2018,0.47281942299999996,0.45,,,,,,,,
,6/29/2018,0.723140496,0.66,,,,,,,,
,3/29/2018,0.669076502,0.44,,,,,,,,
,12/29/2017,0.418219141,0.47,,,,,,,,
,9/29/2017,0.222273639,0.21,,,,,,,,
,6/30/2017,0.319925886,0.31,,,,,,,,
,3/31/2017,0.207176867,0.24,,,,,,,,
,12/30/2016,1.044681351,0.27,,,,,,,,
,9/23/2016,0.31180286399999996,0.28,,,,,,,,
,6/24/2016,0.241946484,0.27,,,,,,,,
,3/24/2016,0.140952149,0.06,,,,,,,,
,12/24/2015,-0.07494938599999999,0.0,,,,,,,,
,9/25/2015,0.03359067,0.03,,,,,,,,
,6/26/2015,0.055342804,0.08,,,,,,,,
,3/27/2015,0.105371645,0.06,,,,,,,,
,12/26/2014,-0.192905855,,,,,,,,,
,9/26/2014,-1.187717553,,,,,,,,,
,6/27/2014,0.024277457000000002,,,,,,,,,
,3/28/2014,0.066020945,,,,,,,,,
,12/27/2013,0.023250951000000002,,,,,,,,,
,9/27/2013,-0.19577834100000002,,,,,,,,,
,6/28/2013,-0.197337713,,,,,,,,,
,3/28/2013,-0.23914999399999998,,,,,,,,,
,12/28/2012,-0.155801435,,,,,,,,,
,9/28/2012,0.080092593,,,,,,,,,
,6/29/2012,0.18871717600000001,,,,,,,,,
,3/30/2012,0.071014553,,,,,,,,,
,12/30/2011,-0.023056253999999998,,,,,,,,,
,9/30/2011,0.323854459,,,,,,,,,
,7/1/2011,0.47295452600000004,,,,,,,,,
,4/1/2011,0.449202889,,,,,,,,,
,12/31/2010,1.120267547,,,,,,,,,
,10/1/2010,0.5320700970000001,,,,,,,,,
,7/2/2010,0.506280912,,,,,,,,,
,4/1/2010,0.261531671,,,,,,,,,
,12/31/2009,-0.014828837,,,,,,,,,
,9/25/2009,0.080987731,,,,,,,,,
,6/26/2009,-0.375958113,,,,,,,,,
,3/27/2009,-0.577192506,,,,,,,,,
,12/26/2008,-0.143649714,,,,,,,,,
,9/26/2008,-3.254387854,,,,,,,,,
,6/27/2008,-1.015135251,,,,,,,,,
,3/28/2008,-0.03894567,,,,,,,,,
,12/28/2007,-0.068533649,,,,,,,,,
,9/28/2007,0.10751767,,,,,,,,,
,6/29/2007,-0.007280058000000001,,,,,,,,,
,3/30/2007,-0.261128101,,,,,,,,,
,12/29/2006,-0.685676995,,,,,,,,,
,9/29/2006,-0.396186569,,,,,,,,,
,6/30/2006,-0.164731051,,,,,,,,,
,3/31/2006,-0.10155169800000001,,,,,,,,,
,12/30/2005,-0.158693475,,,,,,,,,
,9/30/2005,-0.264742493,,,,,,,,,
,7/1/2005,0.335576492,,,,,,,,,
,4/1/2005,0.184615385,,,,,,,,,
,12/31/2004,0.16,,,,,,,,,
,10/1/2004,0.17,,,,,,,,,
,7/2/2004,0.08,,,,,,,,,
,4/2/2004,-0.14,,,,,,,,,
,1/2/2004,-0.07,,,,,,,,,
,9/26/2003,-0.25,,,,,,,,,
,6/27/2003,-0.34,,,,,,,,,
,3/28/2003,-0.8,,,,,,,,,
,12/31/2002,-0.27,,,,,,,,,
,9/30/2002,-0.15,,,,,,,,,
,6/28/2002,-0.14,,,,,,,,,
,3/28/2002,-0.13,,,,,,,,,
,12/31/2001,-0.15,,,,,,,,,
,9/28/2001,-0.04,,,,,,,,,
,6/29/2001,0.13,,,,,,,,,
,3/30/2001,0.14,,,,,,,,,
,12/29/2000,0.28,,,,,,,,,
,9/29/2000,0.33,,,,,,,,,
,6/30/2000,0.24,,,,,,,,,
,3/31/2000,0.08,,,,,,,,,
,12/31/1999,0.17,,,,,,,,,
,9/30/1999,0.1,,,,,,,,,
,6/30/1999,0.03,,,,,,,,,
,3/31/1999,-0.02,,,,,,,,,
,12/31/1998,-0.08,,,,,,,,,
,9/30/1998,0.04,,,,,,,,,
,6/30/1998,0.17,,,,,,,,,
,3/31/1998,0.07,,,,,,,,,
,12/31/1997,0.18,,,,,,,,,
,9/30/1997,0.17,,,,,,,,,
,6/30/1997,0.16,,,,,,,,,
,3/31/1997,0.15,,,,,,,,,
,12/31/1996,0.14,,,,,,,,,
,9/30/1996,0.12,,,,,,,,,
,6/28/1996,0.11,,,,,,,,,
,3/29/1996,0.1,,,,,,,,,
,12/29/1995,0.31,,,,,,,,,
,9/29/1995,0.1,,,,,,,,,
,6/30/1995,0.07,,,,,,,,,
,3/31/1995,0.04,,,,,,,,,
,12/30/1994,-0.03,,,,,,,,,
,9/30/1994,-0.13,,,,,,,,,
,6/30/1994,-0.03,,,,,,,,,
,3/31/1994,-0.09,,,,,,,,,
,12/31/1993,0.0125,,,,,,,,,
,9/30/1993,0.0125,,,,,,,,,
,6/30/1993,0.0125,,,,,,,,,
,3/31/1993,0.0125,,,,,,,,,
,12/31/1992,-0.015,,,,,,,,,
,9/30/1992,-0.015,,,,,,,,,
,6/30/1992,-0.015,,,,,,,,,
