Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_2.1,Q_EPS_Projections_Date_2.1,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
,12/31/2020,0.34,3/19/2020,0.36,3/8/2020,0.36,,0.37,,0.38,,0.39,,0.398865248,,
,9/30/2020,0.34,,0.36,,0.36,,0.37,,0.38,,0.398865248,,,,
,6/30/2020,0.33,,0.34,,0.34,,0.36,,0.37,,0.366524823,,,,
,3/31/2020,0.33,,0.33,,0.33,,0.32,,0.35,,0.36,,0.37,,0.355744681
1/16/2020,12/31/2019,0.31,,0.33,,0.32,,0.35,,0.37,,,,,,
10/17/2019,9/30/2019,0.33,,0.33,,0.34,,0.35,,0.36,,0.37,,,,
7/18/2019,7/1/2019,0.328712269,,0.34,,0.33,,0.34,,0.35,,0.34,,0.35,,
4/18/2019,3/29/2019,0.296987356,,0.33,,0.34,,,,,,,,,,
1/17/2019,12/31/2018,0.347075074,,0.34,,0.33,,0.34,,0.3,,,,,,
10/18/2019,9/28/2018,0.328985507,,0.33,,0.29,,,,,,,,,,
7/19/2018,6/29/2018,0.309724238,,0.32,,0.28,,,,,,,,,,
4/19/2018,3/29/2018,0.303197674,,0.25,,0.3,,0.27,,,,,,,,
1/18/2018,12/29/2017,0.301526718,,0.27,,0.26,,0.25,,,,,,,,
10/19/2017,9/29/2017,0.267988903,,0.25,,,,,,,,,,,,
7/20/2017,6/30/2017,0.194381259,,0.23,,0.24,,,,,,,,,,
4/20/2017,3/31/2017,0.216343063,,0.22,,,,,,,,,,,,
,12/30/2016,0.241974986,,0.24,,0.23,,0.24,,0.25,,,,,,
,9/30/2016,0.242993736,,0.23,,0.24,,0.25,,0.24,,,,,,
,6/30/2016,0.226446281,,0.22,,0.23,,0.24,,0.23,,,,,,
,3/31/2016,0.208374743,,0.21,,0.23,,0.22,,,,,,,,
,12/31/2015,0.234919371,,0.23,,0.22,,0.24,,0.25,,,,,,
,9/30/2015,0.227242525,,0.22,,0.24,,0.23,,0.24,,,,,,
,6/30/2015,0.205604985,,0.21,,0.23,,0.22,,0.23,,0.22,,0.23,,
,3/31/2015,0.197894033,,0.2,,0.21,,0.22,,0.21,,0.22,,,,
,12/31/2014,0.216641554,,0.21,,0.22,,0.23,,0.24,,0.23,,0.21,,
,9/30/2014,0.206406648,,0.21,,0.22,,0.23,,0.24,,0.23,,0.2,,
,6/30/2014,0.242454728,,0.2,,0.21,,0.22,,0.2,,,,,,
,3/31/2014,0.178355502,,0.2,,0.21,,0.2,,0.2,,,,,,
,12/31/2013,0.196247146,,0.2,,0.21,,0.21,,,,,,,,
,9/30/2013,0.190206789,,0.21,,0.19,,0.19,,,,,,,,
,6/28/2013,0.198073488,,0.19,,0.2,,0.18,,,,,,,,
,3/28/2013,0.16143415,,0.18,,0.19,,0.19,,,,,,,,
,12/28/2012,0.184676665,,0.19,,0.19,,,,,,,,,,
,9/28/2012,0.180397052,,0.2,,0.19,,,,,,,,,,
,6/29/2012,0.190213403,,0.19,,,,,,,,,,,,
,3/30/2012,0.169855072,,0.19,,,,,,,,,,,,
,12/30/2011,0.124033691,,,,,,,,,,,,,,
,9/30/2011,0.147649883,,,,,,,,,,,,,,
,6/30/2011,0.148889147,,,,,,,,,,,,,,
,3/31/2011,0.149421965,,,,,,,,,,,,,,
,12/31/2010,0.09,,,,,,,,,,,,,,
,9/30/2010,0.07,,,,,,,,,,,,,,
,6/30/2010,0.04,,,,,,,,,,,,,,
,3/31/2010,0.04,,,,,,,,,,,,,,
,12/31/2009,0.07,,,,,,,,,,,,,,
,9/30/2009,0.08,,,,,,,,,,,,,,
,6/30/2009,0.08,,,,,,,,,,,,,,
,3/31/2009,0.07,,,,,,,,,,,,,,
,12/31/2008,0.1,,,,,,,,,,,,,,
,9/30/2008,0.14,,,,,,,,,,,,,,
,6/30/2008,0.13,,,,,,,,,,,,,,
,3/31/2008,0.05,,,,,,,,,,,,,,
,12/31/2007,0.16,,,,,,,,,,,,,,
,9/28/2007,0.2,,,,,,,,,,,,,,
,6/29/2007,0.05,,,,,,,,,,,,,,
,3/30/2007,0.11,,,,,,,,,,,,,,
,12/29/2006,0.13,,,,,,,,,,,,,,
,9/29/2006,0.06,,,,,,,,,,,,,,
,6/30/2006,0.11,,,,,,,,,,,,,,
,3/31/2006,0.11,,,,,,,,,,,,,,
,12/30/2005,0.125,,,,,,,,,,,,,,
,9/30/2005,0.12,,,,,,,,,,,,,,
,6/30/2005,0.13,,,,,,,,,,,,,,
