CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_3,Q_EPS_Projections_Date_3,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,
Non-GAAP,,12/31/2021,0.93,2/20/2021,0.93,2/19/2021,,,,,,,,,,,,,,,,,,
,,9/30/2021,0.82,,0.82,,,,,,,,,,,,,,,,,,,
,,6/30/2021,0.76,,0.76,,,,,,,,,,,,,,,,,,,
,,3/31/2021,0.68,,0.68,,,,,,,,,,,,,,,,,,,
,,12/31/2020,0.92,,0.92,,,,,,,,,,,,,,,,,,,
,11/9/2020,9/30/2020,0.56,,0.56,,,,,,,,,,,,,,,,,,,
,8/10/2020,6/30/2020,0.37,,0.37,,,,,,,,,,,,,,,,,,,
,5/4/2020,3/31/2020,0.36,,0.36,,,,,,,,,,,,,,,,,,,
,2/18/2020,12/31/2019,0.3,,0.3,,,,,,,,,,,,,,,,,,,
,10/30/2019,9/30/2019,0.35,,0.35,,,,,,,,,,,,,,,,,,,
,8/6/2019,6/28/2019,-0.05,,-0.05,,,,,,,,,,,,,,,,,,,
,5/2/2019,3/29/2019,0.17,,0.17,,,,,,,,,,,,,,,,,,,
,2/21/2019,12/31/2018,0.22,,0.22,,,,,,,,,,,,,,,,,,,
,11/1/2018,9/28/2018,0.19,,0.19,,,,,,,,,,,,,,,,,,,
,8/2/2018,6/29/2018,-0.08,,-0.08,,,,,,,,,,,,,,,,,,,
,5/3/2018,3/29/2018,-0.23,,-0.23,,,,,,,,,,,,,,,,,,,
,2/22/2018,12/29/2017,-0.52,,-0.52,,,,,,,,,,,,,,,,,,,
,11/2/2017,9/29/2017,0.44,,0.44,,,,,,,,,,,,,,,,,,,
,8/3/2017,6/30/2017,0.11,,0.11,,,,,,,,,,,,,,,,,,,
,5/9/2017,3/31/2017,0.86,,0.86,,,,,,,,,,,,,,,,,,,
,,12/30/2016,1.55,,1.55,,,,,,,,,,,,,,,,,,,
,,9/30/2016,0.86,,0.86,,,,,,,,,,,,,,,,,,,
,,6/30/2016,0.43,,0.43,,,,,,,,,,,,,,,,,,,
,,3/31/2016,0.3,,0.3,,,,,,,,,,,,,,,,,,,
,,12/31/2015,0.54,,0.54,,,,,,,,,,,,,,,,,,,
,,9/30/2015,0.2,,0.2,,,,,,,,,,,,,,,,,,,
,,6/30/2015,0.09,,0.09,,,,,,,,,,,,,,,,,,,
,,3/31/2015,0.08,,0.08,,,,,,,,,,,,,,,,,,,
,,12/30/2014,0.06,,0.06,,,,,,,,,,,,,,,,,,,
,,9/30/2014,0.06,,0.06,,,,,,,,,,,,,,,,,,,
,,6/30/2014,0.06,,0.06,,,,,,,,,,,,,,,,,,,
,,3/31/2014,0.05,,0.05,,,,,,,,,,,,,,,,,,,
