CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,,,,,,,,,,,,,,,,,,,,,
Adjusted,,12/31/2021,0.76,1/19/2021,0.75,1/8/2021,0.41,12/8/2020,0.79,11/7/2020,0.79,10/23/2020,0.77,10/22/2020,0.8,,,,,,,,,,,,,,,,
,,9/30/2021,0.61,,0.59,,0.75,,0.61,,0.61,,0.62,,0.64,,,,,,,,,,,,,,,,
,,6/30/2021,0.95,,0.97,,0.55,,1.07,,1.04,,1,,0.92,,,,,,,,,,,,,,,,
,,3/31/2021,0.78,,0.79,,0.18,,0.86,,0.85,,0.87,,0.85,,,,,,,,,,,,,,,,
,,12/31/2020,0.69,,0.69,,0.32,,0.68,,0.66,,0.65,,0.69,,0.89,,1.02,,1,,1.08,,,,,,,,
,11/5/2020,9/30/2020,0.44,,0.66,,0.65,,0.74,,0.87,,0.83,,0.85,,,,,,,,,,,,,,,,
,8/5/2020,6/30/2020,0.402077151,,0.71,,0.7,,0.96,,1.09,,1.11,,1.07,,,,,,,,,,,,,,,,
,5/6/2020,3/31/2020,0.550364964,,0.84,,0.86,,0.93,,0.91,,,,,,,,,,,,,,,,,,,,
,2/27/2020,12/31/2019,0.678062678,,0.92,,0.94,,0.95,,0.94,,,,,,,,,,,,,,,,,,,,
,11/7/2019,9/30/2019,0.35,,0.82,,0.83,,0.81,,,,,,,,,,,,,,,,,,,,,,
,8/6/2019,6/28/2019,1.322625698,,1.06,,1.09,,0.98,,,,,,,,,,,,,,,,,,,,,,
,5/2/2019,3/29/2019,0.537815126,,0.79,,0.78,,,,,,,,,,,,,,,,,,,,,,,,
,2/26/2019,12/31/2018,0.376223776,,0.8,,0.79,,0.64,,,,,,,,,,,,,,,,,,,,,,
,11/8/2018,9/28/2018,0.16,,0.59,,0.54,,,,,,,,,,,,,,,,,,,,,,,,
,8/7/2018,6/29/2018,0.303370787,,0.86,,0.77,,,,,,,,,,,,,,,,,,,,,,,,
,5/8/2018,3/29/2018,-0.014778325,,0.42,,0.43,,,,,,,,,,,,,,,,,,,,,,,,
,2/27/2018,12/29/2017,-2.014084507,,0.41,,0.52,,0.53,,0.55,,,,,,,,,,,,,,,,,,,,
,11/2/2017,9/29/2017,0.38178634,,0.54,,0.48,,0.49,,0.5,,0.72,,,,,,,,,,,,,,,,,,
