Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_3,Q_EPS_Projections_Date_3,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20
,12/31/2021,2.36,4/23/2020,2.36,3/31/2020,,,,,,,,,,,,,,,,
,9/30/2021,2.4,,2.4,,,,,,,,,,,,,,,,,
,6/30/2021,2.26,,2.26,,,,,,,,,,,,,,,,,
,3/31/2021,2.11,,2.11,,,,,,,,,,,,,,,,,
,12/31/2020,2.1,3/31/2020,2.37,3/31/2020,2.41,3/1/2020,2.41,1/24/2020,2.4,1/23/2020,2.4,,2.49,,2.56,2.63,2.68,2.72,2.71,2.719823789
,9/30/2020,1.99,,2.38,,2.51,,2.53,,2.54,,2.54,,2.56,,2.6,2.73,2.8,2.83,2.8,2.776486784
,6/30/2020,1.73,,2.19,,2.36,,2.38,,2.39,,2.39,,2.47,,2.5,2.48,2.6,2.56,2.538502203,
4/23/2020,3/31/2020,2.15,,1.89,,1.95,,1.97,,1.99,,1.99,,2.05,,2.14,2.21,2.18,2.277852423,,
1/23/2020,12/31/2019,2.02,,2.02,,2.04,,2.16,,2.32,2.4,2.43,2.41,2.4,2.38,2.31,,,,,
10/17/2019,9/30/2019,2.215415301,,2.3,,2.44,,2.46,2.49,2.46,2.45,2.43,2.33,,,,,,,,
7/18/2019,6/28/2019,2.217514124,,2.14,,2.28,,2.26,2.25,2.24,2.23,2.22,2.18,,,,,,,,
4/18/2019,3/29/2019,1.933287005,,1.89,,1.92,,2,2.01,1.98,1.97,1.94,,,,,,,,,
1/24/2019,12/31/2018,2.12034384,,2.06,,2.03,,2.06,2.02,,,,,,,,,,,,
10/25/2018,9/28/2018,2.150087731,,2.1,,2.08,,1.98,,,,,,,,,,,,,
7/19/2018,6/29/2018,1.97590677,,1.95,,1.85,,,,,,,,,,,,,,,
