Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_3,Q_EPS_Projections_Date_3,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21
,12/31/2020,0.92,1/11/2020,0.07,9/29/2019,0.07,,0.07,,0.17,,0.246028169,,0.231388235,0.91,,,,,,,
,9/30/2020,0.69,,0.93,,0.88,,0.88,,0.96,,0.9058309859999999,,0.851929412,1.12,,,,,,,
,6/30/2020,0.95,,0.99,,1.02,,1.02,,1.04,,1.163042254,,1.093835294,1.46,,,,,,,
,3/31/2020,0.84,,0.85,,0.87,,0.87,,0.97,,1.0512112679999999,,1.114870588,1.27,,,,,,,
,12/31/2019,-0.93,,-0.24,,-0.24,,-0.24,,-0.13,,0.22,,0.91,0.89,0.93,1.14,1.08,1.07,,,
,9/30/2019,0.59,,0.5,,0.47,,0.47,,0.58,,0.81,,1.12,1.1,1.21,1.09,0.97,0.93,,,
,6/28/2019,1.077458685,,1.0,,0.83,,1.04,,1.46,,1.44,1.36,1.14,1.05,1.1,,,,,,
,3/29/2019,1.1403738,,0.94,,1.06,,1.27,,1.26,,1.19,1.07,1.04,1.05,,,,,,,
,12/31/2018,-0.18048889399999998,,0.33,,0.06,,0.44,,1.05,,0.95,1.0,0.84,0.88,0.87,0.78,0.87,,,,
,9/28/2018,1.040674852,,1.02,,0.85,,0.84,,0.83,,0.69,0.74,0.73,0.69,0.73,,,,,,
,6/29/2018,1.29489449,,1.03,,1.14,,0.95,,0.92,,0.93,0.92,0.93,,,,,,,,
,3/29/2018,1.123247336,,0.91,,0.96,,0.97,,1.07,,0.9,0.87,0.86,0.87,,,,,,,
,12/29/2017,1.025383857,,0.79,,0.8,,0.81,,0.84,,0.85,0.84,0.85,0.82,0.81,0.84,0.82,0.85,0.84,0.82,0.7
,9/29/2017,0.27976976,,0.23,,0.69,,0.7,,0.69,,0.7,0.67,0.69,0.7,0.65,0.66,0.77,,,,
