Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_3,Q_EPS_Projections_Date_3,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,,
,12/31/2020,0.4,4/3/2020,0.39,3/2/2020,0.39,1/31/2020,0.39,1/26/2020,0.39,1/11/2020,0.42,9/20/2019,0.46,,0.46,,0.49,,0.52,
,9/30/2020,0.31,,0.32,,0.32,,0.32,,0.32,,0.32,,0.36,,0.36,,0.37,,0.42,0.39
,6/30/2020,0.28,,0.26,,0.25,,0.25,,0.25,,0.27,,0.3,,0.3,,0.27,,0.29,0.283636364
,3/31/2020,1.05,,0.74,,0.15,,0.15,,0.15,,0.19,,0.24,,0.24,,0.21,,0.22,0.212727273
1/30/2020,12/31/2019,0.45,,0.33,,0.33,,0.37,,0.44,,0.44,,0.43,,0.44,0.45,,,,
10/29/2019,9/30/2019,0.39,,0.32,,0.33,,0.33,,0.37,,,,,,,,,,,
7/30/2019,6/28/2019,0.215773127,,0.24,,0.23,,0.24,,0.28,,,,,,,,,,,
4/30/2019,3/29/2019,0.174106038,,0.18,,0.23,,,,,,,,,,,,,,,
1/29/2019,12/31/2018,0.42424629,,0.44,,0.43,,,,,,,,,,,,,,,
10/25/2018,9/28/2018,0.324286583,,0.28,,0.31,,,,,,,,,,,,,,,
7/26/2018,6/29/2018,0.23339396,,0.2,,0.24,,,,,,,,,,,,,,,
4/26/2018,3/29/2018,0.182983472,,0.19,,0.18,,,,,,,,,,,,,,,
1/30/2018,12/29/2017,-0.183797204,,0.34,,0.38,,0.4,,,,,,,,,,,,,
10/26/2017,9/29/2017,0.253683035,,0.23,,0.22,,0.26,,,,,,,,,,,,,
7/27/2017,6/30/2017,0.191851552,,0.19,,0.2,,0.25,,,,,,,,,,,,,
4/27/2017,3/31/2017,0.139484121,,0.13,,0.18,,,,,,,,,,,,,,,
1/26/2017,12/30/2016,0.26122947,,0.31,,0.34,,0.36,,0.38,0.4,,,,,,,,,,
10/27/2016,9/30/2016,0.189768069,,0.18,,0.23,,0.26,,0.27,0.26,,,,,,,,,,
7/27/2016,6/30/2016,0.153791186,,0.17,,0.23,,0.26,,,,,,,,,,,,,
4/28/2016,3/31/2016,0.072582219,,0.11,,0.16,,0.2,,0.21,0.2,0.28,,,,,,,,,
,12/31/2015,0.251474984,,0.28,,0.33,,0.32,,0.38,0.36,0.3,,,,,,,,,
,9/30/2015,0.180754743,,0.19,,0.21,,0.26,,0.29,0.27,,,,,,,,,,
,6/30/2015,0.192845048,,0.18,,0.23,,0.26,,0.27,,,,,,,,,,,
,3/31/2015,0.116602941,,0.17,,0.23,,0.28,,0.29,,,,,,,,,,,
,12/31/2014,0.338329447,,0.3,,0.29,,0.27,,0.28,0.31,0.26,,,,,,,,,
,9/30/2014,0.310407105,,0.26,,0.2,,0.24,,0.2,,,,,,,,,,,
,6/30/2014,0.192319154,,0.2,,0.19,,0.24,,0.2,,,,,,,,,,,
,3/31/2014,0.147745117,,0.16,,0.21,,0.3,,,,,,,,,,,,,
,12/31/2013,0.251376597,,0.25,,0.26,,0.17,,,,,,,,,,,,,
,9/30/2013,0.12550156,,0.11,,0.2,,0.19,,,,,,,,,,,,,
,6/28/2013,0.115119342,,0.18,,0.17,,0.22,,0.22,,,,,,,,,,,
,3/28/2013,0.149559764,,0.18,,0.16,,0.15,,0.19,,,,,,,,,,,
,12/31/2012,0.16789463,,0.19,,0.18,,0.2,,,,,,,,,,,,,
,9/28/2012,0.197767197,,0.21,,,,,,,,,,,,,,,,,
,6/29/2012,0.215389503,,,,,,,,,,,,,,,,,,,
,3/30/2012,0.152838356,,,,,,,,,,,,,,,,,,,
,12/30/2011,0.200299704,,,,,,,,,,,,,,,,,,,
,9/30/2011,0.105167545,,,,,,,,,,,,,,,,,,,
,6/30/2011,0.219113411,,,,,,,,,,,,,,,,,,,
,3/31/2011,0.252908015,,,,,,,,,,,,,,,,,,,
,12/31/2010,0.48107479,,,,,,,,,,,,,,,,,,,
,9/30/2010,0.237824723,,,,,,,,,,,,,,,,,,,
,6/30/2010,0.20763284,,,,,,,,,,,,,,,,,,,
,3/31/2010,0.155993948,,,,,,,,,,,,,,,,,,,
,12/31/2009,0.030323226,,,,,,,,,,,,,,,,,,,
,9/30/2009,0.127152606,,,,,,,,,,,,,,,,,,,
,6/30/2009,0.056923314,,,,,,,,,,,,,,,,,,,
,3/31/2009,0.004623173,,,,,,,,,,,,,,,,,,,
,12/31/2008,0.25,,,,,,,,,,,,,,,,,,,
,9/30/2008,0.29,,,,,,,,,,,,,,,,,,,
,6/30/2008,0.31,,,,,,,,,,,,,,,,,,,
,3/31/2008,0.22,,,,,,,,,,,,,,,,,,,
,12/31/2007,0.56,,,,,,,,,,,,,,,,,,,
,9/28/2007,0.27,,,,,,,,,,,,,,,,,,,
,6/29/2007,0.26,,,,,,,,,,,,,,,,,,,
,3/30/2007,0.23,,,,,,,,,,,,,,,,,,,
,12/29/2006,0.3,,,,,,,,,,,,,,,,,,,
,9/29/2006,0.23,,,,,,,,,,,,,,,,,,,
,6/30/2006,0.21,,,,,,,,,,,,,,,,,,,
,3/31/2006,0.15,,,,,,,,,,,,,,,,,,,
,12/30/2005,0.26,,,,,,,,,,,,,,,,,,,
,9/30/2005,0.18,,,,,,,,,,,,,,,,,,,
,6/30/2005,0.19,,,,,,,,,,,,,,,,,,,
,3/31/2005,0.14,,,,,,,,,,,,,,,,,,,
,12/31/2004,0.2,,,,,,,,,,,,,,,,,,,
,9/30/2004,0.1,,,,,,,,,,,,,,,,,,,
,6/30/2004,0.14,,,,,,,,,,,,,,,,,,,
,3/31/2004,0.16,,,,,,,,,,,,,,,,,,,
,12/31/2003,0.14,,,,,,,,,,,,,,,,,,,
,9/30/2003,0.1,,,,,,,,,,,,,,,,,,,
,6/30/2003,0.093333333,,,,,,,,,,,,,,,,,,,
,3/31/2003,0.086666667,,,,,,,,,,,,,,,,,,,
,12/31/2002,0.126666667,,,,,,,,,,,,,,,,,,,
,9/30/2002,0.086666667,,,,,,,,,,,,,,,,,,,
,6/28/2002,0.093333333,,,,,,,,,,,,,,,,,,,
,3/28/2002,0.093333333,,,,,,,,,,,,,,,,,,,
,12/31/2001,0.093333333,,,,,,,,,,,,,,,,,,,
,9/28/2001,0.073333333,,,,,,,,,,,,,,,,,,,
,6/29/2001,0.12,,,,,,,,,,,,,,,,,,,
,3/30/2001,0.173333333,,,,,,,,,,,,,,,,,,,
,12/29/2000,0.186666667,,,,,,,,,,,,,,,,,,,
,9/29/2000,0.166666667,,,,,,,,,,,,,,,,,,,
,6/30/2000,0.18,,,,,,,,,,,,,,,,,,,
,3/31/2000,0.16,,,,,,,,,,,,,,,,,,,
,12/31/1999,0.18,,,,,,,,,,,,,,,,,,,
,9/30/1999,0.126666667,,,,,,,,,,,,,,,,,,,
,6/30/1999,0.146666667,,,,,,,,,,,,,,,,,,,
,3/31/1999,0.126666667,,,,,,,,,,,,,,,,,,,
,12/31/1998,0.142222222,,,,,,,,,,,,,,,,,,,
,9/30/1998,0.111111111,,,,,,,,,,,,,,,,,,,
,6/30/1998,0.12,,,,,,,,,,,,,,,,,,,
,3/31/1998,0.115555556,,,,,,,,,,,,,,,,,,,
,12/31/1997,0.128888889,,,,,,,,,,,,,,,,,,,
,9/30/1997,0.102222222,,,,,,,,,,,,,,,,,,,
,6/30/1997,0.115555556,,,,,,,,,,,,,,,,,,,
,3/31/1997,0.102222222,,,,,,,,,,,,,,,,,,,
,12/31/1996,0.10962963,,,,,,,,,,,,,,,,,,,
,9/30/1996,0.085925926,,,,,,,,,,,,,,,,,,,
,6/28/1996,0.074074074,,,,,,,,,,,,,,,,,,,
,3/29/1996,0.074074074,,,,,,,,,,,,,,,,,,,
,12/29/1995,0.074074074,,,,,,,,,,,,,,,,,,,
,9/29/1995,0.053333333,,,,,,,,,,,,,,,,,,,
,6/30/1995,0.053333333,,,,,,,,,,,,,,,,,,,
