CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,,,,,,,,,,,
N,,12/31/2021,0.828592814,1/19/2021,0.828592814,1/12/2021,0.828592814,12/11/2020,0.828592814,11/11/2020,0.828592814,11/1/2020,0.828592814,10/5/2020,0.828592814,9/30/2020,,,,,
,,9/30/2021,1.204221557,,1.204221557,,1.204221557,,1.204221557,,1.204221557,,1.204221557,,1.204221557,,,,,,
,,6/30/2021,0.651826347,,0.651826347,,0.651826347,,0.651826347,,0.651826347,,0.651826347,,0.651826347,,,,,,
,,3/31/2021,0.994311377,,0.994311377,,0.994311377,,0.994311377,,0.994311377,,0.994311377,,0.994311377,,,,,,
,,12/31/2020,0.69,,0.69,,0.69,,0.73,,0.73,,0.73,,0.73,,0.75,,0.729848024,,0.772363636
,10/29/2020,9/30/2020,1.32,,1.09,,1.09,,1.09,,1.015440729,,1.051272727,,,,,,,,
,7/29/2020,6/30/2020,1.28,,0.59,,0.698115502,,0.750909091,,,,,,,,,,,,
,4/24/2020,3/31/2020,1.63,,0.9,,0.856778116,,0.868909091,,,,,,,,,,,,
,2/6/2020,12/31/2019,1.34,,0.69,,0.72,,0.76,,0,,,,,,,,,,
,10/31/2019,9/30/2019,1.92,,0.96,,0.98,,0.92,,0,,,,,,,,,,
,7/29/2019,6/27/2019,1.24,,0.7,,0.74,,0,,,,,,,,,,,,
,4/26/2019,3/29/2019,0.91266656,,0.75,,0,,,,,,,,,,,,,,
,2/7/2019,12/31/2018,0.203917791,,0.65,,0.63,,,,,,,,,,,,,,
,10/31/2018,9/28/2018,1.823430358,,0.95,,,,,,,,,,,,,,,,
,7/31/2018,6/29/2018,0.610870611,,0.72,,,,,,,,,,,,,,,,
,,3/29/2018,0.81397212,,0,,,,,,,,,,,,,,,,
,2/7/2018,12/29/2017,0.10296113,,0.7,,,,,,,,,,,,,,,,
,11/2/2017,9/29/2017,1.2493024,,0.96,,,,,,,,,,,,,,,,
,7/31/2017,6/30/2017,0.81614985,,0.76,,,,,,,,,,,,,,,,
,4/28/2017,3/31/2017,4.516001267,,0.7,,,,,,,,,,,,,,,,
,,12/30/2016,0.615792345,,0.66,,0.63,,,,,,,,,,,,,,
,,9/30/2016,1.299185099,,0.8,,,,,,,,,,,,,,,,
,,6/30/2016,1.731451489,,0.72,,,,,,,,,,,,,,,,
,,3/31/2016,0.843682086,,0.77,,,,,,,,,,,,,,,,
,,12/31/2015,-0.521653543,,0.71,,,,,,,,,,,,,,,,
,,9/30/2015,1.247031789,,0.88,,,,,,,,,,,,,,,,
,,6/30/2015,1.758698941,,nan,,,,,,,,,,,,,,,,
,,3/31/2015,0.781870987,,nan,,,,,,,,,,,,,,,,
,,12/31/2014,0.191570881,,nan,,,,,,,,,,,,,,,,
,,9/30/2014,0.906321401,,nan,,,,,,,,,,,,,,,,
,,6/30/2014,1.395261658,,nan,,,,,,,,,,,,,,,,
,,3/31/2014,0.821274339,,nan,,,,,,,,,,,,,,,,
,,12/31/2013,-0.355001867,,1.28,,,,,,,,,,,,,,,,
,,9/30/2013,0.91,,0.89,,,,,,,,,,,,,,,,
,,6/28/2013,1.4,,nan,,,,,,,,,,,,,,,,
,,3/28/2013,0.82,,nan,,,,,,,,,,,,,,,,
,,12/31/2012,0.676293622,,nan,,,,,,,,,,,,,,,,
,,9/28/2012,1.18,,nan,,,,,,,,,,,,,,,,
,,6/29/2012,1.07,,nan,,,,,,,,,,,,,,,,
,,3/30/2012,0.75,,nan,,,,,,,,,,,,,,,,
,,12/30/2011,1.05,,nan,,,,,,,,,,,,,,,,
,,9/30/2011,1.52,,nan,,,,,,,,,,,,,,,,
,,6/30/2011,0.76,,nan,,,,,,,,,,,,,,,,
,,3/31/2011,0.93,,nan,,,,,,,,,,,,,,,,
,,12/31/2010,-0.5,,nan,,,,,,,,,,,,,,,,
,,9/30/2010,1.23,,nan,,,,,,,,,,,,,,,,
,,6/30/2010,1.3,,nan,,,,,,,,,,,,,,,,
,,3/31/2010,1.31,,nan,,,,,,,,,,,,,,,,
,,12/31/2009,0.35,,nan,,,,,,,,,,,,,,,,
,,9/30/2009,1.09,,nan,,,,,,,,,,,,,,,,
,,6/30/2009,0.81,,nan,,,,,,,,,,,,,,,,
,,3/31/2009,1.21,,nan,,,,,,,,,,,,,,,,
,,12/31/2008,-0.18,,nan,,,,,,,,,,,,,,,,
,,9/30/2008,1.47,,nan,,,,,,,,,,,,,,,,
,,6/30/2008,0.34,,nan,,,,,,,,,,,,,,,,
,,3/31/2008,1.43,,nan,,,,,,,,,,,,,,,,
,,12/31/2007,-1.16,,nan,,,,,,,,,,,,,,,,
,,9/28/2007,1.37,,nan,,,,,,,,,,,,,,,,
,,6/29/2007,1.24,,nan,,,,,,,,,,,,,,,,
,,3/30/2007,1.57,,nan,,,,,,,,,,,,,,,,
,,12/29/2006,-0.06,,nan,,,,,,,,,,,,,,,,
,,9/29/2006,1.26,,nan,,,,,,,,,,,,,,,,
,,6/30/2006,0.13,,nan,,,,,,,,,,,,,,,,
,,3/31/2006,1.62,,nan,,,,,,,,,,,,,,,,
,,12/30/2005,-0.45,,nan,,,,,,,,,,,,,,,,
,,9/30/2005,1.44,,nan,,,,,,,,,,,,,,,,
,,6/30/2005,-0.25,,nan,,,,,,,,,,,,,,,,
,,3/31/2005,1.06,,nan,,,,,,,,,,,,,,,,
,,12/31/2004,-1.14,,nan,,,,,,,,,,,,,,,,
,,9/30/2004,1.13,,nan,,,,,,,,,,,,,,,,
,,6/30/2004,0.8,,nan,,,,,,,,,,,,,,,,
