Q_Report_Date,Date,Q_EPS_Diluted,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
,1/29/2021,1.34,1.43,1.43,1.42,1.4965517240000001,,,
,10/30/2020,0.3,0.4,0.4,0.38,0.42758620700000005,,,
,7/31/2020,0.07,0.01,0.01,0.085517241,,,,
,4/30/2020,-0.39,-0.34,-0.34,-0.33,-0.45965517200000006,,,
,1/31/2020,1.27,1.37,1.37,1.4,1.28,,,
,10/31/2019,0.24,0.36,0.36,0.37,0.36,0.4,0.35,
,8/2/2019,-0.47796058700000005,-0.53,-0.51,0.08,0.05,,,
,5/3/2019,-0.287871957,-0.43,-0.44,,,,,
,2/1/2019,1.424042544,1.15,1.13,,,,,
,11/2/2018,0.35016396299999997,0.2,0.27,,,,,
,8/3/2018,-0.056655099,-0.04,-0.36,,,,,
,5/4/2018,-0.619868613,-0.77,-0.69,,,,,
,2/2/2018,1.054763563,1.1,0.84,0.72,,,,
,10/31/2017,0.145120634,0.22,0.13,0.16,0.33,,,
,7/28/2017,-0.22629134,-0.33,-0.24,-0.2,-0.14,,,
,4/28/2017,-0.9063799159999999,-0.7,-0.69,-0.61,-0.53,,,
,1/31/2017,0.714373563,0.75,0.77,1.09,1.17,0.21,,
,10/28/2016,0.115426864,0.21,0.22,0.47,0.44,0.28,0.38,
,7/29/2016,-0.193232662,-0.2,0.08,0.14,0.13,0.04,,
,4/29/2016,-0.585390018,-0.51,-0.5,-0.49,-0.47,-0.45,,
,1/29/2016,0.846108758,0.99,1.0,1.01,,,,
,10/30/2015,0.604793186,0.22,0.29,0.49,0.8,,,
,7/31/2015,-0.011619067,-0.04,0.18,0.26,0.21,,,
,4/30/2015,-0.90988347,-0.34,-0.16,-0.08,-0.11,1.67,,
,1/30/2015,0.6328846810000001,1.15,1.18,1.66,1.69,0.72,,
,10/31/2014,0.252703527,0.41,0.71,0.73,0.71,0.72,0.71,0.1
,8/1/2014,0.174589186,0.11,0.12,0.18,0.19,0.31,-0.18,
,5/2/2014,-0.317804063,-0.19,-0.06,1.04,,,,
,1/31/2014,0.852219988,1.03,0.89,1.55,0.44,,,
,11/1/2013,-0.204614419,0.45,0.44,0.28,,,,
,8/2/2013,0.14343926199999998,0.28,0.31,0.33,-0.05,,,
,5/3/2013,-0.09196414900000001,-0.05,0.16,0.14,0.09,1.93,,
,2/1/2013,1.824862825,1.96,1.95,1.87,0.59,,,
,10/26/2012,0.866520443,0.59,,,,,,
,7/27/2012,0.18598770399999998,0.17,,,,,,
,4/27/2012,0.034635199,,,,,,,
,1/27/2012,0.22339357399999998,,,,,,,
,10/28/2011,0.567469651,,,,,,,
,7/29/2011,0.354509535,,,,,,,
,4/29/2011,0.277982331,,,,,,,
,1/28/2011,1.03051719,,,,,,,
,10/29/2010,0.555562957,,,,,,,
,7/30/2010,0.21792003199999999,,,,,,,
,4/30/2010,-0.134264147,,,,,,,
,1/29/2010,0.535588936,,,,,,,
,10/30/2009,0.43707877799999995,,,,,,,
,7/31/2009,-0.304365143,,,,,,,
,5/1/2009,-0.6755077140000001,,,,,,,
,1/30/2009,0.766113046,,,,,,,
,10/31/2008,0.719545977,,,,,,,
,8/1/2008,0.865155675,,,,,,,
,5/2/2008,0.689121125,,,,,,,
,1/31/2008,2.4,,,,,,,
,10/31/2007,1.29,,,,,,,
,7/31/2007,0.88,,,,,,,
,4/30/2007,0.5,,,,,,,
,1/31/2007,2.14,,,,,,,
,10/31/2006,1.11,,,,,,,
,7/31/2006,0.72,,,,,,,
,4/28/2006,0.62,,,,,,,
,1/31/2006,1.8,,,,,,,
,10/31/2005,0.79,,,,,,,
,7/29/2005,0.63,,,,,,,
,4/29/2005,0.45,,,,,,,
,1/31/2005,1.04,,,,,,,
,10/29/2004,0.42,,,,,,,
,7/30/2004,0.44,,,,,,,
,4/30/2004,0.3,,,,,,,
,1/30/2004,0.91,,,,,,,
,10/31/2003,0.51,,,,,,,
,8/1/2003,0.35,,,,,,,
,5/2/2003,0.26,,,,,,,
,1/31/2003,0.92,,,,,,,
,11/1/2002,0.48,,,,,,,
,8/2/2002,0.31,,,,,,,
,5/3/2002,0.23,,,,,,,
,2/1/2002,0.78,,,,,,,
,11/2/2001,0.43,,,,,,,
,8/3/2001,0.24,,,,,,,
,5/4/2001,0.2,,,,,,,
,2/2/2001,0.75,,,,,,,
,10/27/2000,0.43,,,,,,,
,7/28/2000,0.21,,,,,,,
,4/28/2000,0.16,,,,,,,
,1/28/2000,0.74,,,,,,,
,10/29/1999,0.36,,,,,,,
,7/30/1999,0.17,,,,,,,
,4/30/1999,0.23,,,,,,,
,1/29/1999,1.12,,,,,,,
,10/30/1998,0.47,,,,,,,
,7/31/1998,0.2,,,,,,,
