Q_Report_Date,Date,Q_EPS_Diluted,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
,3/31/2021,0.64,0.607062315,0.607062315,,,,
,12/31/2020,1.42,1.431750742,1.431750742,,,,
,9/30/2020,1.48,1.489020772,1.489020772,,,,
,6/30/2020,0.37,0.332166172,0.332166172,,,,
,3/31/2020,0.54,0.53,0.53,0.54,0.74,0.79,0.87
,12/31/2019,1.25,1.25,1.25,1.24,1.46,1.38,1.27
,9/30/2019,1.3,1.3,1.3,1.29,1.55,1.54,1.53
,6/28/2019,0.12246649800000001,0.29,0.3,0.53,,,
,3/29/2019,0.32142259999999995,0.58,0.67,0.72,0.76,,
,12/31/2018,1.159447878,1.1,1.14,1.16,,,
,9/28/2018,1.261686475,1.33,1.31,1.25,,,
,6/29/2018,0.401348524,0.33,0.34,,,,
,3/29/2018,0.629972886,0.66,0.6,,,,
,12/29/2017,-0.225459441,1.02,1.07,0.98,1.11,1.22,
,9/29/2017,0.97170495,1.12,1.2,1.28,1.3,,
,6/30/2017,0.274371305,0.28,0.33,0.39,0.4,,
,3/31/2017,0.502844023,0.55,0.65,0.67,0.97,,
,12/30/2016,0.632540543,0.97,0.99,1.09,,,
,9/30/2016,1.18903015,1.15,,,,,
,6/30/2016,0.120871726,0.34,,,,,
,3/31/2016,0.606499617,0.58,,,,,
,12/31/2015,0.722645798,1.01,,,,,
,10/2/2015,1.06583229,1.12,,,,,
,7/2/2015,0.39658651100000003,0.36,,,,,
,4/2/2015,0.665070271,0.67,,,,,
,1/2/2015,0.27769476600000004,0.98,,,,,
,9/26/2014,1.07528103,1.09,,,,,
,6/27/2014,0.360720242,0.35,,,,,
,3/28/2014,0.67,0.63,,,,,
,12/27/2013,0.83,0.84,,,,,
,9/27/2013,0.9725,0.94,,,,,
,6/28/2013,0.31,0.29,,,,,
,3/28/2013,0.6025,0.55,,,,,
,12/28/2012,0.745,,,,,,
,9/28/2012,0.855,,,,,,
,6/29/2012,0.35,,,,,,
,3/30/2012,0.4775,,,,,,
,12/30/2011,0.5775,,,,,,
,9/30/2011,0.6725,,,,,,
,7/1/2011,0.2925,,,,,,
,4/1/2011,0.455,,,,,,
,12/31/2010,0.1275,,,,,,
,10/1/2010,0.555,,,,,,
,7/2/2010,0.25,,,,,,
,4/1/2010,0.365,,,,,,
,12/31/2009,0.1425,,,,,,
,10/2/2009,0.485,,,,,,
,7/2/2009,0.17,,,,,,
,4/3/2009,0.2275,,,,,,
,1/2/2009,0.2675,,,,,,
,9/26/2008,0.525,,,,,,
,6/27/2008,0.235,,,,,,
,3/28/2008,0.3325,,,,,,
,12/28/2007,0.3575,,,,,,
,9/28/2007,0.46,,,,,,
,6/29/2007,0.18,,,,,,
,3/30/2007,0.3,,,,,,
,12/29/2006,0.25,,,,,,
,9/29/2006,0.4375,,,,,,
,6/30/2006,0.22,,,,,,
,3/31/2006,0.285,,,,,,
,12/30/2005,0.2125,,,,,,
,9/30/2005,0.3975,,,,,,
,7/1/2005,0.22,,,,,,
,4/1/2005,0.2675,,,,,,
,12/31/2004,0.2875,,,,,,
,10/1/2004,0.345,,,,,,
,7/2/2004,0.2,,,,,,
,3/31/2004,0.2325,,,,,,
,1/2/2004,0.25,,,,,,
,10/3/2003,0.285,,,,,,
,7/3/2003,0.17,,,,,,
,4/4/2003,0.2075,,,,,,
,1/3/2003,0.21,,,,,,
,9/27/2002,0.2875,,,,,,
,6/28/2002,0.1975,,,,,,
,3/28/2002,-1.0275,,,,,,
,12/28/2001,-0.2375,,,,,,
,9/28/2001,0.22,,,,,,
,6/29/2001,0.16,,,,,,
,3/30/2001,0.15,,,,,,
,12/29/2000,-0.015,,,,,,
,9/29/2000,0.215,,,,,,
,6/30/2000,0.1725,,,,,,
,3/31/2000,0.17,,,,,,
,12/31/1999,0.185,,,,,,
,10/1/1999,0.2125,,,,,,
,7/2/1999,0.16,,,,,,
,4/1/1999,0.1725,,,,,,
,12/31/1998,0.2025,,,,,,
,10/2/1998,0.24,,,,,,
,7/2/1998,0.1725,,,,,,
,4/3/1998,0.155,,,,,,
,1/2/1998,0.17,,,,,,
,10/3/1997,0.20875,,,,,,
,7/3/1997,0.14875,,,,,,
,4/4/1997,0.1325,,,,,,
,1/3/1997,0.1575,,,,,,
,9/27/1996,0.17375,,,,,,
,6/28/1996,0.1325,,,,,,
,3/29/1996,0.10625,,,,,,
,12/29/1995,-0.0675,,,,,,
,9/29/1995,0.13125,,,,,,
,6/30/1995,0.12375,,,,,,
,3/31/1995,0.10875,,,,,,
,12/30/1994,0.13625,,,,,,
,9/30/1994,0.16375,,,,,,
,7/1/1994,0.11,,,,,,
