Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_2.1,Q_EPS_Projections_Date_2.1,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19
,12/31/2021,1.42,4/23/2020,1.42,3/18/2020,,,,,,,,,,,,,,,
,9/30/2021,1.51,,1.51,,,,,,,,,,,,,,,,
,6/30/2021,1.45,,1.45,,,,,,,,,,,,,,,,
,3/31/2021,1.13,,1.13,,,,,,,,,,,,,,,,
,12/31/2020,1.29,3/18/2020,2.11,3/18/2020,2.03,3/8/2020,2.03,,2.09,,2.01,,,,,,,,
,9/30/2020,1.31,,2.3,,2.26,,2.26,,2.32,,2.29,,,,,,,,
,6/30/2020,1.15,,1.26,,2.27,,2.27,,2.3,,2.28,,,,,,,,
4/23/2020,3/31/2020,1.11,,1.7,,1.71,,1.71,,1.79,,1.75,,,,,,,,
2/6/2020,12/31/2019,1.8,,1.83,,1.97,,1.99,,1.85,,,,,,,,,,
10/24/2019,9/30/2019,2.05,,2.11,,2.15,,2.19,,,,,,,,,,,,
7/25/2019,6/28/2019,2.158487374,,2.11,,2.13,,2.15,,,,,,,,,,,,
4/25/2019,3/29/2019,1.64305103,,1.58,,1.59,,,,,,,,,,,,,,
2/7/2019,12/31/2018,1.954465785,,1.75,,1.74,,1.19,,,,,,,,,,,,
10/25/2018,9/28/2018,2.115771423,,1.97,,1.37,,,,,,,,,,,,,,
7/26/2018,6/29/2018,1.988984922,,1.83,,1.36,,,,,,,,,,,,,,
4/26/2018,3/29/2018,1.327564917,,1.3,,0.97,,,,,,,,,,,,,,
2/8/2018,12/29/2017,2.394508109,,1.12,,1.08,,0.96,,0.97,,0.98,,,,,,,,
10/26/2017,9/29/2017,1.241962097,,1.16,,1.11,,1.1,,1.11,,,,,,,,,,
7/27/2017,6/30/2017,1.193987842,,1.1,,1.07,,1.08,,1.07,,1.08,,,,,,,,
4/27/2017,3/31/2017,0.798016041,,0.79,,0.81,,0.8,,0.79,,,,,,,,,,
,12/30/2016,0.830939964,,0.86,,0.88,,0.94,,0.96,,0.99,,1,,1.03,,1.02,,1.04
,9/30/2016,1.033445033,,0.97,,1,,1.07,,1.09,,1.14,,1.15,,1.18,,,,
,6/30/2016,0.976097672,,0.95,,1.05,,1.06,,1.09,,1.13,,1.14,,1.16,,1.13,,
,3/31/2016,0.717823606,,0.76,,0.77,,0.8,,0.83,,0.84,,0.85,,0.84,,,,
,12/31/2015,0.853862978,,0.84,,0.85,,0.88,,0.89,,0.9,,0.92,,0.85,,0.8,,
,9/30/2015,0.989688787,,1.01,,1.02,,1.01,,1.04,,1.02,,0.98,,,,,,
,6/30/2015,0.998215265,,0.98,,0.99,,0.98,,0.96,,,,,,,,,,
,3/31/2015,0.727269944,,0.71,,0.69,,0.66,,0.69,,,,,,,,,,
,12/31/2014,0.810978016,,0.72,,0.69,,0.67,,0.68,,0.87,,,,,,,,
,9/30/2014,0.904184704,,0.87,,0.81,,0.8,,0.79,,0.82,,,,,,,,
,6/30/2014,0.857065759,,0.83,,0.81,,0.77,,0.5,,,,,,,,,,
,3/31/2014,0.532548531,,0.49,,0.54,,0.53,,0.59,,,,,,,,,,
,12/31/2013,0.547275576,,0.59,,0.69,,,,,,,,,,,,,,
,9/30/2013,0.698068333,,0.69,,0.65,,0.65,,,,,,,,,,,,
,6/28/2013,0.676087229,,0.64,,0.63,,0.41,,,,,,,,,,,,
,3/28/2013,0.470643986,,0.42,,0.43,,0.5,,,,,,,,,,,,
,12/31/2012,0.458202286,,0.5,,0.54,,,,,,,,,,,,,,
,9/28/2012,0.592398306,,0.54,,,,,,,,,,,,,,,,
,6/29/2012,0.55512421,,,,,,,,,,,,,,,,,,
,3/30/2012,0.360879481,,,,,,,,,,,,,,,,,,
,12/30/2011,0.46287044,,,,,,,,,,,,,,,,,,
,9/30/2011,0.448337565,,,,,,,,,,,,,,,,,,
,6/30/2011,0.457065008,,,,,,,,,,,,,,,,,,
,3/31/2011,0.255652867,,,,,,,,,,,,,,,,,,
,12/31/2010,0.262914212,,,,,,,,,,,,,,,,,,
,9/30/2010,0.290628939,,,,,,,,,,,,,,,,,,
,6/30/2010,0.256441373,,,,,,,,,,,,,,,,,,
,3/31/2010,0.091798216,,,,,,,,,,,,,,,,,,
,12/31/2009,0.113333333,,,,,,,,,,,,,,,,,,
,9/30/2009,0.126666667,,,,,,,,,,,,,,,,,,
,6/30/2009,0.084444444,,,,,,,,,,,,,,,,,,
,3/31/2009,0.031111111,,,,,,,,,,,,,,,,,,
,12/31/2008,0.133333333,,,,,,,,,,,,,,,,,,
,9/30/2008,0.28,,,,,,,,,,,,,,,,,,
,6/30/2008,0.284444444,,,,,,,,,,,,,,,,,,
,3/31/2008,0.124444444,,,,,,,,,,,,,,,,,,
,12/31/2007,0.186666667,,,,,,,,,,,,,,,,,,
,9/28/2007,0.24,,,,,,,,,,,,,,,,,,
,6/29/2007,0.266666667,,,,,,,,,,,,,,,,,,
,3/30/2007,0.16,,,,,,,,,,,,,,,,,,
,12/29/2006,0.213333333,,,,,,,,,,,,,,,,,,
,9/29/2006,0.24,,,,,,,,,,,,,,,,,,
,6/30/2006,0.257777778,,,,,,,,,,,,,,,,,,
,3/31/2006,0.155555556,,,,,,,,,,,,,,,,,,
,12/30/2005,0.173333333,,,,,,,,,,,,,,,,,,
,9/30/2005,0.191111111,,,,,,,,,,,,,,,,,,
,6/30/2005,0.164444444,,,,,,,,,,,,,,,,,,
,3/31/2005,0.111111111,,,,,,,,,,,,,,,,,,
,12/31/2004,0.126411912,,,,,,,,,,,,,,,,,,
,9/30/2004,0.147027352,,,,,,,,,,,,,,,,,,
,6/30/2004,0.128547009,,,,,,,,,,,,,,,,,,
,3/31/2004,0.070195234,,,,,,,,,,,,,,,,,,
,12/31/2003,0.094972119,,,,,,,,,,,,,,,,,,
,9/30/2003,0.112047047,,,,,,,,,,,,,,,,,,
,6/30/2003,0.080052534,,,,,,,,,,,,,,,,,,
,3/31/2003,0.052278491,,,,,,,,,,,,,,,,,,
,12/31/2002,0.075126087,,,,,,,,,,,,,,,,,,
,9/30/2002,0.101204563,,,,,,,,,,,,,,,,,,
,6/28/2002,0.069013583,,,,,,,,,,,,,,,,,,
,3/28/2002,0.035495192,,,,,,,,,,,,,,,,,,
,12/31/2001,0.063200125,,,,,,,,,,,,,,,,,,
,9/28/2001,0.057949265,,,,,,,,,,,,,,,,,,
,6/29/2001,0.049057056,,,,,,,,,,,,,,,,,,
,3/30/2001,0.015857268,,,,,,,,,,,,,,,,,,
,12/29/2000,0.039506173,,,,,,,,,,,,,,,,,,
,9/29/2000,0.068477366,,,,,,,,,,,,,,,,,,
,6/30/2000,0.072427984,,,,,,,,,,,,,,,,,,
,3/31/2000,0.036872428,,,,,,,,,,,,,,,,,,
,12/31/1999,0.05399177,,,,,,,,,,,,,,,,,,
,9/30/1999,0.067160494,,,,,,,,,,,,,,,,,,
,6/30/1999,0.067160494,,,,,,,,,,,,,,,,,,
,3/31/1999,0.039506173,,,,,,,,,,,,,,,,,,
,12/31/1998,0.035555556,,,,,,,,,,,,,,,,,,
,9/30/1998,0.05399177,,,,,,,,,,,,,,,,,,
,6/30/1998,0.056625514,,,,,,,,,,,,,,,,,,
,3/31/1998,0.030288066,,,,,,,,,,,,,,,,,,
,12/31/1997,0.034238683,,,,,,,,,,,,,,,,,,
,9/30/1997,0.052674897,,,,,,,,,,,,,,,,,,
,6/30/1997,0.050041152,,,,,,,,,,,,,,,,,,
,3/31/1997,0.022386831,,,,,,,,,,,,,,,,,,
,12/31/1996,0.026337449,,,,,,,,,,,,,,,,,,
,9/30/1996,0.034238683,,,,,,,,,,,,,,,,,,
