Q_Report_Date,Date,Q_EPS_Diluted,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24
,12/31/2020,3.13,3.17,3.17,3.19,3.3458840039999997,,,,,,,,,,,,,,,,,,,
,9/30/2020,2.99,3.1,3.1,3.12,3.216744621,,,,,,,,,,,,,,,,,,,
,6/30/2020,2.85,3.01,3.01,3.03,3.075865295,,,,,,,,,,,,,,,,,,,
,3/31/2020,2.75,2.92,2.92,2.95,2.946725912,,,,,,,,,,,,,,,,,,,
,12/31/2019,2.73,2.82,2.82,2.83,2.85,2.87,2.86,2.85,2.79,2.82,2.81,2.77,2.75,2.83,2.76,2.69,2.68,2.67,,,,,,
,9/30/2019,2.68,2.74,2.74,2.76,2.74,2.68,2.67,2.65,2.63,2.64,2.71,2.67,2.59,,,,,,,,,,,
,6/28/2019,2.161827439,2.63,2.64,2.62,2.63,2.64,2.63,2.62,2.55,2.54,2.53,2.6,2.59,2.57,2.49,2.5,2.48,,,,,,,
,3/29/2019,2.144344205,2.43,2.44,2.43,2.44,2.51,2.44,2.5,2.4,2.43,2.41,2.35,2.07,2.37,,,,,,,,,,
,12/31/2018,1.503011626,2.32,2.33,2.34,2.36,2.35,2.33,2.23,2.26,2.27,2.26,2.27,2.28,2.29,2.3,2.33,2.31,2.3,2.26,2.35,2.37,2.36,2.37,2.42
,9/28/2018,1.503404196,2.22,2.23,2.22,2.21,2.16,2.17,2.16,2.18,2.17,2.16,2.17,2.18,2.21,2.24,2.21,2.2,2.19,2.18,2.24,2.23,2.22,2.24,2.26
,6/29/2018,1.426426426,2.11,2.1,2.09,2.1,2.09,2.1,2.11,2.13,2.17,2.15,2.14,2.13,2.11,2.17,2.15,2.13,2.1,2.12,,,,,
,3/29/2018,1.10113237,1.96,1.95,1.96,1.95,1.96,1.95,2.0,2.02,2.01,2.0,2.06,2.02,1.99,1.98,,,,,,,,,
,12/29/2017,-0.104718811,1.97,1.95,1.93,1.92,1.95,1.96,1.97,1.95,1.96,1.98,1.92,1.9,1.86,1.89,,,,,,,,,
,9/29/2017,1.211972522,1.87,1.88,1.87,1.88,1.86,1.84,1.76,1.77,,,,,,,,,,,,,,,
,6/30/2017,1.307133177,1.78,1.76,1.77,1.76,1.74,1.69,1.66,1.63,,,,,,,,,,,,,,,
,3/31/2017,1.1600098620000001,1.63,1.64,1.63,1.62,1.64,1.62,1.58,1.53,1.59,,,,,,,,,,,,,,
,12/30/2016,0.5346546999999999,1.59,1.54,1.53,1.55,1.57,1.62,1.82,,,,,,,,,,,,,,,,
