CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_3,Q_EPS_Projections_Date_3,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,,,,,,,,,,,,,,,,,,
Y,,1/29/2022,0.36,1/19/2021,0.36,1/17/2021,0.39,12/18/2020,0.38,11/18/2020,0.33,10/7/2020,0.33,9/3/2020,0.23,8/7/2020,0.23,7/2/2020,0.21,5/21/2020,0.21,4/4/2020,,,,,,,,,,,,,,,
,,10/30/2021,1.06,,1.06,,1.15,,1.15,,1.05,,1.05,,1.08,,1.08,,1,,1,,,,,,,,,,,,,,,,
,,7/31/2021,0.85,,0.85,,1.06,,1.05,,0.83,,0.83,,0.92,,0.92,,0.92,,0.92,,,,,,,,,,,,,,,,
,,4/30/2021,0.96,,0.86,,0.9,,0.89,,0.95,,0.95,,0.99,,0.99,,0.94,,0.94,,,,,,,,,,,,,,,,
,,1/29/2021,0.33,,0.33,,0.33,,0.33,,0.32,4/4/2020,0.32,4/4/2020,0.22,4/4/2020,0.17,4/4/2020,0.27,4/4/2020,0.26,4/4/2020,0.24,3/26/2020,0.24,3/25/2020,0.27,2/22/2020,0.27,1/23/2020,0.27,,0.23,,0.19,0.16,0.163533835
,11/18/2020,10/30/2020,1.03,,0.68,,0.97,,0.97,,0.9,,0.99,,1.01,,1.02,,1.02,,1.05,,1.05,,1.05,,1,,0.96,0.91,0.92,0.91,0.959398496,,,,
,9/1/2020,7/31/2020,0.71,,0.62,,0.55,,0.06,,0.81,,0.89,,0.89,,0.92,,0.92,,0.92,,0.91,,0.9,0.89,0.83,0.89,0.872180451,,,,,,,,
,5/20/2020,4/30/2020,-1.16,,-0.53,,-0.16,,0.02,,0.91,,0.91,,0.91,,0.89,,0.93,0.92,0.93,0.915789474,,,,,,,,,,,,,,,
,3/25/2020,1/31/2020,0.24,,0.22,,0.22,,0.22,,0.21,,0.19,0.16,0.15,0.11,,,,,,,,,,,,,,,,,,,,,
,11/21/2019,11/1/2019,0.94297884,,0.89,,0.88,,0.89,0.91,0.9,0.88,0.81,,,,,,,,,,,,,,,,,,,,,,,,
,8/28/2019,8/2/2019,0.802931596,,0.78,,0.76,,0.8,0.66,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5/22/2019,5/3/2019,0.913177988,,0.84,,0.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3/26/2019,2/1/2019,0.088126581,,0.06,,0.02,,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11/15/2018,11/2/2018,0.761826461,,0.59,,0.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8/28/2018,8/3/2018,0.76338908,,0.56,,0.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5/24/2018,5/4/2018,0.830113344,,0.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3/27/2018,1/31/2018,-0.243020423,,0.09,,0.11,,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11/16/2017,10/31/2017,0.669986221,,0.62,,0.57,,0.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8/30/2017,7/31/2017,0.242077793,,0.2,,0.23,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5/24/2017,4/28/2017,0.483053871,,0.49,,0.61,,0.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,
