CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Adjusted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_3,Q_EPS_Projections_Date_3,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,,,,,,,,,,,,,,,,,,,,,,,,,
Non-GAAP,,12/31/2022,,0.66,9/16/2022,0.66,8/13/2022,0.86,7/15/2022,0.86,6/14/2022,0.85,5/11/2022,0.85,4/16/2022,0.91,3/12/2022,0.91,2/21/2022,0.91,1/20/2022,0.91,12/14/2021,0.72,11/6/2021,0.72,10/18/2021,0.72,9/15/2021,0.72,8/8/2021,0.72,7/12/2021,0.72,6/11/2021,0.81,5/10/2021,0.81,4/17/2021,0.83,3/13/2021,0.83,3/2/2021,0.83,2/2/2021,0.83,12/30/2020,0.83,12/29/2020
,,9/30/2022,,0.18,,0.18,,0.61,,0.61,,0.68,,0.68,,0.73,,0.73,,0.73,,0.73,,0.59,,0.59,,0.59,,0.59,,0.59,,0.59,,0.65,,0.65,,0.6,,0.6,,0.6,,0.6,,0.6,
,8/4/2022,6/30/2022,-0.33,-0.06,,0.19,,0.19,,0.19,,0.19,,0.44,,0.44,,0.44,,0.44,,0.52,,0.52,,0.52,,0.52,,0.52,,0.52,,0.55,,0.55,,0.52,,0.52,,0.52,,0.52,,0.52,,,
,5/5/2022,3/31/2022,-0.3,0.07,,0.1,,0.19,,0.19,,0.19,,0.19,,0.47,,0.47,,0.47,,0.47,,0.47,,0.47,,0.48,,0.48,,0.42,,0.42,,0.42,,0.42,,0.42,,,,,,,,,
,3/10/2022,12/31/2021,-0.07,0.47,,0.33,,0.33,,0.33,,0.47,,0.47,,0.47,,0.95,,0.95,,0.95,,1.03,,1.03,4/17/2021,0.83,3/13/2021,0.83,3/2/2021,0.83,2/2/2021,0.83,12/30/2020,0.83,12/29/2020,,,,,,,,,,,,
,11/4/2021,9/30/2021,0.06,0.53,,0.4,,0.4,,0.53,,0.53,,0.53,,0.56,,0.56,,0.6,,0.6,,0.6,,0.6,,0.6,,,,,,,,,,,,,,,,,,,,,
,8/5/2021,6/30/2021,-0.37,0.24,,0.39,,0.39,,0.42,,0.42,,0.52,,0.52,,0.52,,0.52,,0.52,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5/6/2021,3/31/2021,-0.31,0.22,,0.23,,0.42,,0.42,,0.42,,0.42,,0.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3/11/2021,12/31/2020,-0.33,0.46,,0.51,,0.51,,0.51,,0.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11/5/2020,9/30/2020,0.21,0.68,,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8/2/2020,6/30/2020,-0.43,0.17,,-0.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5/7/2020,3/31/2020,-0.71,-0.13,,-0.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3/5/2020,12/31/2019,0.27,0.97,,0.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
