CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_2,Q_EPS_Projections_Date_2
Non-GAAP Basic,,12/31/2021,1.07,12/3/2020,1.07,10/27/2020,1.07,10/26/2020,0.8,
,,9/30/2021,1.17,,1.17,,1.17,,,
,,6/30/2021,1.07,,1.07,,1.07,,,
,,3/31/2021,0.49,,0.49,,0.49,,,
,,12/31/2020,0.84,,0.95,,0.95,,,
,,9/30/2020,0.85,,0.86,,0.86,,,
,9/23/2020,6/30/2020,0.93,,0.93,,,,,
,6/15/2020,3/31/2020,0.64,,0.64,,,,,
,3/13/2020,12/31/2019,0.38,,0.38,,,,,
,11/19/2019,9/30/2019,0.65,,0.65,,,,,
,8/30/2019,6/28/2019,0.18,,0.18,,,,,
,6/28/2019,3/29/2019,0.15,,0.15,,,,,
,3/22/2019,12/31/2018,0.44,,0.44,,,,,
,11/26/2018,9/28/2018,0.72,,0.72,,,,,
,8/13/2018,6/29/2018,0.41,,0.41,,,,,
,6/26/2018,3/29/2018,0.02,,0.02,,,,,
,3/22/2018,12/29/2017,0.12,,0.12,,,,,
,12/7/2017,9/29/2017,0.04,,0.04,,,,,
,9/6/2017,6/30/2017,0.64,,0.64,,,,,
,6/5/2017,3/31/2017,0.28,,0.28,,,,,
,2/27/2017,12/30/2016,0.64,,0.64,,,,,
,11/16/2016,9/30/2016,0.92,,0.92,,,,,
,8/25/2016,6/30/2016,1.28,,1.28,,,,,
,5/27/2016,3/31/2016,1.44,,1.44,,,,,
,3/1/2016,12/31/2015,1.68,,1.68,,,,,
,11/19/2015,9/30/2015,0.48,,0.48,,,,,
,8/20/2015,6/30/2015,0.4,,0.4,,,,,
,5/28/2015,3/31/2015,0.24,,0.24,,,,,
,3/2/2015,12/31/2014,0.52,,0.52,,,,,
,11/20/2014,9/30/2014,1.32,,1.32,,,,,
,8/19/2014,6/30/2014,0.64,,0.64,,,,,
,5/27/2014,3/31/2014,-0.2,,-0.2,,,,,
,3/2/2014,12/31/2013,0.96,,0.96,,,,,
,11/18/2013,9/30/2013,0.72,,0.72,,,,,
,8/14/2013,6/28/2013,0.36,,0.36,,,,,
,6/7/2013,3/28/2013,-0.92,,-0.92,,,,,
,4/10/2013,12/31/2012,-5.51,,-5.51,,,,,
,11/20/2012,9/28/2012,-0.39,,-0.39,,,,,
,8/23/2012,6/29/2012,-2.2,,-2.2,,,,,
,6/20/2012,3/30/2012,-2.55,,-2.55,,,,,
,3/8/2012,12/30/2011,-2.58,,-2.58,,,,,
,11/21/2011,9/30/2011,-1.86,,-1.86,,,,,
,8/16/2011,6/30/2011,1.38,,1.38,,,,,
