CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,,,,,,,
N,,12/31/2021,0.61,1/16/2021,0.63,1/14/2021,0.63,,0.57,,0.58,,,,,,
,,9/30/2021,1.19,,1.16,,1.16,,1.17,,1.16,,,,,,
,,6/30/2021,0.54,,0.55,,0.55,,0.57,,,,,,,,
,,3/31/2021,0.61,,0.62,,0.62,,0.64,,0.65,,,,,,
,,12/31/2020,0.55,,0.55,,0.55,,0.59,,0.62,,0.57,,0.52,,0.5
,10/29/2020,9/30/2020,1.142045455,,1.06,,1.1,,1.08,,1.05,,1.07,,1.11,,1.08
,7/30/2020,6/30/2020,0.54459203,,0.48,,0.51,,0.5,,0.51,,0.53,,0.58,,
,5/7/2020,3/31/2020,0.559772296,,0.6,,0.62,,0.64,,0.53,,,,,,
,1/30/2020,12/31/2019,0.55513308,,0.54,,0.53,,0.49,,0.44,,0.43,,,,
,10/24/2019,9/30/2019,1.011516315,,1.03,,1.04,,1.02,,1.05,,,,,,
,8/1/2019,6/28/2019,0.459459459,,0.51,,0.54,,0.51,,,,,,,,
,4/25/2019,3/29/2019,0.610465116,,0.62,,0.6,,,,,,,,,,
,1/31/2019,12/31/2018,0.417475728,,0.42,,,,,,,,,,,,
,10/25/2018,9/28/2018,0.960861057,,0.98,,,,,,,,,,,,
,7/26/2018,6/29/2018,0.519607843,,0.47,,,,,,,,,,,,
,4/26/2018,3/29/2018,0.571709234,,0.51,,,,,,,,,,,,
,2/7/2018,12/29/2017,0.371956778,,0.43,,,,,,,,,,,,
,10/26/2017,9/29/2017,0.966878193,,0.92,,,,,,,,,,,,
,7/27/2017,6/30/2017,0.446475442,,0.42,,,,,,,,,,,,
,4/27/2017,3/31/2017,0.470092338,,0.49,,,,,,,,,,,,
,,12/30/2016,0.446909627,,0.44,,,,,,,,,,,,
,,9/30/2016,0.898401777,,0.87,,,,,,,,,,,,
,,6/30/2016,0.386258808,,0.4,,,,,,,,,,,,
,,3/31/2016,0.473950702,,0.47,,,,,,,,,,,,
,,12/31/2015,0.410869642,,0.4,,,,,,,,,,,,
,,9/30/2015,0.838789049,,0.8,,,,,,,,,,,,
,,6/30/2015,0.387602987,,0.4,,,,,,,,,,,,
,,3/31/2015,0.299700627,,0.5,,,,,,,,,,,,
,,12/31/2014,0.387409999,,nan,,,,,,,,,,,,
,,9/30/2014,0.72789786,,nan,,,,,,,,,,,,
,,6/30/2014,0.387648573,,nan,,,,,,,,,,,,
,,3/31/2014,0.522707535,,nan,,,,,,,,,,,,
,,12/31/2013,0.3,,nan,,,,,,,,,,,,
,,9/30/2013,0.73,,nan,,,,,,,,,,,,
,,6/28/2013,0.4,,nan,,,,,,,,,,,,
,,3/28/2013,0.48,,nan,,,,,,,,,,,,
,,12/31/2012,0.29,,nan,,,,,,,,,,,,
,,9/28/2012,0.81,,nan,,,,,,,,,,,,
,,6/29/2012,0.38,,nan,,,,,,,,,,,,
,,3/30/2012,0.38,,nan,,,,,,,,,,,,
,,12/30/2011,0.29,,nan,,,,,,,,,,,,
,,9/30/2011,0.69,,nan,,,,,,,,,,,,
,,6/30/2011,0.33,,nan,,,,,,,,,,,,
,,3/31/2011,0.42,,nan,,,,,,,,,,,,
,,12/31/2010,0.29,,nan,,,,,,,,,,,,
,,9/30/2010,0.67,,nan,,,,,,,,,,,,
,,6/30/2010,0.3,,nan,,,,,,,,,,,,
,,3/31/2010,0.36,,nan,,,,,,,,,,,,
,,12/31/2009,0.37,,nan,,,,,,,,,,,,
,,9/30/2009,0.48,,nan,,,,,,,,,,,,
,,6/30/2009,0.25,,nan,,,,,,,,,,,,
,,3/31/2009,0.38,,nan,,,,,,,,,,,,
,,12/31/2008,0.36,,nan,,,,,,,,,,,,
,,9/30/2008,0.51,,nan,,,,,,,,,,,,
,,6/30/2008,0.24,,nan,,,,,,,,,,,,
,,3/31/2008,0.35,,nan,,,,,,,,,,,,
,,12/31/2007,0.31,,nan,,,,,,,,,,,,
,,9/28/2007,0.59,,nan,,,,,,,,,,,,
,,6/29/2007,0.16,,nan,,,,,,,,,,,,
,,3/30/2007,0.28,,nan,,,,,,,,,,,,
,,12/29/2006,0.23,,nan,,,,,,,,,,,,
,,9/29/2006,0.53,,nan,,,,,,,,,,,,
,,6/30/2006,0.24,,nan,,,,,,,,,,,,
,,3/31/2006,0.36,,nan,,,,,,,,,,,,
,,12/30/2005,0.27,,nan,,,,,,,,,,,,
,,9/30/2005,0.47,,nan,,,,,,,,,,,,
,,6/30/2005,0.2,,nan,,,,,,,,,,,,
,,3/31/2005,0.29,,nan,,,,,,,,,,,,
,,12/31/2004,0.18,,nan,,,,,,,,,,,,
,,9/30/2004,0.12,,nan,,,,,,,,,,,,
,,6/30/2004,0.21,,nan,,,,,,,,,,,,
,,3/31/2004,0.36,,nan,,,,,,,,,,,,
,,12/31/2003,1.14,,nan,,,,,,,,,,,,
,,9/30/2003,0.69,,nan,,,,,,,,,,,,
,,6/30/2003,-0.68,,nan,,,,,,,,,,,,
,,3/31/2003,0.34,,nan,,,,,,,,,,,,
,,12/31/2002,-0.5,,nan,,,,,,,,,,,,
,,9/30/2002,-5.55,,nan,,,,,,,,,,,,
,,6/28/2002,0.23,,nan,,,,,,,,,,,,
,,3/28/2002,0.29,,nan,,,,,,,,,,,,
,,12/31/2001,0.42,,nan,,,,,,,,,,,,
,,9/28/2001,0.79,,nan,,,,,,,,,,,,
,,6/29/2001,0.49,,nan,,,,,,,,,,,,
,,3/30/2001,0.61,,nan,,,,,,,,,,,,
,,12/29/2000,0.4,,nan,,,,,,,,,,,,
,,9/29/2000,0.27,,nan,,,,,,,,,,,,
,,6/30/2000,0.42,,nan,,,,,,,,,,,,
,,3/31/2000,0.45,,nan,,,,,,,,,,,,
,,12/31/1999,0.43,,nan,,,,,,,,,,,,
,,9/30/1999,0.63,,nan,,,,,,,,,,,,
,,6/30/1999,0.18,,nan,,,,,,,,,,,,
,,3/31/1999,0.46,,nan,,,,,,,,,,,,
,,12/31/1998,0.58,,nan,,,,,,,,,,,,
,,9/30/1998,0.67,,nan,,,,,,,,,,,,
,,6/30/1998,0.23,,nan,,,,,,,,,,,,
,,3/31/1998,0.37,,nan,,,,,,,,,,,,
,,12/31/1997,0.425,,nan,,,,,,,,,,,,
,,9/30/1997,0.615,,nan,,,,,,,,,,,,
,,6/30/1997,0.115,,nan,,,,,,,,,,,,
,,3/31/1997,0.45,,nan,,,,,,,,,,,,
,,12/31/1996,0.555,,nan,,,,,,,,,,,,
,,9/30/1996,0.59,,nan,,,,,,,,,,,,
,,6/28/1996,0.295,,nan,,,,,,,,,,,,
,,3/29/1996,0.47,,nan,,,,,,,,,,,,
,,12/29/1995,0.41,,nan,,,,,,,,,,,,
,,9/29/1995,0.635,,nan,,,,,,,,,,,,
,,6/30/1995,0.42,,nan,,,,,,,,,,,,
,,3/31/1995,0.485,,nan,,,,,,,,,,,,
,,12/30/1994,0.34,,nan,,,,,,,,,,,,
,,9/30/1994,0.545,,nan,,,,,,,,,,,,
,,6/30/1994,0.37,,nan,,,,,,,,,,,,
,,3/31/1994,0.47,,nan,,,,,,,,,,,,
,,12/31/1993,0.375,,nan,,,,,,,,,,,,
,,9/30/1993,0.48,,nan,,,,,,,,,,,,
,,6/30/1993,0.25,,nan,,,,,,,,,,,,
,,3/31/1993,0.405,,nan,,,,,,,,,,,,
,,12/31/1992,0.21,,nan,,,,,,,,,,,,
,,9/30/1992,0.415,,nan,,,,,,,,,,,,
,,6/30/1992,0.215,,nan,,,,,,,,,,,,
