Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_3,Q_EPS_Projections_Date_3,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19
,6/30/2021,0.88,3/23/2020,0.9,2/12/2020,0.9,1/23/2020,0.9,,0.89,,1.125925926,0.976079137,,,,,,,
,3/31/2021,0.72,,0.73,,0.76,,0.76,,0.900740741,,0.84352518,,,,,,,,
,12/31/2020,0.72,,0.74,,0.74,,0.74,,0.886666667,,0.83147482,,,,,,,,
,9/30/2020,0.58,,0.6,,0.62,,0.62,,0.63,,0.844444444,0.698920863,,,,,,,
,6/30/2020,0.45,,0.47,,0.53,,0.53,,0.54,,0.8,0.81,0.82,0.84,0.87,0.84,0.7175,0.72,
,3/31/2020,0.17,,0.24,,0.39,,0.39,,0.64,,0.7,0.74,0.75,0.77,0.79,0.8,0.79,0.7175,0.72
2/10/2020,12/31/2019,-1.08,,0.36,,0.36,,0.37,,0.63,0.69,0.74,0.75,0.77,0.79,0.8,0.78,0.7175,0.72,
11/12/2019,9/30/2019,-0.394124513,,0.6,,0.58,,0.65,0.66,0.69,0.7,0.74,0.7,0.7175,0.72,,,,,
8/13/2019,6/28/2019,0.426696709,,0.66,,0.67,,0.69,0.7,0.72,0.71,0.67,0.61,0.69,0.72,,,,,
5/1/2019,3/29/2019,0.375001903,,0.65,,0.66,,0.65,0.6,0.55,0.6,,,,,,,,,
1/31/2019,12/31/2018,0.437044143,,0.67,,0.66,,0.59,0.6,0.52,0.61,0.56,0.58,,,,,,,
11/1/2018,9/28/2018,0.395250763,,0.56,,0.46,,0.53,0.55,0.54,0.6,,,,,,,,,
8/7/2018,6/29/2018,0.417311828,,0.44,,0.52,,0.57,0.47,0.6,0.48,,,,,,,,,
5/1/2018,3/29/2018,0.450636899,,0.41,,0.4,,0.45,0.4,0.47,0.41,,,,,,,,,
2/1/2018,12/29/2017,0.154023948,,0.37,,0.39,,0.36,0.4,0.37,0.43,0.4,0.36,,,,,,,
10/31/2017,9/29/2017,0.323836221,,0.35,,0.36,,0.33,0.37,0.36,0.34,0.35,,,,,,,,
8/7/2017,6/30/2017,0.502014393,,0.35,,0.36,,0.37,0.35,0.32,0.35,0.34,0.32,0.27,,,,,,
5/2/2017,3/31/2017,0.345023842,,0.35,,0.34,,0.27,0.24,0.35,0.31,0.3,0.26,,,,,,,
1/24/2017,12/30/2016,0.371124257,,0.26,,0.23,,0.31,0.28,0.3,0.29,0.31,0.29,0.24,,,,,,
10/25/2016,9/30/2016,0.262721703,,0.24,,0.28,,0.26,0.28,0.3,0.28,0.24,,,,,,,,
,6/30/2016,0.232437163,,0.26,,0.24,,0.3,0.29,0.32,0.31,0.33,0.3,0.28,,,,,,
,3/31/2016,0.243412798,,0.28,,0.27,,0.28,0.27,0.27,,,,,,,,,,
,12/31/2015,0.310488024,,0.27,,0.25,,0.26,0.24,,,,,,,,,,,
,9/30/2015,0.274418531,,0.23,,0.26,,,,,,,,,,,,,,
,6/30/2015,0.27193793,,0.23,,0.2,,0.24,,,,,,,,,,,,
,3/31/2015,0.232079727,,0.21,,0.2,,0.16,0.19,0.19,,,,,,,,,,
,12/31/2014,0.354813328,,0.17,,0.16,,0.19,0.23,0.27,0.3,0.31,0.19,,,,,,,
,9/30/2014,0.195926038,,0.17,,0.18,,0.22,0.26,0.3,0.31,0.19,,,,,,,,
,6/30/2014,0.200507011,,0.19,,0.18,,0.25,0.28,0.14,,,,,,,,,,
,3/31/2014,0.133828005,,0.15,,0.17,,0.23,0.24,0.17,,,,,,,,,,
,12/31/2013,0.12098205,,0.18,,0.19,,0.2,,,,,,,,,,,,
,9/30/2013,0.151594289,,0.2,,0.23,,,,,,,,,,,,,,
,6/28/2013,0.161241557,,0.23,,0.3,,0.25,,,,,,,,,,,,
,3/28/2013,0.255416063,,0.25,,0.31,,0.27,0.21,,,,,,,,,,,
,12/28/2012,0.194950463,,0.21,,0.25,,0.22,,,,,,,,,,,,
,9/28/2012,0.20256108,,0.22,,,,,,,,,,,,,,,,
,6/29/2012,0.229232454,,,,,,,,,,,,,,,,,,
,3/30/2012,0.222639408,,,,,,,,,,,,,,,,,,
,12/30/2011,0.206981961,,,,,,,,,,,,,,,,,,
,9/30/2011,0.290002341,,,,,,,,,,,,,,,,,,
,6/30/2011,0.352021339,,,,,,,,,,,,,,,,,,
,3/31/2011,0.370782012,,,,,,,,,,,,,,,,,,
,12/31/2010,0.300360615,,,,,,,,,,,,,,,,,,
,9/30/2010,0.290212995,,,,,,,,,,,,,,,,,,
,6/30/2010,0.259198572,,,,,,,,,,,,,,,,,,
,3/31/2010,0.168150395,,,,,,,,,,,,,,,,,,
,12/31/2009,0.099474437,,,,,,,,,,,,,,,,,,
,9/30/2009,0.105518557,,,,,,,,,,,,,,,,,,
,6/30/2009,0.101987944,,,,,,,,,,,,,,,,,,
,3/31/2009,0.080976431,,,,,,,,,,,,,,,,,,
,12/31/2008,0.139372416,,,,,,,,,,,,,,,,,,
,9/30/2008,0.285427611,,,,,,,,,,,,,,,,,,
,6/30/2008,0.245,,,,,,,,,,,,,,,,,,
,3/31/2008,0.215,,,,,,,,,,,,,,,,,,
,12/31/2007,0.44,,,,,,,,,,,,,,,,,,
,9/28/2007,0.16,,,,,,,,,,,,,,,,,,
,6/29/2007,0.185,,,,,,,,,,,,,,,,,,
,3/30/2007,0.165,,,,,,,,,,,,,,,,,,
,12/29/2006,0.15,,,,,,,,,,,,,,,,,,
,9/29/2006,0.125,,,,,,,,,,,,,,,,,,
,6/30/2006,-0.145,,,,,,,,,,,,,,,,,,
,3/31/2006,0.125,,,,,,,,,,,,,,,,,,
,12/30/2005,0.085,,,,,,,,,,,,,,,,,,
,9/30/2005,0.115,,,,,,,,,,,,,,,,,,
,6/30/2005,0.11,,,,,,,,,,,,,,,,,,
,3/31/2005,0.095,,,,,,,,,,,,,,,,,,
,12/31/2004,0.09,,,,,,,,,,,,,,,,,,
,9/30/2004,0.095,,,,,,,,,,,,,,,,,,
,6/30/2004,0.1025,,,,,,,,,,,,,,,,,,
,3/31/2004,0.08,,,,,,,,,,,,,,,,,,
,12/31/2003,0.0575,,,,,,,,,,,,,,,,,,
,9/30/2003,0.0525,,,,,,,,,,,,,,,,,,
,6/30/2003,0.0625,,,,,,,,,,,,,,,,,,
,3/31/2003,0.0525,,,,,,,,,,,,,,,,,,
,12/31/2002,0.0475,,,,,,,,,,,,,,,,,,
,9/30/2002,0.0375,,,,,,,,,,,,,,,,,,
,6/28/2002,0.035,,,,,,,,,,,,,,,,,,
,3/28/2002,0.02,,,,,,,,,,,,,,,,,,
