CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_2,Q_EPS_Projections_Date_2
N,,12/31/2021,0.55,12/12/2020,0.5,12/11/2020,0.49,,0.43,
,,9/30/2021,0.47,,0.38,,0.35,,,
,,6/30/2021,0.43,,0.43,,0.33,,0.31,
,,3/31/2021,0.3,,0.29,,0.31,,0.28,
,,12/31/2020,0.45,,0.39,,0.37,,,
,11/2/2020,9/30/2020,0.07,,0.3,,0.28,,0.27,
,8/3/2020,6/30/2020,-0.425899281,,0.19,,,,,
,5/12/2020,3/31/2020,-0.132708258,,0.28,,,,,
,2/17/2020,12/31/2019,0.123209169,,0.34,,,,,
,10/28/2019,9/30/2019,0.197607656,,0.41,,,,,
,7/31/2019,6/28/2019,0.214935376,,0.39,,,,,
,4/30/2019,3/29/2019,0.226769379,,0.34,,,,,
,2/19/2019,12/31/2018,0.454983149,,0.53,,,,,
,10/25/2018,9/28/2018,0.345289335,,0.48,,,,,
,8/1/2018,6/29/2018,0.28769084,,0.41,,,,,
,4/26/2018,3/29/2018,0.202000953,,0.29,,,,,
,2/15/2018,12/29/2017,0.687052078,,0.48,,,,,
,10/25/2017,9/29/2017,0.134550697,,0.36,,,,,
