Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_3,Q_EPS_Projections_Date_3,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26
,6/30/2014,4.770391651000001,,6.24,,6.25,,6.335,,6.005,,6.02,,6.055,,6.04,5.94,5.935,5.96,6.41,5.38,,,,,,
,3/31/2014,5.037856897,,6.41,,6.365,,6.1,,6.14,,6.17,,6.13,,6.12,6.005,6.05,6.245,5.17,,,,,,,
,12/31/2013,4.950103078,,6.1,,6.13,,6.11,,6.09,,5.905,,5.915,,6.3,,,,,,,,,,,
,9/30/2013,4.377496426,,4.21,,5.17,,5.185,,5.555,,5.585,,5.695,,,,,,,,,,,,,
,6/28/2013,4.209581218,,4.52,,5.39,,5.405,,5.4,,5.465,,5.455,,5.45,,,,,,,,,,,
,3/28/2013,4.969361052,,4.415,,5.33,,5.345,,5.34,,5.305,,5.345,,,,,,,,,,,,,
,12/31/2012,4.307758443,,4.305,,5.21,,5.26,,5.25,,5.885,,,,,,,,,,,,,,,
,9/28/2012,3.264189323,,4.44,,5.325,,,,,,,,,,,,,,,,,,,,,
,6/29/2012,4.209581218,,4.375,,,,,,,,,,,,,,,,,,,,,,,
,3/29/2012,4.376984031,,4.12,,,,,,,,,,,,,,,,,,,,,,,
,12/30/2011,4.153150496,,,,,,,,,,,,,,,,,,,,,,,,,
,9/30/2011,4.167188392,,,,,,,,,,,,,,,,,,,,,,,,,
,6/30/2011,3.843133887,,,,,,,,,,,,,,,,,,,,,,,,,
,3/31/2011,2.7544326760000004,,,,,,,,,,,,,,,,,,,,,,,,,
,12/31/2010,3.905866018,,,,,,,,,,,,,,,,,,,,,,,,,
,9/30/2010,3.3609717810000004,,,,,,,,,,,,,,,,,,,,,,,,,
,6/30/2010,2.8528370219999997,,,,,,,,,,,,,,,,,,,,,,,,,
,3/31/2010,3.029993057,,,,,,,,,,,,,,,,,,,,,,,,,
,12/31/2009,3.06382173,,,,,,,,,,,,,,,,,,,,,,,,,
,9/30/2009,2.5635160409999997,,,,,,,,,,,,,,,,,,,,,,,,,
,6/30/2009,2.330262513,,,,,,,,,,,,,,,,,,,,,,,,,
,3/31/2009,2.242644718,,,,,,,,,,,,,,,,,,,,,,,,,
