CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_2.1,Q_EPS_Projections_Date_2.1,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
N,,12/31/2022,0.7,5/9/2021,0.7,3/27/2021,0.66,2/28/2021,0.66,1/9/2021,0.66,3/15/2020,,,
,,9/30/2022,0.7,,0.6,,0.6,,0.6,,0.6,,,,
,,6/30/2022,0.55,,0.57,,0.56,,0.56,,0.56,,,,
,,3/31/2022,0.61,,0.52,,0.52,,0.52,,0.52,,,,
,,12/31/2021,0.7,3/27/2021,0.7,3/27/2021,0.66,2/28/2021,0.66,1/9/2021,0.66,3/15/2020,,,
,,9/30/2021,0.6,,0.6,,0.6,,0.6,,0.6,,,,
,,6/30/2021,0.57,,0.57,,0.56,,0.56,,0.56,,,,
,5/6/2021,3/31/2021,0.29,,0.52,,0.52,,0.52,,0.52,,,,
,2/25/2021,12/31/2020,0.57,,0.62,,0.7,3/8/2020,0.7,,0.73,,,,
,10/30/2020,9/30/2020,0.46,,0.64,,0.64,,0.66,,0.68,,,,
,8/6/2020,6/30/2020,0.47,,0.63,,0.63,,0.64,,0.63,,,,
,5/6/2020,3/31/2020,0.11,,0.57,,0.57,,0.58,,0.57,,,,
,2/27/2020,12/31/2019,0.01,,0.62,,0.66,,,,,,,,
,10/31/2019,9/30/2019,0.46,,0.58,,0.59,,0.62,,,,,,
,7/24/2019,6/28/2019,0.336421464,,0.55,,,,,,,,,,
,4/24/2019,3/29/2019,0.450173149,,0.48,,,,,,,,,,
,2/13/2019,12/31/2018,0.71126064,,0.6,,0.63,,,,,,,,
,10/30/2018,9/28/2018,0.521289559,,0.57,,0.56,,,,,,,,
,7/25/2018,6/29/2018,0.510620839,,0.49,,,,,,,,,,
,4/25/2018,3/29/2018,0.277990553,,0.42,,,,,,,,,,
,2/14/2018,12/29/2017,-0.362520995,,0.55,,0.59,,0.58,,,,,,
,10/25/2017,9/29/2017,0.4556696,,0.48,,0.47,,,,,,,,
,7/26/2017,6/30/2017,0.371349739,,0.41,,0.39,,0.36,,,,,,
,4/26/2017,3/31/2017,0.30795217,,0.36,,0.37,,,,,,,,
,,12/30/2016,0.447132897,,0.54,,0.53,,0.55,,0.6,,,,
,,9/30/2016,0.425067784,,0.43,,0.45,,0.47,,,,,,
,,6/30/2016,0.326404927,,0.35,,0.4,,0.42,,0.41,,0.43,,
,,3/31/2016,0.008106414,,0.32,,0.35,,,,,,,,
,,12/31/2015,0.505173779,,0.48,,0.51,,0.53,,0.54,,0.56,,0.57
,,9/30/2015,0.519992884,,0.41,,0.42,,0.43,,0.42,,,,
,,6/30/2015,0.356913161,,0.37,,0.39,,0.4,,0.39,,,,
,,3/31/2015,0.338653585,,0.32,,0.33,,0.5,,,,,,
,,12/31/2014,0.510468706,,0.47,,0.48,,0.49,,0.54,,0.36,,
,,9/30/2014,0.368564914,,0.35,,0.37,,0.41,,0.35,,,,
,,6/30/2014,0.310560644,,0.33,,0.4,,0.26,,,,,,
,,3/31/2014,0.207845482,,0.26,,0.34,,0.39,,,,,,
,,12/31/2013,0.200326267,,0.23,,0.33,,0.33,,,,,,
,,9/30/2013,0.322302418,,0.32,,0.37,,,,,,,,
,,6/28/2013,0.348866972,,0.36,,0.34,,,,,,,,
,,3/28/2013,0.352967715,,0.35,,0.34,,0.36,,0.49,,,,
,,12/31/2012,0.517076142,,0.49,,0.5,,0.49,,0.35,,,,
,,9/28/2012,0.367006506,,0.36,,,,,,,,,,
,,6/29/2012,0.265059697,,0.28,,,,,,,,,,
,,3/30/2012,0.306672528,,,,,,,,,,,,
,,12/30/2011,0.483031007,,,,,,,,,,,,
,,9/30/2011,0.402168712,,,,,,,,,,,,
,,6/30/2011,0.180307598,,,,,,,,,,,,
,,3/31/2011,0.316154273,,,,,,,,,,,,
,,12/31/2010,0.432307597,,,,,,,,,,,,
,,9/30/2010,0.391207084,,,,,,,,,,,,
,,6/30/2010,0.367810545,,,,,,,,,,,,
,,3/31/2010,0.34587634,,,,,,,,,,,,
,,12/31/2009,0.373689074,,,,,,,,,,,,
,,9/30/2009,0.374546906,,,,,,,,,,,,
,,6/30/2009,0.344912429,,,,,,,,,,,,
,,3/31/2009,0.333821304,,,,,,,,,,,,
,,12/31/2008,0.41,,,,,,,,,,,,
,,9/30/2008,0.35,,,,,,,,,,,,
,,6/30/2008,0.29,,,,,,,,,,,,
