CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Adjusted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_3,Q_EPS_Projections_Date_3,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Non-GAAP,,12/31/2023,,0.34,8/14/2022,0.32,7/20/2022,0.32,6/20/2022,0.3,5/13/2022,,4/16/2022,0.3,3/14/2022,0.27,2/11/2022,0.31,1/20/2022,0.31,12/16/2021,0.3,11/12/2021,0.3,10/14/2021,0.3,9/11/2021,0.36,8/7/2021,0.38,7/17/2021,0.38,6/17/2021,0.38,5/22/2021,0.37,5/9/2021,0.27,4/12/2021,0.27,3/13/2021,0.3,2/11/2021,0.3,1/8/2021,0.3,12/8/2020,0.33,11/7/2020,0.34,10/11/2020,0.34,9/13/2020,0.32,8/6/2020,0.3,7/12/2020,0.3,7/11/2020
,,9/30/2023,,0.24,,0.25,,0.25,,0.21,,,,0.22,,0.23,,0.24,,0.24,,0.25,,0.24,,0.24,,0.28,,0.28,,0.28,,0.28,,0.28,,0.17,,0.17,,0.22,,0.22,,0.22,,0.24,,0.24,,0.24,,0.23,,0.21,,0.21,
,,6/30/2023,,0.24,,0.21,,0.21,,1.5,,,,0.21,,0.22,,0.24,,0.24,,0.25,,0.27,,0.27,,0.29,,0.3,,0.3,,0.3,,0.31,,0.2,,0.2,,0.24,,0.24,,0.24,,0.24,,0.25,,0.25,,0.24,,0.19,,0.19,
,,3/30/2023,,0.23,,0.22,,0.22,,0.15,,,,0.15,,0.16,,0.19,,0.19,,0.2,,0.24,,0.24,,0.27,,0.29,,0.29,,0.29,,0.23,,0.17,,0.17,,0.17,,0.17,,0.17,,0.19,,0.2,,0.2,,0.19,,0.16,,0.16,
,,12/31/2022,,0.31,,0.3,,0.3,,0.3,,0.3,,0.3,3/14/2022,0.27,2/11/2022,0.31,1/20/2022,0.31,12/16/2021,0.3,11/12/2021,0.3,10/14/2021,0.3,9/11/2021,0.36,8/7/2021,0.38,7/17/2021,0.38,6/17/2021,0.38,5/22/2021,0.37,5/9/2021,0.27,4/12/2021,0.27,3/13/2021,0.3,2/11/2021,0.3,1/8/2021,0.3,12/8/2020,0.33,11/7/2020,0.34,10/11/2020,0.34,9/13/2020,0.32,8/6/2020,0.3,7/12/2020,0.3,7/11/2020
,,9/30/2022,,0.19,,0.21,,0.21,,0.21,,0.22,,0.22,,0.23,,0.24,,0.24,,0.25,,0.24,,0.24,,0.28,,0.28,,0.28,,0.28,,0.28,,0.17,,0.17,,0.22,,0.22,,0.22,,0.24,,0.24,,0.24,,0.23,,0.21,,0.21,
,8/14/2022,6/30/2022,0.06,0.17,,0.15,,0.15,,0.15,,0.21,,0.21,,0.22,,0.24,,0.24,,0.25,,0.27,,0.27,,0.29,,0.3,,0.3,,0.3,,0.31,,0.2,,0.2,,0.24,,0.24,,0.24,,0.24,,0.25,,0.25,,0.24,,0.19,,0.19,
,5/6/2022,3/31/2022,0.06,0.15,,0.15,,0.15,,0.16,,0.19,,0.19,,0.2,,0.24,,0.24,,0.27,,0.29,,0.29,,0.29,,0.23,,0.17,,0.17,,0.17,,0.17,,0.17,,0.19,,0.2,,0.2,,0.19,,0.16,,0.16,,,,,,,
,2/10/2022,12/31/2021,1.06,0.29,,0.24,,0.24,,0.24,,0.22,,0.22,,0.23,,0.23,,0.23,,0.23,,0.26,4/12/2021,0.27,4/12/2021,0.27,3/13/2021,0.3,2/11/2021,0.3,1/8/2021,0.3,12/8/2020,0.33,11/7/2020,0.34,10/11/2020,0.34,9/13/2020,0.32,8/6/2020,0.3,7/12/2020,0.3,7/11/2020,,,,,,,,,,,,
,11/9/2021,9/30/2021,0.11,0.21,,0.17,,0.17,,0.15,,0.14,,0.14,,0.14,,0.16,,0.17,,0.17,,0.22,,0.22,,0.22,,0.24,,0.24,,0.24,,0.23,,0.21,,0.21,,,,,,,,,,,,,,,,,,,
