CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_3,Q_EPS_Projections_Date_3,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,,,,,,,,,,,,,,,,,,
Non-GAAP diluted ,,4/30/2022,1.57,1/19/2021,1.56,12/26/2020,1.57,11/25/2020,1.52,10/27/2020,1.51,9/23/2020,1.52,8/27/2020,1.52,8/7/2020,,,,,,,,,,,,,,,,,,,,
,,1/29/2022,1.48,,1.48,,1.48,,1.47,,1.47,,1.47,,1.47,,,,,,,,,,,,,,,,,,,,,
,,10/30/2021,1.45,,1.45,,1.46,,1.41,,1.4,,1.38,,1.38,,,,,,,,,,,,,,,,,,,,,
,,7/31/2021,1.35,,1.35,,1.34,,1.36,,1.36,,1.35,,1.35,,,,,,,,,,,,,,,,,,,,,
,,4/30/2021,1.43,,1.42,,1.43,,1.44,8/7/2020,1.44,8/7/2020,1.43,8/7/2020,1.41,8/7/2020,1.41,7/2/2020,1.46,5/21/2020,1.6,5/3/2020,1.73,3/23/2020,1.74,2/18/2020,1.74,1/23/2020,1.73,1/22/2020,1.73,,1.74,,1.753029197,1.756483516
,,1/29/2021,1.15,,1.15,,1.16,,1.15,,1.16,,1.15,,1.15,,1.15,,1.37,,1.44,,1.49,,1.49,,1.48,,1.49,,1.49,,1.493321168,,1.496263736,
,11/24/2020,10/30/2020,0.36,,0.8,,0.83,,0.85,,0.76,,0.76,,1.08,,1.21,,1.43,,1.42,,1.42,,1.41,,1.41,,1.385109489,,1.387838828,,,,,
,8/25/2020,7/31/2020,0.36,,0.15,,0.15,,0.54,,0.8,,1.37,,1.37,,1.38,,1.36,,1.36,,1.35,,1.27689781,1.279413919,,,,,,,,,,
,5/21/2020,4/30/2020,0.48,,1.06,,1.61,,1.64,,1.64,,1.63,,1.63,,1.62,,1.59,1.58,1.61,1.63,,,,,,,,,,,,,,
,2/18/2020,1/31/2020,1.42,,1.38,,1.39,,1.39,,1.38,,1.36,1.35,1.34,1.37,1.36,1.37,,,,,,,,,,,,,,,,,,
,11/19/2019,10/31/2019,1.009323664,,1.28,,1.29,,1.31,1.29,,,,,,,,,,,,,,,,,,,,,,,,,,
,8/20/2019,7/26/2019,0.639100525,,1.18,,1.21,,1.22,1.23,1.25,1.26,,,,,,,,,,,,,,,,,,,,,,,,
,5/23/2019,4/26/2019,0.867633995,,1.47,,1.5,,1.55,1.52,,,,,,,,,,,,,,,,,,,,,,,,,,
,2/19/2019,1/31/2019,0.938123752,,1.24,,1.25,,1.29,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11/20/2018,10/31/2018,0.81931075,,1.15,,1.19,,1.21,1.16,1.2,,,,,,,,,,,,,,,,,,,,,,,,,
,8/21/2018,7/27/2018,0.787315073,,1.11,,1.16,,1.18,1.17,,,,,,,,,,,,,,,,,,,,,,,,,,
,5/24/2018,4/27/2018,1.068814056,,1.39,,1.42,,1.41,1.46,1.42,1.41,,,,,,,,,,,,,,,,,,,,,,,,
,2/20/2018,1/26/2018,-1.025849335,,1.17,,1.24,,1.23,1.22,,,,,,,,,,,,,,,,,,,,,,,,,,
,11/21/2017,10/27/2017,1.47679016,,0.98,,1.07,,1.17,1.21,1.23,,,,,,,,,,,,,,,,,,,,,,,,,
,8/22/2017,7/31/2017,0.738586798,,1.08,,1.12,,1.13,1.15,,,,,,,,,,,,,,,,,,,,,,,,,,
,5/25/2017,4/28/2017,0.842387368,,1.31,,1.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
