Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_3,Q_EPS_Projections_Date_3,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
,12/31/2020,3.22,11/21/2019,3.27,9/26/2019,3.35,,3.35,,3.34,,3.3815052889999997,,,,
,9/30/2020,3.02,,3.11,,3.16,,3.16,,3.189495525,,,,,,
,6/30/2020,3.32,,3.34,,3.4,,3.4,,3.41,,3.4,3.424174125,,,
,3/31/2020,3.16,,3.17,,3.14,,3.14,,3.13,,3.09,3.1148250610000003,,,
,12/31/2019,3.08,,3.1,,3.14,,3.14,,3.12,,3.16,3.17,3.23,3.27,
,9/30/2019,2.96,,2.95,,3.0,,3.0,,2.98,,2.99,3.01,3.09,,
,6/28/2019,3.221428571,,3.21,,3.2,,3.21,,3.29,3.2,,,,,
,3/29/2019,3.159857904,,2.9,,2.91,,2.92,,3.03,2.99,,,,,
,12/31/2018,3.0918727919999998,,3.02,,3.03,,3.05,,2.88,2.89,2.9,2.89,,,
,9/28/2018,2.848167539,,2.86,,2.82,,2.65,,2.66,2.67,,,,,
,6/29/2018,3.118673647,,2.95,,2.78,,2.83,,2.81,2.77,2.8,,,,
,3/29/2018,2.8200692039999997,,2.72,,2.6,,2.63,,2.62,2.6,2.62,,,,
,12/29/2017,2.2366148530000003,,2.66,,2.69,,2.67,,2.68,2.69,2.7,2.67,2.68,2.67,
,9/29/2017,2.288164666,,2.42,,2.45,,2.44,,2.45,2.44,2.45,2.41,2.42,,
,6/30/2017,2.596610169,,2.55,,2.56,,2.54,,2.55,2.48,2.5,,,,
,3/31/2017,2.387858347,,2.36,,2.37,,2.39,,2.4,2.41,,,,,
,12/30/2016,2.467116358,,2.41,,2.42,,2.43,,2.44,2.46,2.47,2.51,2.47,2.15,
,9/30/2016,2.220910624,,2.15,,2.18,,2.19,,2.2,2.21,2.24,,,,
,7/1/2016,2.358585859,,2.23,,2.27,,2.29,,2.3,2.29,2.27,,,,
,4/1/2016,2.1563025209999998,,2.09,,2.09,,2.1,,2.13,2.15,2.16,,,,
,12/31/2015,2.219594595,,2.18,,2.2,,2.18,,2.15,2.13,2.03,1.96,1.97,,
,10/2/2015,1.9763113369999998,,1.94,,1.95,,1.94,,1.93,1.91,1.92,1.75,1.77,,
,7/2/2015,2.030456853,,2.0,,1.99,,2.0,,1.99,1.93,1.95,1.88,,,
,3/31/2015,1.8697123519999999,,1.82,,1.8,,1.81,,1.83,1.82,1.79,,,,
,1/2/2015,1.9661590519999999,,1.81,,1.8,,1.78,,1.77,1.78,1.71,1.69,1.68,1.65,1.6
,9/26/2014,1.7576271190000001,,1.62,,1.59,,1.58,,1.55,1.52,1.51,1.5,1.68,,
,6/30/2014,1.798305085,,1.68,,1.67,,1.64,,1.63,1.59,1.55,,,,
,3/31/2014,1.622673435,,1.54,,1.53,,1.5,,1.51,1.55,,,,,
,12/27/2013,1.5989847719999999,,1.56,,1.54,,1.52,,1.4,,,,,,
,9/30/2013,1.433898305,,1.42,,1.41,,1.4,,1.37,1.43,,,,,
,6/28/2013,1.498305085,,1.45,,1.37,,,,,,,,,,
,3/28/2013,1.398648649,,1.34,,1.35,,1.36,,1.37,,,,,,
,12/31/2012,1.433898305,,1.38,,1.37,,1.23,,,,,,,,
,9/28/2012,1.258064516,,1.23,,,,,,,,,,,,
,6/29/2012,1.299319728,,1.2,,,,,,,,,,,,
,3/30/2012,1.207482993,,1.16,,,,,,,,,,,,
,12/30/2011,1.265758092,,,,,,,,,,,,,,
,9/30/2011,1.155025554,,,,,,,,,,,,,,
,7/5/2011,1.326530612,,,,,,,,,,,,,,
,4/1/2011,0.9574105620000001,,,,,,,,,,,,,,
,12/31/2010,0.991438356,,,,,,,,,,,,,,
,10/1/2010,0.796232877,,,,,,,,,,,,,,
,7/2/2010,0.777015437,,,,,,,,,,,,,,
,4/1/2010,0.631217839,,,,,,,,,,,,,,
,12/31/2009,0.6321243520000001,,,,,,,,,,,,,,
,10/2/2009,0.439446367,,,,,,,,,,,,,,
,7/2/2009,0.645941278,,,,,,,,,,,,,,
,4/3/2009,0.602076125,,,,,,,,,,,,,,
,1/2/2009,1.008605852,,,,,,,,,,,,,,
,9/26/2008,0.93814433,,,,,,,,,,,,,,
