CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Adjusted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_2,Q_EPS_Projections_Date_2
N,,6/30/2025,,0.86,8/25/2024,1.19,11/11/2022,,,,
,,3/31/2025,,0.75,,1.11,,,,,
,,12/30/2024,,0.68,,1.15,,,,,
,,9/30/2024,,0.61,,1.05,,,,,
,8/15/2024,6/30/2024,-0.52,0.61,12/17/2022,1.19,11/11/2022,,,,
,5/6/2024,3/31/2024,-0.29,0.53,,1.11,,,,,
,2/5/2024,12/30/2023,-0.38,0.36,,1.15,,,,,
,11/6/2023,9/30/2023,-0.65,0.16,,1.05,,,,,
,8/15/2023,6/30/2023,-1.54,0.41,,0.93,,,,,
,5/10/2023,3/31/2023,-0.24,0.58,,0.88,,,,,
,2/8/2023,12/30/2022,-0.58,0.95,,0.93,,,,,
,11/9/2022,9/30/2022,-0.56,1.04,,0.94,,,,,
,8/24/2022,6/30/2022,0.23,0.98,,0.94,,,,,
,5/10/2022,3/31/2022,0.28,0.95,,0.85,,,,,
,2/9/2022,12/31/2021,0.44,0.92,,0.87,,,,,
,11/9/2021,9/30/2021,0.49531718,0.87,,0.83,,,,,
,8/10/2021,6/30/2021,0.59,0.88,,0.76,,,,,
,5/6/2021,3/31/2021,0.663316194,0.91,,0.88,,,,,
,2/9/2021,12/31/2020,0.730671951,1.08,,0.91,,,,,
,11/5/2020,9/30/2020,0.378158047,0.84,,0.55,,,,,
,8/13/2020,6/30/2020,0.501860155,1.18,,0.77,,,,,
,5/11/2020,3/31/2020,0.063370257,0.47,,0.14,,,,,
,2/10/2020,12/31/2019,-1.055962928,0.36,,0.36,,,,,
,11/12/2019,9/30/2019,-0.394124513,0.57,,0.6,,,,,
,8/13/2019,6/28/2019,0.426696709,0.67,,0.66,,,,,
,5/1/2019,3/29/2019,0.375001903,0.62,,0.65,,,,,
,1/31/2019,12/31/2018,0.437044143,0.71,,0.67,,,,,
,11/1/2018,9/28/2018,0.395250763,0.56,,0.56,,,,,
,,6/29/2018,0.417311828,,,0.44,,,,,
,,3/29/2018,0.450636899,,,0.41,,,,,
,,12/29/2017,0.154023948,,,0.37,,,,,
