CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,,,,,
Adjusted Diluted,,12/30/2022,0.84,7/10/2021,0.83,7/9/2021,,,,,,,,,
,,9/30/2022,0.77,,0.76,,,,,,,,,,
,,6/30/2022,0.74,,0.73,,,,,,,,,,
,,3/31/2022,0.7,,0.7,,,,,,,,,,
,,12/31/2021,0.77,,0.77,,0.45,,0.42,,,,,,
,,9/30/2021,0.71,,0.71,,0.44,,0.41,,,,,,
,,6/30/2021,0.69,,0.68,,0.43,,0.4,,,,,,
,4/27/2021,3/31/2021,0.576285776,,0.62,,0.4,,0.35,,,,,,
,1/26/2021,12/31/2020,0.455447681,,0.57,,0.44,,0.41,,0.57,,0.69,,0.72
,10/27/2020,9/30/2020,0.413592233,,0.48,,0.45,,0.41,,0.57,,0.68,,0.71
,7/28/2020,6/30/2020,0.087454114,,0.44,,0.4,,0.55,,0.66,,0.68,,
,4/23/2020,3/31/2020,0.177598605,,0.52,,0.57,,0.63,,0.64,,,,
,1/29/2020,12/31/2019,0.392662153,,0.7,,0.67,,0.65,,0.64,,0.74,,
,10/23/2019,9/30/2019,0.357892482,,0.57,,0.59,,0.71,,,,,,
,7/25/2019,6/28/2019,0.092438912,,0.59,,0.57,,0.66,,,,,,
,4/25/2019,3/29/2019,0.442297785,,0.53,,0.61,,,,,,,,
,1/30/2019,12/31/2018,0.275579151,,0.53,,0.64,,0.75,,,,,,
,10/18/2018,9/28/2018,0.650579151,,0.66,,0.75,,,,,,,,
,7/26/2018,6/29/2018,0.591886018,,0.66,,0.71,,,,,,,,
,4/26/2018,3/29/2018,0.616561438,,0.66,,0.67,,,,,,,,
,,12/29/2017,0.994154895,,0.7,,0.69,,0.64,,0.69,,0.74,,
,,9/29/2017,0.651644336,,0.66,,0.62,,0.67,,0.72,,,,
,,6/30/2017,0.583962954,,0.61,,0.58,,0.63,,0.69,,,,
,,3/31/2017,0.519607843,,0.56,,0.55,,0.6,,0.65,,,,
,,12/30/2016,0.553789731,,0.58,,0.6,,0.65,,0.73,,0.78,,
,,9/30/2016,0.584019975,,0.61,,0.62,,0.7,,0.69,,0.74,,
,,6/30/2016,0.538121003,,0.54,,0.57,,0.65,,0.7,,0.54,,
,,3/31/2016,0.384407943,,0.54,,0.55,,0.63,,0.64,,0.68,,0.6
,,12/31/2015,0.477079395,,0.6,,0.61,,0.67,,0.72,,0.74,,0.78
,,9/30/2015,0.580983454,,0.62,,0.65,,0.69,,0.71,,0.74,,
,,6/30/2015,0.595326238,,0.62,,0.64,,0.68,,0.71,,,,
,,3/31/2015,0.600231214,,0.6,,0.61,,0.64,,0.67,,0.66,,
,,12/31/2014,0.622232472,,0.62,,0.63,,0.66,,0.64,,0.63,,
,,9/30/2014,0.588776449,,0.62,,0.63,,0.61,,0.62,,0.58,,
,,6/30/2014,0.629010082,,0.59,,0.58,,0.6,,0.55,,,,
,,3/31/2014,0.429355281,,0.55,,0.58,,0.57,,,,,,
,,12/31/2013,0.644539134,,0.57,,0.56,,0.52,,,,,,
,,9/30/2013,0.508244207,,0.52,,0.51,,,,,,,,
,,6/28/2013,0.450122195,,0.51,,0.47,,,,,,,,
,,3/28/2013,0.494877506,,0.47,,0.48,,0.47,,,,,,
,,12/31/2012,0.351728723,,0.47,,0.48,,0.44,,,,,,
,,9/28/2012,0.376766784,,0.43,,,,,,,,,,
,,6/29/2012,0.338018889,,nan,,,,,,,,,,
,,3/30/2012,0.425312569,,nan,,,,,,,,,,
,,12/30/2011,0.441413921,,nan,,,,,,,,,,
,,9/30/2011,0.362039046,,nan,,,,,,,,,,
,,6/30/2011,0.391527599,,nan,,,,,,,,,,
,,3/31/2011,0.375979665,,nan,,,,,,,,,,
,,12/31/2010,0.370323399,,nan,,,,,,,,,,
,,9/30/2010,0.330979889,,nan,,,,,,,,,,
,,6/30/2010,0.089121887,,nan,,,,,,,,,,
,,3/31/2010,0.214737794,,nan,,,,,,,,,,
,,12/31/2009,0.25,,nan,,,,,,,,,,
,,9/30/2009,0.24,,nan,,,,,,,,,,
,,6/30/2009,0.18,,nan,,,,,,,,,,
,,3/31/2009,0.08,,nan,,,,,,,,,,
,,12/31/2008,0.08,,nan,,,,,,,,,,
,,9/30/2008,0.33,,nan,,,,,,,,,,
,,6/30/2008,0.41,,nan,,,,,,,,,,
,,3/31/2008,0.39,,nan,,,,,,,,,,
,,12/31/2007,0.43,,nan,,,,,,,,,,
,,9/28/2007,0.41,,nan,,,,,,,,,,
,,6/29/2007,0.43,,nan,,,,,,,,,,
,,3/30/2007,0.38,,nan,,,,,,,,,,
,,12/29/2006,0.4,,nan,,,,,,,,,,
,,9/29/2006,0.25,,nan,,,,,,,,,,
,,6/30/2006,0.29,,nan,,,,,,,,,,
