Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_2.1,Q_EPS_Projections_Date_2.1,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,,
,12/31/2021,0.79,4/26/2020,0.79,3/19/2020,,,,,,,,,,,,,,,,,
,9/30/2021,0.71,,0.71,,,,,,,,,,,,,,,,,,
,6/30/2021,0.59,,0.59,,,,,,,,,,,,,,,,,,
,3/31/2021,0.55,,0.55,,,,,,,,,,,,,,,,,,
,12/31/2020,0.65,3/19/2020,1.05,3/19/2020,1.03,3/8/2020,1.03,,1.06,,,,,,,,,,,,
,9/30/2020,0.53,,1.06,,1.05,,1.05,,1.06,,,,,,,,,,,,
,6/30/2020,0.37,,0.98,,1.03,,1.03,,1.05,,,,,,,,,,,,
4/23/2020,3/31/2020,0.79,,0.91,,0.94,,0.94,,0.96,,0.98,,,,,,,,,,
1/30/2020,12/31/2019,0.98,,0.98,,1.01,,1.02,,0.99,,0.94,,,,,,,,,,
10/23/2019,9/30/2019,1.01,,1,,1.01,,1,,0.99,,0.96,,,,,,,,,,
7/23/2019,6/28/2019,0.979690225,,0.98,,0.99,,0.98,,0.94,,,,,,,,,,,,
4/23/2019,3/29/2019,0.93075971,,0.95,,0.9,,0.87,,,,,,,,,,,,,,
1/29/2019,12/31/2018,0.947543199,,0.91,,0.92,,0.85,,0.71,,,,,,,,,,,,
10/23/2018,9/28/2018,0.948939008,,0.91,,0.87,,0.77,,,,,,,,,,,,,,
7/24/2018,6/29/2018,0.894060588,,0.85,,0.73,,0.75,,,,,,,,,,,,,,
4/24/2018,3/29/2018,0.78256447,,0.74,,0.66,,0.64,,,,,,,,,,,,,,
1/30/2018,12/29/2017,0.379769621,,0.67,,0.68,,0.7,,0.76,,0.84,,0.85,,,,,,,,
