CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_3,Q_EPS_Projections_Date_3,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,,,,,,,,,,,,,,,,,,,,
Non-GAAP,,12/31/2021,0.56,2/13/2021,0.56,1/10/2021,0.56,12/9/2020,0.55,11/8/2020,0.54,10/3/2020,0.54,9/1/2020,0.54,7/31/2020,0.56,6/20/2020,0.6,5/10/2020,0.6,3/27/2020,,,,,,,,,,,,,,
,,9/30/2021,0.58,,0.58,,0.58,,0.55,,0.54,,0.54,,0.54,,0.54,,0.57,,0.57,,,,,,,,,,,,,,,
,,6/30/2021,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.51,,0.51,,0.52,,0.52,,,,,,,,,,,,,,,
,,3/31/2021,0.49,,0.49,,0.49,,0.49,,0.49,,0.49,,0.48,,0.49,,0.5,,0.5,,,,,,,,,,,,,,,
,2/10/2021,12/31/2020,0.12,,0.48,,0.48,,0.46,,0.45,3/27/2020,0.45,3/27/2020,0.47,3/27/2020,0.48,3/27/2020,0.52,3/27/2020,0.54,3/27/2020,0.5,2/27/2020,0.5,2/21/2020,0.5,1/13/2020,0.55,9/24/2019,0.56,,0.56,,0.55,0.547885714
,11/5/2020,9/30/2020,0.16,,0.45,,0.45,,0.45,,0.45,,0.49,,0.52,,0.51,,0.51,,0.51,,0.53,,0.54,,0.54,,0.53,0.536228571,,,,,,
,7/30/2020,6/30/2020,0.11,,0.39,,0.43,,0.47,,0.47,,0.47,,0.47,,0.51,,0.5,,0.5,,0.49,0.501257143,,,,,,,,,,,,
,5/5/2020,3/31/2020,0.06,,0.42,,0.43,,0.43,,0.44,,0.48,,0.48,,0.48,,0.466285714,,,,,,,,,,,,,,,,,
,2/27/2020,12/31/2019,0.21,,0.47,,0.47,,0.48,,0.47,,0.47,,0.46,0.48,,,,,,,,,,,,,,,,,,,,
,11/6/2019,9/30/2019,0.12,,0.45,,0.45,,0.45,,0.46,0.45,0.44,0.43,0.45,,,,,,,,,,,,,,,,,,,,,
,8/1/2019,6/28/2019,0.156104588,,0.43,,0.44,,0.43,0.44,,,,,,,,,,,,,,,,,,,,,,,,,,
,5/6/2019,3/29/2019,0.11795607,,0.4,,0.41,,0.42,0.43,0.42,,,,,,,,,,,,,,,,,,,,,,,,,
