CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Adjusted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_3,Q_EPS_Projections_Date_3,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adjusted,,12/31/2023,,0.96,8/14/2022,0.96,8/6/2022,0.96,7/14/2022,0.96,6/12/2022,0.92,5/11/2022,0.92,3/29/2022,0.9,2/27/2022,0.85,1/12/2022,0.86,12/8/2021,0.86,11/3/2021,1,10/14/2021,0.99,9/11/2021,0.99,8/7/2021,0.98,7/9/2021,0.98,6/3/2021,0.93,5/6/2021,0.93,4/20/2021,0.92,3/19/2021,0.91,2/18/2021,0.88,1/10/2021,0.88,12/9/2020,0.88,11/8/2020,0.88,9/25/2020,0.88,8/30/2020,0.87,7/29/2020,0.87,7/12/2020,0.87,6/7/2020,0.83,4/30/2020,0.83,3/24/2020
,,9/30/2023,,0.95,,0.95,,0.95,,0.95,,0.91,,0.91,,0.91,,0.88,,0.88,,0.88,,0.95,,0.95,,0.95,,0.95,,0.95,,0.9,,0.9,,0.9,,0.9,,0.89,,0.89,,0.85,,0.85,,0.85,,0.86,,0.85,,0.85,,0.81,,0.81,
,,6/30/2023,,0.91,,0.91,,0.91,,0.91,,0.88,,0.88,,0.87,,0.85,,0.86,,0.86,,0.9,,0.95,,0.95,,0.92,,0.92,,0.87,,0.87,,0.88,,0.9,,0.88,,0.88,,0.86,,0.86,,0.86,,0.82,,0.78,,0.78,,0.76,,0.76,
,,3/30/2023,,0.91,,0.91,,0.91,,0.91,,0.88,,0.88,,0.83,,0.8,,0.82,,0.82,,0.87,,0.87,,0.87,,0.87,,0.87,,0.82,,0.82,,0.84,,0.85,,0.85,,0.85,,0.84,,0.84,,0.84,,0.8,,0.78,,0.78,,0.77,,0.77,
,,12/31/2022,,0.9,,0.9,,0.9,,0.91,,0.89,,0.91,,0.9,,0.85,1/12/2022,0.86,12/8/2021,0.86,11/3/2021,1,10/14/2021,0.99,9/11/2021,0.99,8/7/2021,0.98,7/9/2021,0.98,6/3/2021,0.93,5/6/2021,0.93,4/20/2021,0.92,3/19/2021,0.91,2/18/2021,0.88,1/10/2021,0.88,12/9/2020,0.88,11/8/2020,0.88,9/25/2020,0.88,8/30/2020,0.87,7/29/2020,0.87,7/12/2020,0.87,6/7/2020,0.83,4/30/2020,0.83,3/24/2020
,,9/30/2022,,0.89,,0.89,,0.89,,0.89,,0.88,,0.91,,0.91,,0.88,,0.88,,0.88,,0.95,,0.95,,0.95,,0.95,,0.95,,0.9,,0.9,,0.9,,0.9,,0.89,,0.89,,0.85,,0.85,,0.85,,0.86,,0.85,,0.85,,0.81,,0.81,
,8/3/2022,6/30/2022,0.55,0.84,,0.84,,0.84,,0.85,,0.86,,0.87,,0.85,,0.86,,0.86,,0.9,,0.95,,0.95,,0.92,,0.92,,0.87,,0.87,,0.88,,0.9,,0.88,,0.88,,0.86,,0.86,,0.86,,0.82,,0.78,,0.78,,0.76,,0.76,,,
,5/4/2022,3/31/2022,0.76,0.89,,0.83,,0.83,,0.8,,0.82,,0.82,,0.87,,0.87,,0.87,,0.87,,0.87,,0.82,,0.82,,0.84,,0.85,,0.85,,0.85,,0.84,,0.84,,0.84,,0.8,,0.78,,0.78,,0.77,,0.77,,,,,,,,,
,2/23/2022,12/31/2021,0.73,0.83,,0.83,,0.85,,0.85,,0.88,,0.88,,0.89,,0.89,,0.89,,0.92,,0.92,4/20/2021,0.92,3/19/2021,0.91,2/18/2021,0.88,1/10/2021,0.88,12/9/2020,0.88,11/8/2020,0.88,9/25/2020,0.88,8/30/2020,0.87,7/29/2020,0.87,7/12/2020,0.87,6/7/2020,0.83,4/30/2020,0.83,3/24/2020,,,,,,,,,,,,
,11/2/2021,9/30/2021,0.93,1.01,,0.86,,0.87,,0.88,,0.89,,0.89,,0.88,,0.9,,0.9,,0.9,,0.89,,0.89,,0.85,,0.85,,0.85,,0.86,,0.85,,0.85,,0.81,,0.81,,,,,,,,,,,,,,,,,,,
,8/3/2021,6/30/2021,0.89,0.99,,0.87,,0.87,,0.86,,0.88,,0.88,,0.9,,0.88,,0.88,,0.86,,0.86,,0.86,,0.82,,0.78,,0.78,,0.76,,0.76,,,,,,,,,,,,,,,,,,,,,,,,,
,5/4/2021,3/31/2021,0.79,0.88,,0.83,,0.84,,0.85,,0.85,,0.85,,0.84,,0.84,,0.84,,0.8,,0.78,,0.78,,0.77,,0.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2/17/2021,12/31/2020,0.79,0.89,,0.79,,0.79,,0.77,,0.77,3/24/2020,0.77,3/24/2020,0.83,3/24/2020,0.82,3/24/2020,0.82,3/24/2020,0.82,3/24/2020,0.84,3/24/2020,0.68,2/19/2020,0.68,2/10/2020,0.68,1/11/2020,0.67,9/17/2019,0.67,,0.67,,,,,,,,,,,,,,,,,,,,,,,,,
,11/5/2020,9/30/2020,0.73,0.83,,0.76,,0.76,,0.76,,0.76,,0.76,,0.79,,0.82,,0.67,,0.67,,0.67,,0.65,,0.66,,0.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7/29/2020,6/30/2020,0.74,0.84,,0.65,,0.65,,0.69,,0.78,,0.65,,0.65,,0.65,,0.64,,0.63,,0.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4/29/2020,3/31/2020,0.71,0.81,,0.74,,0.61,,0.61,,0.61,,0.59,,0.59,,0.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2/19/2020,12/31/2019,1,0.77,,0.6,,0.6,,0.59,,0.6,,0.6,,0.57,0.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,10/30/2019,9/30/2019,0.69,0.69,,0.6,,0.59,,0.59,,0.6,0.57,0.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7/31/2019,6/28/2019,0.603840399,0.6,,0.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5/1/2019,3/29/2019,0.527931086,0.53,,0.53,,0.51,,0.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2/20/2019,12/31/2018,0.502286528,0.5,,0.52,,0.53,,0.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11/1/2018,9/28/2018,0.549003478,0.55,,0.52,,0.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8/1/2018,6/29/2018,0.500175809,0.5,,0.51,,0.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5/2/2018,3/29/2018,0.505287808,0.51,,0.49,,0.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2/21/2018,12/29/2017,1.759483247,,,0.39,,0.37,,0.38,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11/1/2017,9/29/2017,0.388087935,,,0.38,,0.4,,0.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8/2/2017,6/30/2017,0.398815931,,,0.38,,0.37,,0.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5/3/2017,3/31/2017,0.385639868,,,0.35,,0.34,,0.36,0.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/30/2016,0.353312059,,,0.35,,0.39,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/30/2016,0.378268906,,,0.35,,0.37,,0.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/30/2016,0.38669931,,,0.35,,0.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/31/2016,0.349574633,,,0.31,,0.32,,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/31/2015,0.368402907,,,0.37,,0.41,,0.39,0.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/30/2015,0.346472179,,,0.36,,0.4,,0.39,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/30/2015,0.330958814,,,0.34,,0.37,,0.38,0.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/31/2015,0.313108091,,,0.33,,0.36,,0.37,0.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/31/2014,0.386930238,,,0.39,,0.42,,0.45,0.46,0.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/30/2014,0.414905082,,,0.41,,0.42,,0.46,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/30/2014,0.206541591,,,0.23,,0.45,,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/31/2014,0.258630872,,,0.33,,0.44,,0.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/31/2013,-1.767854255,,,0.41,,0.42,,0.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/30/2013,0.476610625,,,0.52,,0.56,,0.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/28/2013,0.580373253,,,0.56,,0.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/28/2013,0.544390191,,,0.58,,0.64,,0.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/31/2012,0.545565006,,,0.68,,0.69,,0.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/28/2012,0.660707041,,,0.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/29/2012,0.670069593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/30/2012,0.694735701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/30/2011,0.827315669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/30/2011,0.937119565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/30/2011,0.990783285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/31/2011,0.870905219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/31/2010,0.933856841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/30/2010,0.860866464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/30/2010,0.882666081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/31/2010,0.758036992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/31/2009,0.820230652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/30/2009,0.810725377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/30/2009,0.796449308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/31/2009,0.682465776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/31/2008,0.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/30/2008,0.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/30/2008,0.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
